panel_type,panel_id,series_id,roc_auc,pr_auc,balanced_accuracy
random_robust_25_gene_panel,16,GSE92592,0.9210526315789472,0.8695652173913043,0.9210526315789472
random_robust_25_gene_panel,17,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,17,GSE150910,0.7805165425582054,0.6967016890543956,0.7524271844660194
random_robust_25_gene_panel,17,GSE53845,0.99375,0.998765243902439,0.875
random_robust_25_gene_panel,17,GSE92592,0.7894736842105263,0.7142857142857143,0.7894736842105263
random_robust_25_gene_panel,18,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,18,GSE150910,0.8291073616740503,0.7468554294075875,0.825242718446602
random_robust_25_gene_panel,18,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,18,GSE92592,0.6578947368421053,0.6060606060606061,0.6578947368421053
random_robust_25_gene_panel,19,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,19,GSE150910,0.6512395136205109,0.5893656542682864,0.6504854368932038
random_robust_25_gene_panel,19,GSE53845,0.99375,0.998765243902439,0.5
random_robust_25_gene_panel,19,GSE92592,0.9210526315789472,0.8695652173913043,0.9210526315789472
random_robust_25_gene_panel,20,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,20,GSE150910,0.8703930624941087,0.7980012661160947,0.8640776699029127
random_robust_25_gene_panel,20,GSE53845,0.996875,0.999390243902439,0.75
random_robust_25_gene_panel,20,GSE92592,0.8421052631578947,0.7692307692307693,0.8421052631578947
random_robust_25_gene_panel,21,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,21,GSE150910,0.5922330097087378,0.5508021390374331,0.587378640776699
random_robust_25_gene_panel,21,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,21,GSE92592,0.5526315789473684,0.5405405405405406,0.5263157894736842
random_robust_25_gene_panel,22,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,22,GSE150910,0.7598265623527194,0.7615568933983541,0.6601941747572816
random_robust_25_gene_panel,22,GSE53845,0.996875,0.999390243902439,0.8125
random_robust_25_gene_panel,22,GSE92592,0.775,0.7807692307692308,0.725
random_robust_25_gene_panel,23,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,23,GSE150910,0.9104533886322932,0.8606077255785693,0.8883495145631068
random_robust_25_gene_panel,23,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,23,GSE92592,0.9736842105263158,0.9523809523809524,0.9736842105263156
random_robust_25_gene_panel,24,GSE110147,1.0,1.0,0.9090909090909092
random_robust_25_gene_panel,24,GSE150910,0.9085681968140258,0.8733851349959227,0.8932038834951457
random_robust_25_gene_panel,24,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,24,GSE92592,0.625,0.6346153846153846,0.6
random_robust_25_gene_panel,25,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,25,GSE150910,0.7591667452163258,0.6782019601576765,0.7475728155339806
random_robust_25_gene_panel,25,GSE53845,1.0,1.0,0.95
random_robust_25_gene_panel,25,GSE92592,0.9171052631578948,0.8639328063241107,0.8960526315789473
random_robust_25_gene_panel,26,GSE110147,0.9958677685950412,0.9980237154150198,0.9545454545454546
random_robust_25_gene_panel,26,GSE150910,0.7976717881044396,0.7943136768016732,0.6893203883495146
random_robust_25_gene_panel,26,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,26,GSE92592,0.9,0.9025641025641026,0.775
random_robust_25_gene_panel,27,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,27,GSE150910,0.7276840418512583,0.6498182492757769,0.7135922330097088
random_robust_25_gene_panel,27,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,27,GSE92592,0.8684210526315789,0.8,0.868421052631579
random_robust_25_gene_panel,28,GSE110147,1.0,1.0,0.9090909090909092
random_robust_25_gene_panel,28,GSE150910,0.8612970119709681,0.8294444687685565,0.8155339805825244
random_robust_25_gene_panel,28,GSE53845,1.0,1.0,1.0
random_robust_25_gene_panel,28,GSE92592,0.9473684210526316,0.9090909090909092,0.9473684210526316
random_robust_25_gene_panel,29,GSE110147,1.0,1.0,0.5
random_robust_25_gene_panel,29,GSE150910,0.5048543689320388,0.5024390243902439,0.5
random_robust_25_gene_panel,29,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,29,GSE92592,0.5,0.5128205128205128,0.5
random_robust_25_gene_panel,30,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,30,GSE150910,0.8303327363559242,0.7474815004068963,0.825242718446602
random_robust_25_gene_panel,30,GSE53845,0.98125,0.9962099277559804,0.675
random_robust_25_gene_panel,30,GSE92592,0.736842105263158,0.6666666666666666,0.7368421052631579
random_robust_25_gene_panel,31,GSE110147,1.0,1.0,0.6818181818181819
random_robust_25_gene_panel,31,GSE150910,0.9249693656329532,0.8954088854859843,0.912621359223301
random_robust_25_gene_panel,31,GSE53845,1.0,1.0,0.5375
random_robust_25_gene_panel,31,GSE92592,0.975,0.9756410256410256,0.95
random_robust_25_gene_panel,32,GSE110147,1.0,1.0,0.7727272727272727
random_robust_25_gene_panel,32,GSE150910,0.6116504854368932,0.5628415300546448,0.6116504854368932
random_robust_25_gene_panel,32,GSE53845,1.0,1.0,0.5
random_robust_25_gene_panel,32,GSE92592,0.5263157894736843,0.5263157894736842,0.5263157894736842
random_robust_25_gene_panel,33,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,33,GSE150910,0.9112545951550572,0.9070714736141215,0.8349514563106797
random_robust_25_gene_panel,33,GSE53845,1.0,1.0,0.9625
random_robust_25_gene_panel,33,GSE92592,0.9,0.9025641025641026,0.875
random_robust_25_gene_panel,34,GSE110147,1.0,1.0,0.8636363636363636
random_robust_25_gene_panel,34,GSE150910,0.7294749740786125,0.6505125167581925,0.7281553398058253
random_robust_25_gene_panel,34,GSE53845,1.0,1.0,0.6375
random_robust_25_gene_panel,34,GSE92592,0.9236842105263158,0.9039136302294196,0.9236842105263158
random_robust_25_gene_panel,35,GSE110147,1.0,1.0,0.9090909090909092
random_robust_25_gene_panel,35,GSE150910,0.8199170515599962,0.7368087800759814,0.8203883495145632
random_robust_25_gene_panel,35,GSE53845,0.98125,0.9962099277559804,0.5
random_robust_25_gene_panel,35,GSE92592,0.6052631578947368,0.5714285714285714,0.6052631578947368
random_robust_25_gene_panel,36,GSE110147,1.0,1.0,0.8409090909090908
random_robust_25_gene_panel,36,GSE150910,0.5436893203883495,0.5436893203883495,0.5048543689320388
random_robust_25_gene_panel,36,GSE53845,0.990625,0.9981242182614134,0.5
random_robust_25_gene_panel,36,GSE92592,0.525,0.5371794871794872,0.525
random_robust_25_gene_panel,37,GSE110147,1.0,1.0,0.7272727272727273
random_robust_25_gene_panel,37,GSE150910,0.8452728815156942,0.7687511972969625,0.8349514563106797
random_robust_25_gene_panel,37,GSE53845,1.0,1.0,0.7
random_robust_25_gene_panel,37,GSE92592,0.9973684210526316,0.9976190476190476,0.9486842105263158
random_robust_25_gene_panel,38,GSE110147,1.0,1.0,0.9090909090909092
random_robust_25_gene_panel,38,GSE150910,0.8598359883118109,0.8157167099047575,0.8495145631067962
random_robust_25_gene_panel,38,GSE53845,1.0,1.0,0.975
random_robust_25_gene_panel,38,GSE92592,0.9171052631578948,0.926923076923077,0.925
random_robust_25_gene_panel,39,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,39,GSE150910,0.8525779998114809,0.8434665934418094,0.7669902912621359
random_robust_25_gene_panel,39,GSE53845,1.0,1.0,0.825
random_robust_25_gene_panel,39,GSE92592,1.0,1.0,1.0
random_robust_25_gene_panel,40,GSE110147,1.0,1.0,0.6818181818181819
random_robust_25_gene_panel,40,GSE150910,0.9149778489961354,0.8719530047985204,0.9077669902912622
random_robust_25_gene_panel,40,GSE53845,0.975,0.9950579603323506,0.5
random_robust_25_gene_panel,40,GSE92592,0.8421052631578947,0.7692307692307693,0.8421052631578947
random_robust_25_gene_panel,41,GSE110147,1.0,1.0,1.0
random_robust_25_gene_panel,41,GSE150910,0.9204449052691112,0.8942166187018001,0.9029126213592232
random_robust_25_gene_panel,41,GSE53845,1.0,1.0,0.8875
