model,mean_internal_roc_auc,sd_internal_roc_auc,mean_internal_pr_auc,mean_internal_balanced_accuracy,mean_selected_features
linear_svm,0.9985652173913043,0.00234462337378087,0.9994239687848383,0.9825036231884059,53.9
elastic_net,0.9985615942028986,0.00250792555250826,0.9994194949348068,0.9845579710144928,45.7
random_forest,0.9977210144927536,0.003997771254850405,0.9991158536116558,0.9599746376811595,75.0
rbf_svm,0.9975434782608695,0.004374878865613929,0.9990471220204915,0.9850398550724638,40.4
lasso_logistic,0.997213768115942,0.004929956442806719,0.9988590491581512,0.9686884057971015,34.8
gradient_boosting,0.9945398550724637,0.014482537159893335,0.9971006954975291,0.9460217391304347,38.0
mlp_small,0.9939565217391305,0.010651072261934385,0.9975294230604568,0.9253550724637681,44.4
