permutation_id,roc_auc,best_model
1,0.5730797101449276,elastic_net
2,0.5207971014492754,elastic_net
3,0.543659420289855,elastic_net
4,0.5635869565217392,elastic_net
5,0.5222101449275363,elastic_net
6,0.5430072463768115,elastic_net
7,0.5243115942028985,elastic_net
8,0.5681159420289854,elastic_net
9,0.5294927536231884,elastic_net
10,0.5989130434782609,elastic_net
11,0.481195652173913,elastic_net
12,0.5501449275362319,elastic_net
13,0.5793478260869565,elastic_net
14,0.5117028985507247,elastic_net
15,0.5241304347826087,elastic_net
16,0.503731884057971,elastic_net
17,0.5251811594202899,elastic_net
18,0.5046739130434783,elastic_net
19,0.35826086956521735,elastic_net
20,0.5923188405797102,elastic_net
