series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8070632,-1.18282163697479,5.34934479289941,-23.9232796285404,1.06210886095423e-56,1.26922008884031e-52,118.341110619105
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8162394,2.87354942016807,7.36727786982249,19.9127866557497,1.37440550435065e-46,8.21207288849511e-43,95.3734283878949
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8103254,2.60960091932773,7.50732704142012,19.5068705076513,1.62129379921338e-45,6.4581536335333e-42,92.9343312777339
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8109333,-1.41080964201681,8.22495426035503,-18.8217659200114,1.09146758102842e-43,2.60860751865791e-40,88.7720772884363
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8136662,-2.16041968067227,4.93385573964497,-18.5485993308291,5.93642353993779e-43,1.10219057522338e-39,87.0969153390726
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8149555,1.07706565210084,6.56860177514793,18.5350930348387,6.45634646574364e-43,1.10219057522338e-39,87.0138636811026
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8148070,2.06047864033614,7.58849177514793,18.1587309079076,6.75447902999575e-42,1.00895030510561e-38,84.6911454466129
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7903214,1.36622984369748,5.63842923076923,17.7054525591094,1.16551042432219e-40,1.39278495706501e-37,81.8726214082442
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8147244,-1.80468093109244,5.39667153846154,-17.6891484228052,1.29177019659378e-40,1.40333216811779e-37,81.7708215439385
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8149551,1.3208250487395,6.54982520710059,17.6685063781024,1.47148733695099e-40,1.46535613971369e-37,81.6418955091008
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8063923,-2.04902995126051,5.69962372781065,-17.5739122314341,2.67453194400781e-40,2.28290405220667e-37,81.0504946366871
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7950810,1.10353269411765,6.19102633136095,17.4657372599148,5.30260458192241e-40,4.22440831693152e-37,80.3730188549582
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7946641,-1.11366708403361,6.03197721893491,-17.3976483207006,8.16302764953232e-40,6.09676127574445e-37,79.9459602694064
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8083447,-1.38505637983193,6.26446041420118,-17.368072503658,9.84690770996758e-40,6.92179689024192e-37,79.7603075780543
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8123104,1.62903684537815,5.35970988165681,17.34190520326,1.16250276280278e-39,7.57529850525603e-37,79.5959748171858
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7908204,1.42244628571429,7.92056218934911,17.336320136132,1.20444076652606e-39,7.57529850525603e-37,79.5608909341659
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8174654,1.39818914621849,4.9879101183432,16.7750396837208,4.30938841898693e-38,2.4522472193759e-35,76.0189592772784
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7996819,1.65436129579832,6.36904349112426,16.4712592479762,3.02491636243697e-37,1.50615627213008e-34,74.089181629879
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7914950,-1.44233322857143,6.26370437869822,-16.4417162063663,3.65772736606058e-37,1.68114777017015e-34,73.9010508358353
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8043981,-2.74583776806723,5.99810786982249,-16.2946997697724,9.42428450299e-37,3.93789406399588e-34,72.963674189582
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7968015,1.08107808907563,6.89340710059172,16.2925395704421,9.55639563647535e-37,3.93789406399588e-34,72.9498863641056
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7920238,-2.01109248739496,4.75466928994083,-16.1598666367751,2.24873748077524e-36,8.6685202887949e-34,72.1022947281923
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7904293,1.0884517697479,7.23764721893491,15.9585175501599,8.26394518311856e-36,2.9045336746549e-33,70.8130750878748
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7959834,-1.12880435966387,4.98199662721894,-15.8556743961237,1.60862028698529e-35,5.33972567485395e-33,70.1532792013734
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8122222,1.17829101176471,5.6571826035503,15.6956065221621,4.54354041769849e-35,1.39218738439736e-32,69.1246669130433
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7955578,-1.30432183529412,5.69084579881657,-15.5738280482713,1.00238683740159e-34,2.99463067673726e-32,68.3407727459513
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8126853,1.66317520840336,5.45007733727811,15.5066009543227,1.55218855688662e-34,4.52406176946223e-32,67.9075499510898
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8135218,1.52447373445378,4.82011840236686,15.4418592077596,2.36573921581056e-34,6.73109134022289e-32,67.4900288901782
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8177222,2.12442620840336,7.6726325443787,15.3631273012827,3.95105102157452e-34,1.0980246443678e-31,66.9818779469687
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7908459,1.15910980336135,9.53066650887574,15.2037555417221,1.11729569070616e-33,3.03447352362242e-31,65.9519365330428
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7905571,-1.39986222521009,6.2860173964497,-15.1207524193788,1.92124441337298e-33,5.10197127551269e-31,65.414849751275
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8080964,1.28159566386555,6.65474934911243,15.1169124978607,1.9700539750178e-33,5.11785760901363e-31,65.3899919118425
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8002020,1.42149474453782,6.98110076923077,14.9607288307338,5.46988974280037e-33,1.30730364852929e-30,64.3781373266546
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7952268,1.71080506386555,6.46869431952663,14.9490998544353,5.90236845691958e-33,1.38300594235665e-30,64.3027368592366
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8044049,-1.66850551932773,5.00258236686391,-14.9120439097782,7.52240946072179e-33,1.72870755876203e-30,64.062417234846
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8019392,-1.61349846722689,7.31783834319527,-14.8982669118432,8.23240590162104e-33,1.85617453819569e-30,63.9730479680231
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7980485,1.29318638487395,4.52049266272189,14.7425904177004,2.28278681082273e-32,4.95987316169666e-30,62.9624287300113
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7996100,-1.1303395394958,5.25177124260355,-14.6966288417951,3.08567300336772e-32,6.46908638425337e-30,62.6637938415257
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8150889,-1.61664611764706,6.01573355029586,-14.6147786166132,5.2790505723514e-32,1.08766645413102e-29,62.1316899467047
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7970954,1.44575816638656,5.93306686390533,14.5529385725615,7.92226183373938e-32,1.57785048188643e-29,61.7294383575995
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7905606,-1.21791951764706,5.81709710059172,-14.5247707334058,9.53186064886464e-32,1.83361261671366e-29,61.5461502472675
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8088866,1.19739616806723,4.72731094674556,14.5042397152265,1.09078300278691e-31,2.03669638801619e-29,61.412530003732
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8171172,1.27127569747899,6.96972662721894,14.4713167483316,1.3541389251424e-31,2.48347239978601e-29,61.1982171075929
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8044035,-1.50221171428572,5.53147562130178,-14.465572456387,1.40621992462939e-31,2.50254497961008e-29,61.1608190992457
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8114249,1.20366247226891,6.6076475147929,14.4636555340598,1.4240423314936e-31,2.50254497961008e-29,61.1483386908222
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7951217,2.92959866554622,6.93627869822485,14.3857308199743,2.37647340335356e-31,4.056979595725e-29,60.6408508221293
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8162404,1.30535002184874,6.24410639053254,14.3773596158878,2.51092077569023e-31,4.22612722105609e-29,60.5863161983213
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8156783,1.33350390420168,6.54086272189349,14.3149813540881,3.78414601744825e-31,6.28063123729258e-29,60.1798502904061
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8083978,1.0158185882353,5.3859025443787,14.211590526568,7.4710911208027e-31,1.17473077491569e-28,59.5057679149872
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7920244,-1.65218837983193,6.10089355029586,-14.1404237575118,1.19354198736551e-30,1.82856753192536e-28,59.0415226762496
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7904761,-1.13019765210084,5.13669775147929,-14.1014653659614,1.542585970809e-30,2.33340536090729e-28,58.787299977352
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8026631,-1.26469339327731,5.34390644970414,-13.9784492691027,3.46900191914348e-30,5.1178485103413e-28,57.9841939231884
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8038899,-1.45008713277311,5.37309792899408,-13.961883883371,3.86915777753948e-30,5.57577412106204e-28,57.8760071342963
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,7958253,1.09939216134454,6.36296940828402,13.9484905898259,4.2262226932089e-30,6.01230490283885e-28,57.7885302753114
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8094520,1.02276106722689,5.50864603550296,13.9199572222631,5.10073319787639e-30,7.17103078995563e-28,57.6021481303213
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8096959,1.01405958151261,5.52348615384615,13.812082415148,1.03881214362288e-29,1.37931167958815e-27,56.8972732678305
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8081081,1.3147358605042,5.57746615384615,13.776394633459,1.31450824370606e-29,1.72619489146016e-27,56.6640076341221
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8103951,-1.17478055630252,8.4011674556213,-13.7657321037613,1.41029091126192e-29,1.83184525973695e-27,56.5943074677401
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8061564,-1.21092786722689,6.32421461538462,-13.7180784005281,1.9312585364844e-29,2.42931994852511e-27,56.2827619590049
GSE32537,bulk mRNA,discovery,limma,IPF_vs_Control,8097335,1.67233845378152,5.28935976331361,13.6731752759202,2.59725543922189e-29,3.23304192694808e-27,55.989146273532
