series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,U93_st,-0.0823213754716983,0.579941680769231,-2.16945448552198,0.0315556974851834,0.10971392117918,-4.58207852809659
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000201373_st,0.065197170516981,0.264350075705128,2.16847911440261,0.0316311162504337,0.109764239628191,-4.58412395742572
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-195-star_st,-0.11797095894717,0.31892994724359,-2.16530230898356,0.0318778397889318,0.110407672038204,-4.59077996459259
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-933_st,-0.145426179886792,0.586840603205128,-2.1634205758898,0.0320247669178562,0.110703656850401,-4.59471821901366
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,U36C_st,-0.134790898490566,0.622073652564103,-2.16091316262016,0.0322214580708676,0.11117020303761,-4.59996094199253
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-874_st,-0.246025037169811,1.16312758141026,-2.15801735926621,0.0324499157257726,0.111744356065232,-4.60600862234743
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212538_st,0.0963028445094338,0.420370690192308,2.15722604942825,0.0325125874642773,0.111746507677793,-4.60765988844025
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212139_st,-0.11349528926415,0.672729188012821,-2.14979083771112,0.0331065862608795,0.113571355915893,-4.623147459848
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-let-7a-star_st,0.0871428791132076,0.209532572141026,2.14783130597538,0.0332646859481479,0.113896766906111,-4.62722078387975
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-647_st,0.0761834718698111,0.227052929224359,2.14669078809838,0.0333570056148159,0.113996142528052,-4.62958999350951
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000199231_x_st,0.0710013529433962,0.362282407051282,2.14564022506241,0.0334422395928703,0.114070972550681,-4.63177128985993
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-1234_st,0.252995719245283,2.13595630769231,2.14369493620869,0.0336005609147996,0.114394348218439,-4.63580765940123
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212579_x_st,-0.0746253416415093,0.380357771089744,-2.14288379498806,0.0336667682703399,0.114403489914872,-4.63748971443446
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-1224-3p_st,0.165505947396226,0.759853315384615,2.13543248190841,0.0342802509581018,0.116268798447347,-4.65291334933461
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,ENSG00000212537_x_st,0.110655422264151,0.956322780769231,2.13121561545737,0.0346316899637512,0.117239988016383,-4.66161948803986
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-122_st,0.0853022345207547,0.187759216538462,2.12795577327559,0.0349054945357678,0.11794520761523,-4.6683386326724
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-890_st,0.102400845916981,0.262839245769231,2.12621713032768,0.0350522903168571,0.118219428578014,-4.67191833411528
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-133b_st,0.147152042150943,0.571046898076923,2.11959633193867,0.0356161736398617,0.119896689206338,-4.68552466032862
