comparison_metric,observed_25_gene_panel_refit,random_mean,random_sd,random_95th_percentile,random_max,empirical_p_random_ge_observed,deployed_elastic_net_mean_external_roc_auc
mean_external_roc_auc,0.9638418038805185,0.8886586661496312,0.06555116642707709,0.9705527111879934,0.9852248091243284,0.09381237524950099,0.970810533261233
min_external_roc_auc,0.9066830049957583,0.7276795047402652,0.13913811366026177,0.9206543848073383,0.9599396738618153,0.08782435129740519,0.9095579225186162
