panel_type,panel_id,feature_count,features,mean_external_roc_auc,min_external_roc_auc,mean_external_pr_auc,mean_external_balanced_accuracy,pooled_external_roc_auc,pooled_external_pr_auc,pooled_external_balanced_accuracy
random_robust_25_gene_panel,278,19,SLCO2A1;CASC1;C6ORF118;COL1A2;DES;TGFB3;TMEM45A;CDH2;ZBBX;COL3A1;PGC;FIBIN;SCN1A;ASPN;CTSK;ACTG2;CCDC17;ARMC4;C12ORF75,0.74921875,0.5,0.753052689180738,0.5113636363636364,0.40548207782250334,0.515836108197364,0.42380678550891315
random_robust_25_gene_panel,279,19,COL1A2;SLCO2A1;MS4A15;SYNPO2;TMEM232;PEBP4;NELL2;COMP;DNAH9;CSF3R;CDH2;MYH11;SLC39A8;CCDC60;SLCO4A1;FIBIN;NPR1;MT1M;PAMR1,0.8689816491459585,0.6578947368421053,0.8354518561927586,0.862804994890138,0.7613379336783592,0.7251701591530375,0.8127276212382596
random_robust_25_gene_panel,280,19,STOX1;WDR63;GOLM1;DNAH3;BTNL9;CDHR3;PLA2G1B;IGF1;KRT15;HDC;PCDH7;CRTAC1;CD24;AGER;IL13RA2;PSD3;MS4A15;ACADL;LRRC17,0.970405589097638,0.9342539353379206,0.9536741482033202,0.7340839410972269,0.9150469618554725,0.9028131547487926,0.7902242668200115
random_robust_25_gene_panel,281,19,BPIFB1;C6;GSTA1;RSPH1;SPATA18;CDHR3;HIF3A;HDC;VIPR1;STOX1;COL1A2;KLHL13;CCDC113;ZNF385B;NEK10;ENKUR;ANK2;DNAH7;LRRIQ1,0.7633495145631068,0.5,0.7602564102564102,0.581531332744925,0.45760015334483417,0.5389123901339015,0.48054437416139545
random_robust_25_gene_panel,282,19,ADH7;MUC4;MORN5;SPATA17;CD24;CCDC80;RSPH1;ACADL;HHIP;S1PR1;C1ORF194;PTGFRN;FANK1;TMEM45A;SYTL2;FAM81B;EFCAB1;KRT5;F2RL3,0.8686842120766379,0.6842105263157895,0.8343632900844304,0.7325045291958935,0.728675483994633,0.7043554754412056,0.6949971247843588
random_robust_25_gene_panel,283,19,GPX3;C1ORF194;SLC27A2;PTGFRN;RTKN2;SULF1;C11ORF88;CCL13;LRRC32;C12ORF75;NELL2;S100A8;AFF3;COL1A2;ABCA13;LRRC46;MUC5B;CAPS;INMT,0.9132580610554097,0.7181638231690075,0.8866731971445277,0.7914537557485948,0.7004408663983133,0.6814517307595745,0.6799693310331608
random_robust_25_gene_panel,284,19,TEKT1;BPIFA1;SMAD6;C6;VTCN1;SERPINI2;COL3A1;ACVRL1;RTKN2;SPATA18;FAP;CDH2;TMPRSS4;SNTN;CAPN13;CDHR3;ABCA3;ST6GALNAC1;HSD17B6,0.9402990059954061,0.8588933924026769,0.9119271092704772,0.8188553909044456,0.8305347901092583,0.7959577316820086,0.7757140118842247
random_robust_25_gene_panel,285,19,HSD17B6;FAM83D;TEKT1;SIX1;MT1M;SERPINI2;IL13RA2;TSPAN1;POSTN;C12ORF75;CCDC60;IL18R1;CTSK;S100A8;ROPN1L;HECW2;DNAAF1;CCDC17;CP,0.88958366406874,0.7460526315789473,0.8528220469509522,0.7373838667719608,0.753306497987349,0.7268451921589706,0.7073222158328542
random_robust_25_gene_panel,286,19,SPATA18;SFTA2;ID1;TMPRSS4;SYTL2;DNAH5;SLN;AK7;CCDC146;COMP;CCDC17;VIPR1;AGER;NPR1;MSMB;DNAH12;SLC39A8;LRRC32;C9ORF135,0.9097994627203319,0.75,0.9079436824793682,0.876122572815534,0.8779375119800652,0.8944738994115002,0.8388537473643857
random_robust_25_gene_panel,287,19,CCDC60;GEM;DNAH3;SYNPO2;C12ORF75;DNAAF1;DNAH6;DCLK1;RTKN2;NEK10;ADH7;WDR63;TEKT1;PACRG;IL18R1;IGF1;EFHC2;COMP;CAPSL,0.8003584474697635,0.5789473684210527,0.7840704554630911,0.5597853857945836,0.5804293655357485,0.6032785382472389,0.5487636572742955
