roc_auc,pr_auc,balanced_accuracy,series_id,samples,ipf,control
1.0,1.0,0.9545454545454546,GSE110147,33,22,11
0.9095579225186162,0.88195013145316,0.8883495145631068,GSE150910,206,103,103
1.0,1.0,0.95,GSE53845,48,40,8
0.9736842105263158,0.9756410256410256,0.975,GSE92592,39,20,19
