series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,platform,standard_feature_id,gene_symbol,mirna_name,entrez_id,all_mapped_symbols,annotation_source,is_annotated,is_multi_mapped
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART13,0.222908826666666,0.1656544532,0.701466205283362,0.48977407683012,0.812704864847636,-6.08012239883103,GPL8227,ebv-miR-BART13,,ebv-miR-BART13,,ebv-miR-BART13,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART13*,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART13*,,ebv-miR-BART13*,,ebv-miR-BART13*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART14,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART14,,ebv-miR-BART14,,ebv-miR-BART14,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART14*,-0.0133336819871795,0.0321674142,-0.411023024055096,0.684710903666484,0.830351036794953,-6.2408574406053,GPL8227,ebv-miR-BART14*,,ebv-miR-BART14*,,ebv-miR-BART14*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART15,0.04875420625,0.200796123,0.226143862150661,0.823008762017379,0.906807356950972,-6.30001039748575,GPL8227,ebv-miR-BART15,,ebv-miR-BART15,,ebv-miR-BART15,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART16,-0.514550388467949,0.47804057908,-1.32448652951037,0.197844632592861,0.765265734815141,-5.47259144828801,GPL8227,ebv-miR-BART16,,ebv-miR-BART16,,ebv-miR-BART16,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART17-3p,0.499528083448718,0.28876282456,1.55280900366562,0.133586985999025,0.68978001151415,-5.16847488333571,GPL8227,ebv-miR-BART17-3p,,ebv-miR-BART17-3p,,ebv-miR-BART17-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART17-5p,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART17-5p,,ebv-miR-BART17-5p,,ebv-miR-BART17-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART18-3p,0.14030877699359,0.09095979312,1.04138795517141,0.308096526934024,0.812704864847636,-5.79103133311188,GPL8227,ebv-miR-BART18-3p,,ebv-miR-BART18-3p,,ebv-miR-BART18-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART18-5p,-0.0797654880192308,0.29622605348,-0.267975766514242,0.791012899286352,0.893230120812553,-6.28960929245903,GPL8227,ebv-miR-BART18-5p,,ebv-miR-BART18-5p,,ebv-miR-BART18-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART19-3p,-0.520800989307692,-0.81259115744,-0.885729788791817,0.384571931356821,0.812704864847636,-5.93651544211927,GPL8227,ebv-miR-BART19-3p,,ebv-miR-BART19-3p,,ebv-miR-BART19-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART19-5p,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART19-5p,,ebv-miR-BART19-5p,,ebv-miR-BART19-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART2-3p,0.0190730426089743,0.02791721124,0.777824379615068,0.444290410687509,0.812704864847636,-6.02444877665985,GPL8227,ebv-miR-BART2-3p,,ebv-miR-BART2-3p,,ebv-miR-BART2-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART2-5p,-0.40749363624359,0.30006368032,-1.77707431954997,0.0882627083445568,0.52893199672176,-4.83215754145562,GPL8227,ebv-miR-BART2-5p,,ebv-miR-BART2-5p,,ebv-miR-BART2-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART20-3p,-0.114544461487179,0.08392881936,-0.956953952635294,0.348153201466989,0.812704864847636,-5.87264024170039,GPL8227,ebv-miR-BART20-3p,,ebv-miR-BART20-3p,,ebv-miR-BART20-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART20-5p,0.0304364507628205,0.03382618348,1.11820999614131,0.274570637956222,0.812704864847636,-5.71134006491809,GPL8227,ebv-miR-BART20-5p,,ebv-miR-BART20-5p,,ebv-miR-BART20-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART3,-0.0464046850064102,0.04510379888,-0.809935508847702,0.425953361737672,0.812704864847636,-5.99940599184197,GPL8227,ebv-miR-BART3,,ebv-miR-BART3,,ebv-miR-BART3,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART3*,-0.248310523878205,0.176750226,-1.32555114467168,0.197496837204193,0.765265734815141,-5.47126830964479,GPL8227,ebv-miR-BART3*,,ebv-miR-BART3*,,ebv-miR-BART3*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART4,-0.0667467485384615,0.05077705876,-1.08419923119273,0.289072678433459,0.812704864847636,-5.74725318174015,GPL8227,ebv-miR-BART4,,ebv-miR-BART4,,ebv-miR-BART4,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART5,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART5,,ebv-miR-BART5,,ebv-miR-BART5,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART6-3p,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART6-3p,,ebv-miR-BART6-3p,,ebv-miR-BART6-3p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART6-5p,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART6-5p,,ebv-miR-BART6-5p,,ebv-miR-BART6-5p,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART7,-0.203390590884615,0.13398759224,-1.54377951361084,0.135755907104514,0.68978001151415,-5.18125795513038,GPL8227,ebv-miR-BART7,,ebv-miR-BART7,,ebv-miR-BART7,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART7*,0.136587717224359,0.08902484204,0.966392819098987,0.343507427544468,0.812704864847636,-5.86383215351857,GPL8227,ebv-miR-BART7*,,ebv-miR-BART7*,,ebv-miR-BART7*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART8,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART8,,ebv-miR-BART8,,ebv-miR-BART8,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART8*,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BART8*,,ebv-miR-BART8*,,ebv-miR-BART8*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART9,-0.0625171677371795,0.05895571836,-0.860606011365261,0.397990528373572,0.812704864847636,-5.95794691346678,GPL8227,ebv-miR-BART9,,ebv-miR-BART9,,ebv-miR-BART9,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BART9*,0.0718812954871795,0.05538238932,1.04578874724955,0.306101218094584,0.812704864847636,-5.78660501902766,GPL8227,ebv-miR-BART9*,,ebv-miR-BART9*,,ebv-miR-BART9*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BHRF1-1,0.0902479601666665,-0.10183569088,0.261887163597221,0.795648111270971,0.895428973959689,-6.29123206698204,GPL8227,ebv-miR-BHRF1-1,,ebv-miR-BHRF1-1,,ebv-miR-BHRF1-1,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BHRF1-2,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BHRF1-2,,ebv-miR-BHRF1-2,,ebv-miR-BHRF1-2,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BHRF1-2*,-0.102630767737179,0.07821024636,-0.942358235819322,0.355420426619111,0.812704864847636,-5.88610317863456,GPL8227,ebv-miR-BHRF1-2*,,ebv-miR-BHRF1-2*,,ebv-miR-BHRF1-2*,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,ebv-miR-BHRF1-3,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,ebv-miR-BHRF1-3,,ebv-miR-BHRF1-3,,ebv-miR-BHRF1-3,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-UL112,-0.0273267391730769,0.03594638488,-0.654741557881843,0.51887453588981,0.812704864847636,-6.11147173293001,GPL8227,hcmv-miR-UL112,,hcmv-miR-UL112,,hcmv-miR-UL112,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-UL148D,-0.151564178621795,-0.1574447808,-0.41973003335266,0.67842476106549,0.826389805392829,-6.23723490569294,GPL8227,hcmv-miR-UL148D,,hcmv-miR-UL148D,,hcmv-miR-UL148D,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-UL22A,-0.16777637550641,0.10336221032,-1.33371673347904,0.194845053364059,0.765265734815141,-5.46108952189023,GPL8227,hcmv-miR-UL22A,,hcmv-miR-UL22A,,hcmv-miR-UL22A,GPL8227_platform_table,True,False
GSE27430,miRNA,mirna_validation,limma,IPF_vs_Control,hcmv-miR-UL22A*,0.0109482487628205,0.02369231844,0.450642582752305,0.656301248957348,0.812704864847636,-6.2237702661764,GPL8227,hcmv-miR-UL22A*,,hcmv-miR-UL22A*,,hcmv-miR-UL22A*,GPL8227_platform_table,True,False
