series_id,data_type,dataset_role,method,comparison,feature_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,platform,standard_feature_id,gene_symbol,mirna_name,entrez_id,all_mapped_symbols,annotation_source,is_annotated,is_multi_mapped
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-362-5p_st,-1.39968316,1.4637116974359,-11.0471327113288,2.41828215490807e-21,2.37004939653943e-18,37.8989986534984,GPL8786,hsa-miR-362-5p,,hsa-miR-362-5p,,hsa-mir-362,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-345_st,-1.55204808018868,1.7042046275641,-11.0336060133387,2.63192603724534e-21,2.37004939653943e-18,37.8159837447612,GPL8786,hsa-miR-345,,hsa-miR-345,,hsa-mir-345,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-532-5p_st,-1.9021268,3.19337502564103,-10.8483600529633,8.38040393898815e-21,5.0310358313725496e-18,36.6802917929614,GPL8786,hsa-miR-532-5p,,hsa-miR-532-5p,,hsa-mir-532,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-let-7b_st,-1.03054413207547,10.837096474359,-10.0192143449028,1.4423464950390499e-18,5.19533207513064e-16,31.6326713477106,GPL8786,hsa-let-7b,,hsa-let-7b,,hsa-let-7b,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-500_st,-1.06121498716981,0.969072861538461,-9.92521887503868,2.5733744836208697e-18,7.72441240833531e-16,31.0651413695018,GPL8786,hsa-miR-500,,hsa-miR-500,,hsa-mir-500,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-500-star_st,-1.66988885566038,2.94177553141026,-9.6703968746838,1.2290548168410002e-17,3.1621824644723404e-15,29.5325475095477,GPL8786,hsa-miR-500-star,,hsa-miR-500-star,,hsa-mir-500,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-193a-5p_st,-1.64025236509434,2.26935154679487,-9.58837700948068,2.02901934977094e-17,4.56782981117184e-15,29.0412508449944,GPL8786,hsa-miR-193a-5p,,hsa-miR-193a-5p,,hsa-mir-193a,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-652_st,-1.87139393773585,4.06342521153846,-9.46832967557872,4.2182503186858e-17,8.441187582170141e-15,28.3240633181358,GPL8786,hsa-miR-652,,hsa-miR-652,,hsa-mir-652,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-375_st,-1.5199519354717,1.48566370641026,-9.24031589380774,1.68271435653174e-16,2.7550623237396902e-14,26.9684841862961,GPL8786,hsa-miR-375,,hsa-miR-375,,hsa-mir-375,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-423-3p_st,-1.26878055849056,3.94505307692308,-9.14371455374662,3.01570376262115e-16,4.5260687304005703e-14,26.3969699198417,GPL8786,hsa-miR-423-3p,,hsa-miR-423-3p,,hsa-mir-423,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-502-3p_st,-1.5595321,3.22430853205128,-9.08586810929223,4.27323911703549e-16,5.92007973060071e-14,26.0555797006709,GPL8786,hsa-miR-502-3p,,hsa-miR-502-3p,,hsa-mir-502,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-18a_st,-1.4527038490566,2.14030935897436,-8.86874071269396,1.5718113725212901e-15,1.8872215212739e-13,24.7800919317669,GPL8786,hsa-miR-18a,,hsa-miR-18a,,hsa-mir-18a,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-223_st,-1.62415654264151,1.98517477179487,-8.77126798954014,2.8116979660937603e-15,3.16491752308429e-13,24.2107010184681,GPL8786,hsa-miR-223,,hsa-miR-223,,hsa-mir-223,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-30d_st,-1.3825413490566,5.69642387820513,-8.65835982129945,5.50072465813803e-15,5.50378061628144e-13,23.5537650314952,GPL8786,hsa-miR-30d,,hsa-miR-30d,,hsa-mir-30d,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-30a_st,-1.39235319245283,5.85819525641026,-8.42424974752227,2.19133515621782e-14,1.97329730817415e-12,22.201124287039,GPL8786,hsa-miR-30a,,hsa-miR-30a,,hsa-mir-30a,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-203_st,-1.34545923830189,1.80626095705128,-8.16956329012857,9.70810514120069e-14,7.94740789059202e-12,20.7452427325117,GPL8786,hsa-miR-203,,hsa-miR-203,,hsa-mir-203,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-126_st,-1.08526596603773,7.19214608974359,-8.0316676962375,2.1579246171901898e-13,1.68974879806936e-11,19.9642997852911,GPL8786,hsa-miR-126,,hsa-miR-126,,hsa-mir-126,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,spike_in-control-23_st,-1.28665930188679,12.2737675,-7.96932106610993,3.09122421776856e-13,2.31970617341716e-11,19.6129889313732,GPL8786,spike_in-control-23,,spike_in-control-23,,spike_in-control-23,GPL8786_platform_table,True,False
GSE32538,miRNA,mirna_discovery,limma,IPF_vs_Control,hsa-miR-210_st,-1.66995579735849,3.09823336538462,-7.81510567780245,7.48423422690742e-13,5.3916423370641095e-11,18.7489557516411,GPL8786,hsa-miR-210,,hsa-miR-210,,hsa-mir-210,GPL8786_platform_table,True,False
