gene_set,score_label,gene_symbol,in_input,mapped_to_string,string_id,degree,weighted_degree,betweenness,closeness,clustering_coefficient,component_id,component_size,degree_norm,weighted_degree_norm,betweenness_norm,closeness_norm,hub_score,hub_rank,hub_top20
robust_mrna_strict,high_confidence,MMP7,True,True,9606.ENSP00000260227,3,2.5389999999999997,0.014823008849557524,0.11237533361427166,0.0,1,41,0.1875,0.18753231405569096,0.2345195432952746,0.6349206349206349,1.2444724922716004,39,False
robust_mrna_strict,high_confidence,ARMC3,True,True,9606.ENSP00000298032,4,2.966,0.0064712389380530986,0.11799410029498525,0.16666666666666666,2,41,0.25,0.2190708324100746,0.10238353196099675,0.6666666666666666,1.2381210310377382,40,False
robust_mrna_strict,high_confidence,TP63,True,True,9606.ENSP00000264731,2,1.791,0.024920986093552467,0.09698145229724814,0.0,1,41,0.125,0.13228451141147796,0.394282856904742,0.547945205479452,1.199512573795672,41,False
robust_mrna_strict,high_confidence,C11ORF88,True,True,9606.ENSP00000333845,2,1.459,0.01754108723135272,0.11898564735628765,0.0,2,41,0.125,0.10776275943570426,0.2775231269272439,0.6722689075630253,1.1825547939259735,42,False
robust_mrna_strict,high_confidence,CXCL13,True,True,9606.ENSP00000286758,3,2.362,0.01785714285714286,0.09254439238822373,0.0,1,41,0.1875,0.1744589703818598,0.28252354362863574,0.5228758169934641,1.1673583310039595,43,False
robust_mrna_strict,high_confidence,DNAH9,True,True,9606.ENSP00000262442,4,3.186,0.0003160556257901391,0.11701894244130769,0.6666666666666666,2,41,0.25,0.23532018612896077,0.005000416701391782,0.6611570247933884,1.151477627623741,44,False
robust_mrna_strict,high_confidence,CASC1,True,True,9606.ENSP00000379310,4,3.117,0.0,0.10891763104152485,1.0,2,41,0.25,0.2302237979171283,0.0,0.6153846153846154,1.0956084133017439,45,False
robust_mrna_strict,high_confidence,COL15A1,True,True,9606.ENSP00000364140,4,2.985,0.0,0.10808619874349794,1.0,1,41,0.25,0.22047418568579658,0.0,0.6106870229007634,1.0811612085865598,46,False
robust_mrna_strict,high_confidence,MMP13,True,True,9606.ENSP00000260302,3,2.2809999999999997,0.0014196165191740413,0.10726736390453205,0.3333333333333333,1,41,0.1875,0.1684762537853608,0.022460205017084754,0.6060606060606061,0.9844970648630516,47,False
robust_mrna_strict,high_confidence,SPAG17,True,True,9606.ENSP00000337804,2,1.649,0.006163084702907712,0.11237533361427166,0.0,2,41,0.125,0.12179629219292415,0.09750812567713975,0.6349206349206349,0.9792250527906987,48,False
robust_mrna_strict,high_confidence,PROM1,True,True,9606.ENSP00000426809,3,2.557,0.0,0.10646084237141526,1.0,1,41,0.1875,0.18886180663269075,0.0,0.6015037593984962,0.977865566031187,49,False
robust_mrna_strict,high_confidence,CD24,True,True,9606.ENSP00000481841,3,2.334,0.0,0.10646084237141526,1.0,1,41,0.1875,0.17239087081763793,0.0,0.6015037593984962,0.9613946302161341,50,False
robust_mrna_strict,high_confidence,CDH2,True,True,9606.ENSP00000269141,2,1.605,0.010872313527180785,0.09567089213106912,0.0,1,41,0.125,0.11854642144914691,0.17201433452787732,0.5405405405405406,0.9561012965175648,51,False
robust_mrna_strict,high_confidence,C20ORF85,True,True,9606.ENSP00000360210,2,1.5030000000000001,0.012010113780025285,0.09194345477531317,0.0,2,41,0.125,0.11101263017948151,0.1900158346528877,0.5194805194805194,0.9455089843128887,52,False
robust_mrna_strict,high_confidence,CFAP206,True,True,9606.ENSP00000358575,2,1.494,0.006163084702907712,0.10808619874349794,0.0,2,41,0.125,0.11034788389098162,0.09750812567713975,0.6106870229007634,0.9435430324688847,53,False
robust_mrna_strict,high_confidence,AK7,True,True,9606.ENSP00000267584,2,1.4689999999999999,0.006163084702907712,0.10808619874349794,0.0,2,41,0.125,0.10850136642292635,0.09750812567713975,0.6106870229007634,0.9416965150008294,54,False
