stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore,gene_set,score_label,combined_score
9606.ENSP00000265104,9606.ENSP00000306410,DNAH5,ARMC4,9606,0.858,0.0,0.0,0.0,0.168,0.0,0.0,0.836,robust_mrna_strict,medium_confidence,0.858
9606.ENSP00000331044,9606.ENSP00000358965,ENKUR,C1ORF194,9606,0.857,0.0,0.0,0.0,0.317,0.8,0.0,0.0,robust_mrna_strict,medium_confidence,0.857
9606.ENSP00000339449,9606.ENSP00000404232,CFAP52,EFHC2,9606,0.853,0.0,0.0,0.0,0.17,0.821,0.0,0.09,robust_mrna_strict,medium_confidence,0.853
9606.ENSP00000339449,9606.ENSP00000391504,CFAP52,CCDC173,9606,0.852,0.0,0.0,0.0,0.224,0.817,0.0,0.0,robust_mrna_strict,medium_confidence,0.852
9606.ENSP00000381553,9606.ENSP00000391504,CFAP53,CCDC173,9606,0.851,0.0,0.0,0.0,0.201,0.821,0.0,0.0,robust_mrna_strict,medium_confidence,0.851
9606.ENSP00000358965,9606.ENSP00000381553,C1ORF194,CFAP53,9606,0.85,0.0,0.0,0.0,0.195,0.821,0.0,0.0,robust_mrna_strict,medium_confidence,0.85
9606.ENSP00000341346,9606.ENSP00000381553,TEKT1,CFAP53,9606,0.849,0.0,0.0,0.0,0.139,0.821,0.0,0.1,robust_mrna_strict,medium_confidence,0.849
9606.ENSP00000260453,9606.ENSP00000337946,MNS1,PACRG,9606,0.849,0.0,0.0,0.0,0.064,0.821,0.0,0.171,robust_mrna_strict,medium_confidence,0.849
9606.ENSP00000339449,9606.ENSP00000366402,CFAP52,C9ORF135,9606,0.848,0.0,0.0,0.0,0.179,0.822,0.0,0.0,robust_mrna_strict,medium_confidence,0.848
9606.ENSP00000358965,9606.ENSP00000366402,C1ORF194,C9ORF135,9606,0.847,0.0,0.0,0.0,0.194,0.817,0.0,0.0,robust_mrna_strict,medium_confidence,0.847
9606.ENSP00000337946,9606.ENSP00000358965,PACRG,C1ORF194,9606,0.846,0.0,0.0,0.0,0.177,0.821,0.0,0.0,robust_mrna_strict,medium_confidence,0.846
9606.ENSP00000337946,9606.ENSP00000341346,PACRG,TEKT1,9606,0.846,0.0,0.0,0.0,0.188,0.817,0.0,0.0,robust_mrna_strict,medium_confidence,0.846
9606.ENSP00000294664,9606.ENSP00000311273,WDR63,DNAH7,9606,0.846,0.0,0.0,0.207,0.09,0.263,0.72,0.128,robust_mrna_strict,medium_confidence,0.846
9606.ENSP00000294664,9606.ENSP00000379310,WDR63,CASC1,9606,0.844,0.0,0.0,0.0,0.076,0.0,0.72,0.446,robust_mrna_strict,medium_confidence,0.844
9606.ENSP00000358965,9606.ENSP00000404232,C1ORF194,EFHC2,9606,0.844,0.0,0.0,0.0,0.181,0.817,0.0,0.0,robust_mrna_strict,medium_confidence,0.844
9606.ENSP00000374045,9606.ENSP00000480538,DNAH6,DNAI1,9606,0.844,0.0,0.0,0.0,0.278,0.263,0.36,0.598,robust_mrna_strict,medium_confidence,0.844
9606.ENSP00000261383,9606.ENSP00000294664,DNAH3,WDR63,9606,0.843,0.0,0.0,0.0,0.085,0.263,0.72,0.268,robust_mrna_strict,medium_confidence,0.843
9606.ENSP00000331044,9606.ENSP00000381553,ENKUR,CFAP53,9606,0.842,0.0,0.0,0.0,0.124,0.814,0.0,0.109,robust_mrna_strict,medium_confidence,0.842
9606.ENSP00000366402,9606.ENSP00000381553,C9ORF135,CFAP53,9606,0.839,0.0,0.0,0.0,0.14,0.821,0.0,0.0,robust_mrna_strict,medium_confidence,0.839
9606.ENSP00000262103,9606.ENSP00000306410,EFCAB1,ARMC4,9606,0.838,0.0,0.0,0.234,0.216,0.507,0.0,0.519,robust_mrna_strict,medium_confidence,0.838
9606.ENSP00000260453,9606.ENSP00000391504,MNS1,CCDC173,9606,0.838,0.0,0.0,0.0,0.146,0.817,0.0,0.0,robust_mrna_strict,medium_confidence,0.838
9606.ENSP00000265104,9606.ENSP00000311273,DNAH5,DNAH7,9606,0.836,0.0,0.0,0.084,0.147,0.0,0.72,0.338,robust_mrna_strict,medium_confidence,0.836
9606.ENSP00000337946,9606.ENSP00000391504,PACRG,CCDC173,9606,0.836,0.0,0.0,0.0,0.113,0.821,0.0,0.051,robust_mrna_strict,medium_confidence,0.836
9606.ENSP00000366402,9606.ENSP00000391504,C9ORF135,CCDC173,9606,0.836,0.0,0.0,0.0,0.141,0.817,0.0,0.0,robust_mrna_strict,medium_confidence,0.836
9606.ENSP00000260453,9606.ENSP00000358965,MNS1,C1ORF194,9606,0.833,0.0,0.0,0.0,0.067,0.818,0.0,0.092,robust_mrna_strict,medium_confidence,0.833
9606.ENSP00000331044,9606.ENSP00000341346,ENKUR,TEKT1,9606,0.833,0.0,0.0,0.0,0.192,0.8,0.0,0.05,robust_mrna_strict,medium_confidence,0.833
9606.ENSP00000337946,9606.ENSP00000381553,PACRG,CFAP53,9606,0.832,0.0,0.0,0.0,0.074,0.824,0.0,0.051,robust_mrna_strict,medium_confidence,0.832
9606.ENSP00000222573,9606.ENSP00000225964,ITGB8,COL1A1,9606,0.832,0.0,0.0,0.0,0.0,0.045,0.65,0.537,robust_mrna_strict,medium_confidence,0.832
9606.ENSP00000260453,9606.ENSP00000331044,MNS1,ENKUR,9606,0.831,0.0,0.0,0.0,0.044,0.815,0.0,0.124,robust_mrna_strict,medium_confidence,0.831
9606.ENSP00000364694,9606.ENSP00000369071,ASPN,POSTN,9606,0.83,0.0,0.0,0.0,0.39,0.045,0.0,0.733,robust_mrna_strict,medium_confidence,0.83
9606.ENSP00000366402,9606.ENSP00000404232,C9ORF135,EFHC2,9606,0.829,0.0,0.0,0.0,0.104,0.817,0.0,0.0,robust_mrna_strict,medium_confidence,0.829
9606.ENSP00000391504,9606.ENSP00000404232,CCDC173,EFHC2,9606,0.829,0.0,0.0,0.0,0.101,0.818,0.0,0.0,robust_mrna_strict,medium_confidence,0.829
9606.ENSP00000331044,9606.ENSP00000391504,ENKUR,CCDC173,9606,0.828,0.0,0.0,0.0,0.112,0.814,0.0,0.042,robust_mrna_strict,medium_confidence,0.828
