gene_set,score_label,gene_symbol,in_input,mapped_to_string,string_id,degree,weighted_degree,betweenness,closeness,clustering_coefficient,component_id,component_size,degree_norm,weighted_degree_norm,betweenness_norm,closeness_norm,hub_score,hub_rank,hub_top20
robust_mrna_strict,medium_confidence,DNAI1,True,True,9606.ENSP00000480538,28,19.823,0.1152891740904285,0.32148824623710465,0.43386243386243384,1,219,0.6829268292682927,0.7568052533119536,1.0,0.9299847792998477,3.369716861880094,1,True
robust_mrna_strict,medium_confidence,TEKT1,True,True,9606.ENSP00000341346,41,26.193,0.049231078339553994,0.31107183766977586,0.32195121951219513,1,219,1.0,1.0,0.4270225606867387,0.8998527245949928,3.326875285281732,2,True
robust_mrna_strict,medium_confidence,CFAP52,True,True,9606.ENSP00000339449,39,23.537,0.05330246752539505,0.3101582639908631,0.28205128205128205,1,219,0.9512195121951219,0.8985988622914518,0.4623371443669689,0.8972099853157122,3.209365504169255,3,True
robust_mrna_strict,medium_confidence,COL1A1,True,True,9606.ENSP00000225964,34,22.442,0.0427109441619191,0.34569194398981634,0.3582887700534759,1,219,0.8292682926829268,0.8567937998701943,0.3704679515564769,1.0,3.056530044109598,4,True
robust_mrna_strict,medium_confidence,COL3A1,True,True,9606.ENSP00000304408,33,20.117,0.04031447780904525,0.341224196733082,0.3560606060606061,1,219,0.8048780487804879,0.7680296262360172,0.3496813827239675,0.987075928917609,2.9096649866580817,5,True
robust_mrna_strict,medium_confidence,POSTN,True,True,9606.ENSP00000369071,31,17.957,0.05588810246366682,0.33849002849002846,0.3548387096774194,1,219,0.7560975609756098,0.685564845569427,0.48476453148870935,0.9791666666666665,2.9055936047004125,6,True
robust_mrna_strict,medium_confidence,RSPH4A,True,True,9606.ENSP00000229554,33,19.637,0.04483571313703005,0.30130924076715804,0.3446969696969697,1,219,0.8048780487804879,0.7497041194212194,0.3888978604518634,0.8716119828815977,2.8150920115351683,7,True
robust_mrna_strict,medium_confidence,SPAG17,True,True,9606.ENSP00000337804,18,9.67,0.11470713848554517,0.3264571526704448,0.27450980392156865,1,219,0.43902439024390244,0.3691826060397816,0.9949515155306187,0.9443585780525502,2.747517089866853,8,True
robust_mrna_strict,medium_confidence,TTC25,True,True,9606.ENSP00000478589,24,14.312,0.07770621199355283,0.31572164092343463,0.5181159420289855,1,219,0.5853658536585366,0.5464055281945558,0.6740113510797032,0.913303437967115,2.7190861708999106,9,True
robust_mrna_strict,medium_confidence,COL6A3,True,True,9606.ENSP00000295550,16,10.238999999999999,0.10868122449050294,0.33740859069932555,0.49166666666666664,1,219,0.3902439024390244,0.3909059672431565,0.9426836938328438,0.976038338658147,2.6998719021731716,10,True
robust_mrna_strict,medium_confidence,COL1A2,True,True,9606.ENSP00000297268,31,19.268,0.024002192487905777,0.3315820687249259,0.37849462365591396,1,219,0.7560975609756098,0.7356163860573436,0.20819120856117293,0.9591836734693878,2.659088829063514,11,True
robust_mrna_strict,medium_confidence,VCAM1,True,True,9606.ENSP00000294728,25,12.834999999999999,0.07494439020944624,0.30925004067024564,0.24333333333333335,1,219,0.6097560975609756,0.49001641659985484,0.6500557472175372,0.8945827232796486,2.644410984658016,12,True
robust_mrna_strict,medium_confidence,ARMC4,True,True,9606.ENSP00000306410,29,18.568,0.015614218346906955,0.3043483829650977,0.458128078817734,1,219,0.7073170731707317,0.7088916886190967,0.135435252009523,0.8804034582132566,2.432047472012608,13,True
robust_mrna_strict,medium_confidence,SOX2,True,True,9606.ENSP00000323588,18,10.024000000000001,0.07791976054431202,0.31954278029920996,0.21568627450980393,1,219,0.43902439024390244,0.38269766731569504,0.6758636373194475,0.924357034795764,2.421942729674809,14,True
robust_mrna_strict,medium_confidence,IGF1,True,True,9606.ENSP00000376637,25,13.249,0.04354256962705112,0.3061127214170693,0.36333333333333334,1,219,0.6097560975609756,0.5058221662276181,0.37768133886446237,0.8855072463768118,2.378766849029868,15,True
robust_mrna_strict,medium_confidence,SPP1,True,True,9606.ENSP00000378517,23,13.641,0.03863294219986972,0.32797791580400276,0.45454545454545453,1,219,0.5609756097560976,0.5207879967930363,0.3350960097048444,0.9487577639751552,2.365617380229134,16,True
robust_mrna_strict,medium_confidence,CFAP43,True,True,9606.ENSP00000349568,29,14.386,0.025790976571647965,0.2970714174089702,0.3374384236453202,1,219,0.7073170731707317,0.5492307104951704,0.22370683782866282,0.859353023909986,2.339607645404551,17,True
robust_mrna_strict,medium_confidence,DNAH5,True,True,9606.ENSP00000265104,24,16.608999999999998,0.02181647024768056,0.3034738186462324,0.4927536231884058,1,219,0.5853658536585366,0.6341007139312029,0.1892326007172932,0.8778735632183907,2.2865727315254234,18,True
robust_mrna_strict,medium_confidence,KRT5,True,True,9606.ENSP00000252242,16,10.136,0.061438360524742316,0.32002693602693605,0.24166666666666667,1,219,0.3902439024390244,0.3869736189058145,0.5329065891004855,0.9257575757575758,2.2358816862029003,19,True
robust_mrna_strict,medium_confidence,THY1,True,True,9606.ENSP00000284240,18,11.32,0.049428496635573305,0.32099966227625804,0.39215686274509803,1,219,0.43902439024390244,0.43217653571564923,0.4287349356566944,0.9285714285714286,2.2285072901876744,20,True
robust_mrna_strict,medium_confidence,ARMC3,True,True,9606.ENSP00000298032,27,14.845,0.018464962324413667,0.2797586460632818,0.3903133903133903,1,219,0.6585365853658537,0.5667544763868209,0.16016215286554525,0.8092715231788079,2.194724737797028,21,False
robust_mrna_strict,medium_confidence,MUC5B,True,True,9606.ENSP00000436812,9,5.572,0.08880084616792817,0.31714381047714385,0.1388888888888889,1,219,0.21951219512195122,0.21272859160844498,0.7702444472216977,0.9174174174174176,2.1199026513695114,22,False
robust_mrna_strict,medium_confidence,TGFB3,True,True,9606.ENSP00000238682,21,13.289,0.025196204116725827,0.2954094794094794,0.3952380952380952,1,219,0.5121951219512195,0.5073492917955178,0.21854787594334632,0.8545454545454546,2.0926377442355384,23,False
robust_mrna_strict,medium_confidence,DNAH12,True,True,9606.ENSP00000312554,23,13.838,0.009149713780241634,0.29499689633767845,0.47035573122529645,1,219,0.5609756097560976,0.5283090902149429,0.07936316529655196,0.8533519553072625,2.021999820574855,24,False
robust_mrna_strict,medium_confidence,RSPH1,True,True,9606.ENSP00000291536,22,12.957,0.01466925668549175,0.2889436084511324,0.45454545454545453,1,219,0.5365853658536586,0.4946741495819494,0.12723880452110564,0.835841313269494,1.9943396332262076,25,False
robust_mrna_strict,medium_confidence,CDH2,True,True,9606.ENSP00000269141,18,10.214,0.029815618187975627,0.30566972182022834,0.41830065359477125,1,219,0.43902439024390244,0.3899515137632192,0.2586159405096386,0.8842257597684515,1.9718176042852118,26,False
robust_mrna_strict,medium_confidence,DNAH9,True,True,9606.ENSP00000262442,23,13.668,0.006698726104882217,0.28542942942942945,0.5019762845849802,1,219,0.5609756097560976,0.5218188065513686,0.05810368716517986,0.8256756756756757,1.9665737791483218,27,False
robust_mrna_strict,medium_confidence,EFCAB1,True,True,9606.ENSP00000262103,18,10.939,0.027626957120422523,0.28581566681702003,0.5163398692810458,1,219,0.43902439024390244,0.4176306646814034,0.2396318417439002,0.8267929634641408,1.9230798601333468,28,False
robust_mrna_strict,medium_confidence,DNAAF1,True,True,9606.ENSP00000367815,21,13.166,0.0039415521197403896,0.29173726212400247,0.5857142857142857,1,219,0.5121951219512195,0.5026533806742259,0.03418839757364194,0.8439226519337016,1.892959552132789,29,False
robust_mrna_strict,medium_confidence,CCDC173,True,True,9606.ENSP00000391504,18,12.329,0.023431567759617744,0.2690672328379335,0.49019607843137253,1,219,0.43902439024390244,0.4706982781659222,0.2032417002245059,0.778343949044586,1.8913083176789165,30,False
robust_mrna_strict,medium_confidence,HYDIN,True,True,9606.ENSP00000377197,18,11.041,0.014576442724983193,0.30002525252525253,0.5359477124183006,1,219,0.43902439024390244,0.42152483487954795,0.12643375095696305,0.8678977272727273,1.8548807033531407,31,False
robust_mrna_strict,medium_confidence,CFAP53,True,True,9606.ENSP00000381553,19,13.04,0.010547814268725508,0.27044529805093187,0.5263157894736842,1,219,0.4634146341463415,0.49784293513534145,0.09149006705913426,0.7823303457106274,1.8350779820514447,32,False
robust_mrna_strict,medium_confidence,HAS2,True,True,9606.ENSP00000306991,6,2.622,0.0734606151270088,0.32197831978319785,0.6666666666666666,1,219,0.14634146341463414,0.10010308097583323,0.6371857176233134,0.9314024390243902,1.815032701038171,33,False
robust_mrna_strict,medium_confidence,SPAG6,True,True,9606.ENSP00000365811,19,10.695,0.010854329061234111,0.29093357820630544,0.38011695906432746,1,219,0.4634146341463415,0.4083151987172145,0.0941487277263378,0.8415977961432506,1.8074763567331442,34,False
robust_mrna_strict,medium_confidence,DRC1,True,True,9606.ENSP00000288710,20,12.29,0.0031491918227661993,0.2827547225940801,0.6421052631578947,1,219,0.4878048780487805,0.4692093307372198,0.027315590102988258,0.8179384203480591,1.8022682192370476,35,False
robust_mrna_strict,medium_confidence,CFH,True,True,9606.ENSP00000356399,9,5.373,0.057900815765416426,0.2991753226314133,0.0,1,219,0.21951219512195122,0.20513114190814338,0.5022224872562726,0.8654390934844192,1.7923049177707864,36,False
robust_mrna_strict,medium_confidence,C1ORF194,True,True,9606.ENSP00000358965,18,12.58,0.010172459173581751,0.26601735236495944,0.5882352941176471,1,219,0.43902439024390244,0.48028099110449357,0.08823429653163146,0.7695214105793451,1.7770610884593725,37,False
robust_mrna_strict,medium_confidence,COL15A1,True,True,9606.ENSP00000364140,17,9.584,0.012929876819022705,0.3017396825396826,0.5073529411764706,1,219,0.4146341463414634,0.36589928606879696,0.11215169959393581,0.872857142857143,1.7655422748613392,38,False
robust_mrna_strict,medium_confidence,MNS1,True,True,9606.ENSP00000260453,17,11.669,0.00915710890900932,0.27901952150300896,0.5955882352941176,1,219,0.4146341463414634,0.44550070629557514,0.0794273094698972,0.8071334214002642,1.7466955835071998,39,False
robust_mrna_strict,medium_confidence,MMP1,True,True,9606.ENSP00000322788,15,8.664,0.013697045875494319,0.31572164092343463,0.6857142857142857,1,219,0.36585365853658536,0.3307753980071011,0.11880600224224756,0.913303437967115,1.728738496753049,40,False
robust_mrna_strict,medium_confidence,MYH11,True,True,9606.ENSP00000379616,12,6.573,0.036474063236814465,0.2954094794094794,0.25757575757575757,1,219,0.2926829268292683,0.250944908945138,0.31637023618718596,0.8545454545454546,1.7145435265070468,41,False
robust_mrna_strict,medium_confidence,COL14A1,True,True,9606.ENSP00000297848,16,10.245000000000001,0.004191636250196459,0.30260426615727476,0.625,1,219,0.3902439024390244,0.39113503607834155,0.03635758763358559,0.8753581661891118,1.6930946923400634,42,False
