stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore,gene_set,score_label,combined_score
9606.ENSP00000225964,9606.ENSP00000297268,COL1A1,COL1A2,9606,0.999,0,0.0,0.061,0.964,0.649,0.9,0.981,robust_mrna_strict,high_confidence,0.999
9606.ENSP00000264260,9606.ENSP00000387211,IL18RAP,IL18R1,9606,0.999,0,0.0,0.0,0.78,0.9,0.9,0.987,robust_mrna_strict,high_confidence,0.999
9606.ENSP00000225964,9606.ENSP00000304408,COL1A1,COL3A1,9606,0.999,0,0.0,0.065,0.958,0.0,0.9,0.965,robust_mrna_strict,high_confidence,0.999
9606.ENSP00000297268,9606.ENSP00000304408,COL1A2,COL3A1,9606,0.999,0,0.0,0.076,0.999,0.229,0.9,0.966,robust_mrna_strict,high_confidence,0.999
9606.ENSP00000357726,9606.ENSP00000364210,S100A12,AGER,9606,0.999,0,0.0,0.0,0.106,0.41,0.5,0.997,robust_mrna_strict,high_confidence,0.999
9606.ENSP00000225844,9606.ENSP00000337065,CCL13,CXCL14,9606,0.996,0,0.0,0.0,0.068,0.994,0.0,0.37,robust_mrna_strict,high_confidence,0.996
9606.ENSP00000265104,9606.ENSP00000480538,DNAH5,DNAI1,9606,0.995,0,0.0,0.231,0.134,0.263,0.54,0.983,robust_mrna_strict,high_confidence,0.995
9606.ENSP00000357721,9606.ENSP00000357726,S100A8,S100A12,9606,0.995,0,0.0,0.0,0.988,0.046,0.0,0.591,robust_mrna_strict,high_confidence,0.995
9606.ENSP00000379616,9606.ENSP00000386857,MYH11,ACTG2,9606,0.993,0,0.0,0.0,0.776,0.238,0.9,0.67,robust_mrna_strict,high_confidence,0.993
9606.ENSP00000229554,9606.ENSP00000291536,RSPH4A,RSPH1,9606,0.99,0,0.0,0.0,0.222,0.828,0.0,0.932,robust_mrna_strict,high_confidence,0.99
9606.ENSP00000350132,9606.ENSP00000435380,PLN,SLN,9606,0.986,0,0.0,0.0,0.179,0.51,0.0,0.969,robust_mrna_strict,high_confidence,0.986
9606.ENSP00000238682,9606.ENSP00000386043,TGFB3,LTBP1,9606,0.984,0,0.0,0.0,0.094,0.045,0.9,0.846,robust_mrna_strict,high_confidence,0.984
9606.ENSP00000312554,9606.ENSP00000374045,DNAH12,DNAH6,9606,0.981,0,0.213,0.0,0.294,0.0,0.36,0.953,robust_mrna_strict,high_confidence,0.981
9606.ENSP00000304408,9606.ENSP00000369071,COL3A1,POSTN,9606,0.976,0,0.0,0.0,0.791,0.076,0.0,0.886,robust_mrna_strict,high_confidence,0.976
9606.ENSP00000225964,9606.ENSP00000295550,COL1A1,COL6A3,9606,0.974,0,0.0,0.0,0.685,0.0,0.4,0.875,robust_mrna_strict,high_confidence,0.974
