sample_id,group,label,ABCA13,ABCA3,ACADL,ACSL1,ACTG2,ACVRL1,ADGB,ADH7,ADM,AFF3,AGBL2,AGER,AK7,ALOX15,AMPD1,ANK2,ANKRD1,ANKRD36B,APLNR,ARMC2,ARMC3,ARMC4,ASPA,ASPN,BPIFA1,BPIFB1,BTNL9,C10ORF107,C11ORF70,C11ORF88,C12ORF75,C1ORF110,C1ORF192,C1ORF194,C1ORF87,C20ORF26,C20ORF85,C6,C6ORF118,C6ORF165,C7ORF63,C9ORF117,C9ORF135,CACNA2D2,CAP2,CAPN13,CAPS,CAPS2,CAPSL,CASC1,CASQ2,CBS,CCDC11,CCDC113,CCDC141,CCDC146,CCDC17,CCDC39,CCDC60,CCDC80,CCL13,CCL18,CD163,CD1C,CD24,CD274,CDH2,CDH3,CDHR3,CERKL,CFH,CHI3L2,CHST9,CLCA2,CLDN1,CLDN8,CLEC4D,CLEC4E,CLIC6,CNTN3,COL14A1,COL15A1,COL17A1,COL1A1,COL1A2,COL3A1,COL6A3,COMP,CP,CPA3,CPB2,CRISPLD1,CRTAC1,CSF3R,CSRNP1,CTSK,CWH43,CXCL13,CXCL14,CXORF22,CYP24A1,DCDC1,DCLK1,DES,DIO2,DLEC1,DNAAF1,DNAH10,DNAH11,DNAH12,DNAH3,DNAH5,DNAH6,DNAH7,DNAH9,DNAI1,DNAJA4,DNALI1,DPY19L2P2,DSC3,DTHD1,DUOX1,DZIP3,ECM2,EFCAB1,EFCAB10,EFHB,EFHC1,EFHC2,ENKUR,EPC1,EPHA3,F2RL3,FAM13C,FAM154B,FAM183A,FAM216B,FAM81B,FAM83D,FANK1,FAP,FASN,FCN3,FGA,FGF14,FGG,FIBIN,FIGF,FKBP5,FLT1,FMO5,FNDC1,FPR1,FPR2,GEM,GLDN,GLT1D1,GLT8D2,GOLM1,GPR4,GPR97,GPX3,GPX8,GRASP,GRIA1,GSTA1,GXYLT2,HAS2,HDC,HECW2,HHIP,HHLA2,HIF3A,HMCN1,HMGCS1,HP,HPGDS,HPSE2,HSD17B13,HSD17B6,HSPA4L,HYDIN,ID1,IGF1,IGJ,IL13RA2,IL18R1,IL18RAP,IL1R2,IL1RL1,IL5RA,IL7R,INMT,IQCG,IQUB,ITGA10,ITGB8,ITLN2,KCNRG,KIAA1324,KIAA1377,KIAA1407,KLHL13,KRT15,KRT5,LAMP5,LEPREL1,LINC00312,LPPR4,LRP2,LRRC17,LRRC32,LRRC46,LRRC48,LRRC6,LRRIQ1,LRRN1,LRRN4,LTBP1,MAP1A,MDH1B,MFSD2A,MGAM,MME,MMP1,MMP13,MMP7,MNS1,MORN5,MS4A15,MS4A2,MSMB,MT1JP,MT1M,MT1X,MUC16,MUC4,MUC5B,MXRA5,MYB,MYH11,MYOCD,NAALADL2,NECAB1,NEK10,NEK11,NEK5,NELL2,NME5,NPR1,NRP2,OGN,ORM1,P2RY1,PACRG,PAMR1,PAPSS2,PCDH7,PDE7B,PDGFRA,PEBP4,PFN2,PGC,PGM5,PIH1D2,PIP,PLA2G1B,PLA2G4F,PLEKHG7,PLLP,PLN,POSTN,PPAP2C,PPIL6,PROK2,PROM1,PRSS12,PRUNE2,PSD3,PTCHD4,PTGFRN,PTPRB,PTX3,RASSF9,RGS22,RNASE2,ROBO2,ROPN1L,RP1,RPGRIP1L,RSPH1,RSPH4A,RTKN2,RXFP1,S100A12,S100A8,S100A9,S1PR1,SCGB1A1,SCGB3A1,SCGB3A2,SCN1A,SDR16C5,SEMA3D,SERPINA3,SERPINB3,SERPINB5,SERPIND1,SERPINE1,SERPINI2,SFRP2,SFRP4,SFTA2,SIX1,SIX4,SLAMF7,SLC11A1,SLC18A2,SLC19A3,SLC27A2,SLC39A8,SLC44A4,SLC6A14,SLC6A4,SLCO2A1,SLCO4A1,SLCO4C1,SLFN13,SLITRK6,SLN,SMAD6,SNTN,SOX2,SPA17,SPAG17,SPAG6,SPATA17,SPATA18,SPEF2,SPP1,SPRY4,ST6GALNAC1,STK33,STOML3,STOX1,SULF1,SULT1B1,SYNPO2,SYTL2,TDO2,TEKT1,TEX9,TGFB3,THBS1,THY1,TMEM100,TMEM2,TMEM212,TMEM232,TMEM45A,TMEM67,TMPRSS4,TNC,TNFRSF19,TP63,TPPP3,TRIM2,TRIM29,TSGA10,TSPAN1,TTC18,TTC25,TTN,UBXN10,VCAM1,VIPR1,VNN2,VSIG1,VTCN1,VWA3A,VWA3B,WDR16,WDR49,WDR63,WDR65,WDR66,WDR78,WDR96,ZBBX,ZBTB16,ZNF385B,ZNF385D,ZNF521
GSM2433108,IPF,1,782,33220,378,28600,9110,6878,64,284,3136,470,162,2428,188,154,254,4252,1074,348,494,266,196,170,406,5300,9276,63842,632,132,270,130,654,32,436,58,72,88,288,454,86,142,652,194,90,5566,578,3974,1528,128,112,110,626,646,106,362,768,544,320,364,72,23488,2510,31056,49818,212,7328,1992,458,3252,620,138,32548,3586,314,1522,3702,98,340,872,5376,362,34962,9450,3234,131756,181460,275630,158950,3168,9650,10754,608,482,1356,5832,5092,9538,28,2544,4266,26,2084,8,2230,17356,1696,332,662,464,276,230,366,1586,254,332,438,118,1324,768,88,1644,242,4376,1178,3556,236,32,116,1322,174,144,1794,1784,1202,594,200,98,510,148,1080,158,2146,13406,1772,2520,366,10394,1416,264,54552,5288,2310,928,4920,2966,5130,3292,210,1734,4940,890,584,40898,2256,1162,86,354,504,1908,938,1898,1932,236,656,15126,2760,12868,840,686,18,472,384,766,2868,14940,99544,1264,3250,840,2580,8566,402,4056,9836,664,68,656,1608,12,48,1098,508,446,302,2504,9142,208,1016,688,746,1158,850,7924,152,238,190,174,922,418,19154,1654,138,3896,612,1996,14494,942,18878,296,46,158,1220,596,96,6988,25956,2206,5454,21312,13280,198,60510,1102,518,452,90,334,64,328,186,2052,6018,3884,86,322,72,622,7338,2204,680,26198,1236,2150,11664,2022,102,52,66,2546,148,762,2610,60586,984,254,108,1636,752,3986,3546,506,8562,5098,30476,274,316,176,2128,126,38,460,278,284,332,54,606,3718,10008,6888,14366,25338,3782,282,4332,1154,28686,2634,1054,2666,39468,16,28860,2072,1536,324,416,1608,5408,2468,732,524,11706,2596,9280,138,13622,1382,848,1136,454,320,496,324,258,294,130,320,82,1342,314,11230,5902,1536,314,78,124,9732,108,8764,3258,1548,180,250,2782,205452,13100,1040,17158,66,116,5026,512,1528,35478,3430,832,2084,4946,1106,162,3788,228,122,3390,776,19428,552,624,458,422,186,148,106,96,168,152,218,324,418,144,5228,948,428,1002
GSM2433109,IPF,1,2346,8782,452,11854,2078,2062,1508,1072,658,340,1980,3192,2792,3590,90,1228,428,280,204,1120,4428,2868,134,2664,21528,257634,1008,1930,2502,3282,2392,1002,2438,2450,2176,1248,7488,5656,1488,2506,1516,2720,1530,3572,710,4456,29160,820,3512,1876,398,718,2766,4844,124,6684,6240,2364,1122,4460,1148,22380,44018,108,26738,328,98,2542,15390,746,17924,402,3862,2118,4614,1078,72,626,10952,534,6390,2694,3904,12146,27132,30984,20920,1808,15064,3938,316,972,728,1828,1464,2690,1622,722,2278,302,1058,74,792,6550,646,4294,4944,5714,3194,4082,5536,7766,3250,3088,7980,2820,8874,3542,776,2970,3078,10064,5024,1314,5682,570,1208,8910,1486,3798,1386,684,546,546,3788,2832,7780,3052,384,1952,316,7782,1196,116,938,542,1176,24,25172,1842,2202,352,2060,400,992,1576,140,778,8594,278,150,28948,1834,804,88,3906,130,142,174,228,110,2366,1228,4246,2414,3032,280,344,248,210,1066,7082,4658,1864,76622,312,1110,158,1614,640,2086,1046,5438,4706,898,850,2168,8,856,5970,2670,1834,718,9216,15562,86,752,166,208,320,318,1566,4130,2790,1436,2542,764,194,6972,4122,1864,1684,314,958,5330,532,30152,2740,1728,1028,556,7756,12,938,6162,5788,10926,38572,1914,1320,21530,258,552,170,1034,2464,602,2572,2270,1302,6176,1768,28,166,1392,486,3698,1268,486,6288,1842,4662,29472,1884,1094,716,74,1036,982,958,1344,16370,3044,3656,46,5328,3108,3222,2978,360,3908,3512,894,458,2300,84,734,2284,686,1492,7620,4532,148,52,102,1382,4594,2474,114636,89116,74034,110,2432,268,14584,7352,2460,412,1770,314,7162,798,2042,1318,1592,1026,4600,1040,306,2090,3890,13268,1980,46,4868,488,760,3296,2520,30,550,7948,2354,2670,2570,5910,1150,8586,3272,14946,1268,6772,2990,2256,1530,2098,92,3114,3772,182,5084,1204,630,18610,1834,812,3052,1316,1864,5984,2296,4244,6232,5884,1790,23272,7806,4916,2272,29866,2434,2888,1470,7054,312,720,508,112,864,2470,3652,2598,1074,2096,2784,4214,4238,8774,4182,3628,468,234,870
GSM2433110,IPF,1,2910,22114,1064,9088,4710,6452,844,482,1200,842,1288,14368,1472,4396,268,2900,3524,562,1454,902,2274,1554,404,7288,4814,58162,2352,996,1064,2026,1830,344,1214,626,972,524,2968,2272,920,1306,1658,1782,778,5368,888,3042,15020,632,1530,812,624,396,1352,2262,500,3460,3400,1572,398,8362,964,6620,7790,560,17744,1612,540,2436,5772,702,23472,1384,2386,1934,5164,722,78,454,7268,520,18522,4420,2808,38410,76092,90586,45870,3390,8606,12954,910,784,2006,2798,6594,6158,204,2230,1580,250,1114,62,1520,13266,1112,1818,2318,3010,2570,2904,2796,6308,2612,1786,3840,1490,5488,3064,522,1216,1760,6830,3130,4124,2868,378,1102,5816,786,2270,2094,1356,1862,1024,2328,1298,3718,1368,968,1106,1070,6736,11578,888,1038,3484,1358,244,14934,3710,2502,1066,1334,538,3860,1130,132,1270,4712,600,170,24970,1456,2084,760,4234,270,652,2024,1954,1274,2190,752,12294,3276,844,934,1354,692,1530,792,3884,7600,3900,292870,1102,3292,476,332,7216,1034,2502,11480,2612,486,904,2088,192,476,4298,2014,1588,632,4502,7146,300,2670,410,920,1724,1004,4036,2188,1638,784,1604,804,332,12762,1994,1104,3816,232,2170,7762,854,25450,1468,696,1048,2734,5310,90,2532,6712,2690,7526,7498,3990,990,37784,776,466,584,600,1838,434,1304,938,2368,5208,4434,40,298,670,570,7300,1976,816,8996,1234,3602,8266,2664,502,206,308,1358,596,1074,2676,25310,1742,1680,70,3170,2944,2892,3098,256,4128,9062,1190,700,1244,44,2678,788,548,848,3094,2260,2054,310,184,2232,3880,6238,239376,82304,30914,540,2718,1630,4846,3216,390,102,3958,236,9602,2902,3058,908,1076,4780,2968,3068,828,1216,12818,5226,4246,3036,9044,928,1578,2202,1710,126,3644,3786,1388,1120,2266,3226,696,4996,2032,4566,3960,3780,1364,482,758,3674,76,9216,4130,760,2056,734,1694,69086,5634,12238,10502,718,1086,3734,1746,1238,10088,5224,1864,13744,5088,1888,1090,11202,2222,1246,4094,3502,1816,4442,536,172,772,1470,2172,1528,750,982,1458,1734,2416,4526,2370,3652,982,352,1210
GSM2433111,IPF,1,2684,19784,586,8438,14218,2404,1634,1286,814,578,2586,2468,2174,3322,434,2714,66,788,2166,1456,3142,2118,252,3662,6894,322604,990,1538,2244,2238,2244,482,2220,2506,1476,912,6888,3238,1516,2100,2000,3288,1226,5110,792,15806,24044,1046,3060,1176,908,618,2514,3568,234,6110,6488,1826,862,2780,1212,10658,7530,636,22682,684,404,3732,11418,706,15940,2230,3474,3556,7072,582,32,230,12700,852,8322,4962,2720,30176,57578,74988,36852,1030,14884,4512,366,768,1830,4254,4098,6006,676,6498,6262,208,2122,54,1200,23148,806,5922,5284,4024,2274,5110,4062,8202,3728,2508,5070,3350,7268,3548,1148,2342,2008,7058,5658,1586,5640,542,986,10510,1612,2782,1562,930,200,492,4468,3002,5824,2476,952,2422,756,4730,3068,660,940,1946,666,20,2156,2516,1840,1134,748,110,5610,542,90,1014,9068,534,552,13296,1942,1684,218,4762,124,398,1336,532,1062,720,566,5342,4168,7846,588,762,126,1308,806,4526,3680,1966,85170,790,1206,360,218,180,1506,734,4952,4874,704,740,2810,16,966,6408,2636,2860,860,9472,15706,190,1244,462,890,804,644,2598,4174,3214,1216,1692,844,268,9982,3206,2076,3468,168,782,26296,950,39492,2204,1850,244,1266,14300,16,220,1754,7314,14916,23550,2376,1432,39808,564,402,526,596,2112,522,2082,2148,918,4358,1266,96,80,1126,850,3412,1830,620,2420,2734,5912,14436,2988,822,590,170,962,1104,754,3130,15020,3888,2700,174,10384,3098,3952,2458,554,4964,3290,218,462,2122,60,1272,1960,562,1302,8058,3352,634,174,92,2828,6226,2432,136146,126666,47668,1228,2504,428,6256,2142,1776,2656,2850,604,10998,1388,4004,2042,1598,3702,4488,3334,790,1578,7090,10778,3796,74,3904,192,1090,4448,1266,368,820,8214,3286,2244,3324,5980,1054,7912,2862,8116,1626,3696,3178,1152,968,4306,16,10402,5106,578,3288,1060,2244,34032,3122,1422,4090,1188,1526,10730,2522,4050,11976,9026,2302,25014,10086,2808,1872,29314,4274,2292,3186,4194,2346,694,624,626,1552,3630,2576,2444,1010,1598,1952,3820,3724,8606,3708,134,832,248,1188
GSM2433112,IPF,1,6194,4236,360,9738,22508,2600,2024,826,554,462,2488,1852,4256,5532,410,3578,42,422,782,1822,5722,4316,230,11460,4288,168280,308,2776,3144,4596,3762,964,3072,3458,2512,1518,9270,7402,2458,3726,2264,3686,1900,1626,1782,7146,23350,1522,4204,2128,2286,424,3902,7612,162,7998,7286,3306,1604,16596,1004,9332,16634,444,27202,468,802,3078,16468,1296,33048,410,5216,1092,4558,1490,142,836,14168,982,23808,10488,2506,55802,97380,102092,65016,2578,28478,9818,170,1660,824,2494,2524,8362,686,2420,4384,560,744,150,2216,36864,3832,4304,6224,8150,5056,6698,9976,18366,6642,6006,11700,3726,13434,6490,830,2172,5002,5366,8480,4626,8930,906,2760,12644,2242,6076,1858,2084,472,1552,8510,3264,13240,3760,2288,2108,1410,5332,226,72,2278,304,2574,108,36386,2820,1286,2258,1880,560,2580,392,168,1868,9172,272,310,14166,2970,1076,218,8402,418,490,972,416,158,2032,980,14844,5120,4740,586,1908,76,538,1186,11462,2494,4500,136406,662,1146,348,864,518,2636,2172,10576,6138,1186,960,3660,22,1250,6972,4466,2852,1554,4914,11570,184,916,360,950,404,1056,1900,5344,3704,1876,4430,1562,168,19660,7238,2250,782,346,1502,2872,1248,12976,3648,1934,360,2044,9970,24,1264,5852,7882,11506,38894,10726,1702,145426,1684,894,498,1506,3636,1140,5110,2820,1350,6522,4362,18,182,1628,1266,4272,4160,834,8990,634,7136,5138,5274,1526,1312,40,354,1736,468,10068,54674,3704,4836,54,13064,4566,10684,5224,218,7196,6234,260,754,4134,60,2012,3224,1252,2312,10614,7466,378,74,94,1364,4934,3066,206554,79844,32796,602,1436,1906,15018,1034,762,426,3830,378,21460,6140,720,1896,2152,2320,2082,2446,138,2482,2772,17354,1274,34,3856,414,648,4756,1898,324,286,12060,3216,3010,6948,9874,1490,14188,4720,12352,1168,4866,4208,2656,2306,13100,80,20406,5130,380,6006,1922,2910,23636,7596,1064,5056,2086,2956,9200,3628,2450,26566,9086,2206,31770,10308,3348,2744,31214,3826,3210,2120,8198,1016,574,910,38,1736,2914,5248,4054,1568,2918,4446,4242,6542,13380,5006,6060,330,514,1838
GSM2433113,IPF,1,1640,25432,826,17756,4018,7750,556,224,1254,984,814,16140,1178,1734,140,7198,1620,350,466,646,1326,1090,284,7434,1056,134764,1976,636,840,1654,1686,300,1166,1178,728,434,3220,1858,616,930,764,1348,600,6534,578,2242,14376,232,1320,770,474,714,958,1924,830,2506,2708,1002,418,12430,2668,65690,69128,328,16892,1320,232,3348,5202,416,28190,2196,1542,1388,4222,320,208,934,6618,314,17690,6212,2398,145238,172188,300834,97436,4696,10194,11224,2798,642,2034,5858,7550,8796,176,7932,3770,64,776,36,2110,7376,876,1662,2444,1768,944,1404,1842,4356,1176,1188,2442,1046,3458,2982,260,374,810,9296,2674,2438,1972,286,728,4544,684,1420,1770,498,3016,440,1416,1206,2472,1084,438,844,2024,12448,11036,2988,636,26286,644,108,17114,4256,1646,928,5180,1582,4564,3282,330,1746,5636,862,366,40858,3020,2318,548,3502,262,2164,966,1508,312,1300,1148,7250,5316,796,1336,480,866,1326,374,1618,4890,5716,250136,1024,1376,418,620,2696,894,2798,6438,2512,294,880,2080,14,410,3376,1074,1112,484,2412,3834,422,2480,382,588,1704,1492,6580,1874,1550,594,684,1092,740,12952,2100,788,4412,458,3048,3240,716,11460,1144,666,1036,1442,7180,46,2764,9636,1602,1820,16498,3574,584,23784,296,360,302,322,1296,222,1274,818,3256,7688,3696,254,208,528,878,8544,1188,694,7622,566,4060,20782,2862,436,258,796,2482,444,1240,1630,37012,1762,1392,238,2668,1394,2490,2828,160,5938,9930,1540,250,1016,214,1654,936,214,692,3138,1674,424,310,532,7250,16652,6366,266724,35484,35906,160,4326,714,13566,3962,384,214,11054,136,30552,2616,5976,610,558,7538,8026,2302,492,1176,21532,7162,13042,1290,11332,1502,2972,2348,830,130,1574,3162,1140,1298,1470,2140,448,2872,1118,26782,3102,3048,1302,722,526,3598,82,3612,3438,2474,1314,420,2440,52824,10686,4838,10952,390,628,4024,1192,1610,15232,4940,472,15362,6398,1228,656,12424,1296,1080,2542,3004,3054,1874,1708,4450,444,980,1424,1030,510,700,1206,1658,1492,2862,1308,1696,702,472,1816
GSM2433114,IPF,1,1416,3566,338,6634,18152,3330,1678,824,1126,316,1664,3672,3158,3938,564,3858,46,474,1576,1166,4224,2920,430,13070,1592,220778,628,2052,2442,3500,3036,870,2502,1142,1770,1112,6130,4374,1780,2842,1818,2722,1546,2184,1368,4514,24560,828,3468,1996,880,614,2784,4458,122,6262,6222,2750,1062,25094,1630,32140,19794,366,20348,574,1092,3508,10410,792,38350,248,4746,3388,5520,682,26,130,12186,766,25032,7334,3952,52122,91404,112108,52200,1528,23712,14026,26,1380,414,974,1512,11310,614,1000,2816,304,334,104,2058,40220,2656,2944,4040,4694,2854,4370,4630,8582,3000,3840,6224,2636,7220,3390,696,1952,3308,5432,6690,5010,6440,756,1836,10198,2028,3992,2076,1712,126,1632,4706,2544,8072,2956,2010,1552,1304,2868,1590,16,1296,100,1216,100,3874,3304,1284,1806,908,128,4154,742,72,2174,8422,356,172,19736,3274,732,406,4612,398,874,1450,324,82,3398,616,10604,3148,2048,1524,1724,60,602,1296,5254,2722,4232,162400,436,570,96,158,452,2152,594,5782,5364,1198,610,2596,12,848,7282,2858,1590,1702,10358,9152,346,748,252,942,194,1802,2952,3686,2460,1604,3164,1120,304,21336,4916,2062,550,182,1602,6982,2486,24116,3396,1592,642,3672,9666,2,284,1144,6254,5992,17322,4762,1408,92412,1790,630,402,1082,2558,598,1978,2302,1306,8152,11942,16,172,1358,1786,3464,2752,1000,7458,982,5732,5846,5050,1238,412,18,248,994,614,5744,37484,2922,2952,44,6040,3468,7004,4412,416,7866,4600,1124,770,2484,62,1452,2076,668,1704,6808,4910,344,234,70,1446,4500,2302,88408,95098,105748,108,1104,1404,7456,2026,1638,190,1944,240,15830,3646,1904,2034,1818,4602,3236,3104,162,1844,4316,11364,1196,112,4412,184,344,3378,2376,256,752,8866,3316,2648,2850,5798,1338,8210,1900,34424,610,6232,2942,1956,1448,7506,30,18494,5472,774,5592,1522,3034,17778,5478,1310,4422,1240,1822,7462,2884,4136,18344,7764,1718,24326,10076,3802,1898,27968,2480,2646,1614,7512,3198,498,574,90,1662,1774,3556,2600,1310,2180,2936,4354,4120,7788,3654,416,224,388,2516
GSM2433115,IPF,1,1514,16026,466,10030,7760,6918,400,378,940,326,670,7280,710,1792,722,2084,858,404,3290,468,1152,800,196,4798,34,28792,544,560,622,850,1248,292,960,690,746,296,1876,1518,542,606,728,1472,462,3608,632,2128,9680,298,938,486,276,702,666,1322,250,2000,2314,908,302,9214,2198,14236,18744,312,9034,942,598,2870,3574,434,28332,1102,1152,994,3090,350,106,898,6280,240,20608,4752,1934,67554,96910,145350,69284,1788,6782,14476,666,520,1236,2720,5246,4720,126,1898,2702,72,456,30,1374,13946,1298,1648,1628,1794,1104,1214,1326,2608,1430,1498,2102,808,2866,1906,256,1000,896,5136,2460,2190,2040,164,376,3350,404,1062,1782,2750,656,830,1188,836,2244,696,1430,638,1058,9252,6034,246,554,1042,944,310,15348,2616,1248,1406,2412,714,2992,862,96,1130,4500,462,188,16954,2552,1936,264,3004,262,608,1320,1582,748,712,350,9506,3502,598,996,522,192,2116,390,2130,4314,6206,160206,826,954,374,388,1414,1026,3454,9372,1834,248,488,1540,48,312,3456,1256,1116,572,5166,6878,494,730,260,1368,686,650,3010,1084,904,518,670,556,572,11282,2540,692,2714,112,1208,12736,438,14262,986,530,450,1874,2364,24,564,2272,1476,5072,7748,5388,588,38924,640,244,298,278,850,230,870,642,1678,6998,2122,134,256,352,1306,4736,1314,560,6208,2052,2846,16212,1928,240,310,364,1412,340,1122,2614,30554,1394,1014,52,1994,1736,2064,2456,318,4904,4418,560,428,850,158,2200,618,220,678,1938,1224,1436,250,64,2156,6038,3762,144846,46332,32808,608,1840,896,3950,188,284,1710,7796,144,18654,2176,2818,664,514,7322,3750,2082,292,1068,9078,4554,1568,2870,6182,464,1180,1844,1034,404,4278,2310,848,756,1398,1686,414,2704,1344,10080,3556,3094,1156,434,398,4294,42,8360,4156,948,1274,574,2792,30196,12862,6388,6480,240,694,3318,960,1324,13264,4840,1644,10352,6316,1544,616,8404,708,708,2452,1818,3836,3372,576,190,184,854,924,824,430,582,786,894,1260,2616,970,798,660,190,1820
GSM2433116,IPF,1,2076,14976,728,13906,7346,4852,654,584,1588,1140,988,8136,1396,2120,144,2088,972,452,764,740,2040,1290,228,9624,8462,68482,3496,886,1054,1548,1292,520,1244,932,794,478,3196,1742,852,846,1046,1338,724,6248,754,2102,10466,390,1276,1058,746,506,1062,2492,766,3124,2342,1268,478,12304,1122,20364,20196,254,15342,726,468,1998,4976,436,23840,1154,1850,1404,3534,310,248,754,4160,628,19110,4214,1538,120994,147222,188970,74136,3936,5148,8428,668,762,1082,3554,6830,6390,202,1476,1834,224,382,94,1256,16342,876,1834,2228,2982,2022,2230,3236,5372,2184,1652,4922,1166,3640,2746,356,728,1970,6526,2810,3352,2250,306,994,5112,792,1738,1726,1330,2678,728,2030,1198,4554,1412,1618,1008,1326,10204,5514,142,960,2132,1532,92,22072,2766,1592,2002,2802,1270,3482,1698,248,1388,4894,582,622,35380,2156,2306,316,2158,308,566,820,1762,652,982,1564,10034,4130,1154,692,836,706,834,518,3988,3420,2872,73620,402,1550,864,1250,3908,906,3314,9322,2262,732,988,1744,68,404,1698,1746,1336,536,3652,5094,288,1286,752,1160,866,708,3746,1868,1394,826,1666,808,562,13428,3102,916,2780,680,1280,2754,370,2002,1236,728,372,1580,4216,54,2154,8268,8330,6958,20422,6512,558,44902,534,396,466,706,1316,398,1168,988,1632,4108,3770,144,262,596,1026,6270,2310,618,11128,1576,3016,12294,2208,466,54,374,1950,560,1032,2876,34068,1072,1582,268,3312,2018,2952,3130,314,5462,6646,834,432,1020,66,2504,1042,414,748,3332,2366,1064,230,906,6190,9732,5180,86006,23896,9020,362,2526,1554,5180,2774,586,1096,7056,94,11640,4498,1990,672,982,1452,5388,2244,398,1116,6972,5604,3476,3268,8618,1128,1484,2092,1256,78,1724,3754,934,1028,1248,2324,616,4180,1568,4054,3362,2370,1428,928,734,5792,64,8454,2948,510,1934,616,1324,63462,5054,5438,6320,706,996,2540,1160,1144,11940,3766,1132,10380,4622,1986,896,11670,1292,1050,5082,3132,1572,4786,554,456,354,1086,2082,1138,844,1030,1190,2080,2276,4200,1866,4898,1202,204,1352
GSM2433117,IPF,1,698,66026,1320,18110,3912,3678,322,180,2092,816,318,8020,574,592,350,3874,62,342,1404,414,492,332,142,4710,48,17294,960,404,420,636,828,60,696,466,312,196,1196,944,276,348,1030,866,298,12048,360,2002,4646,172,456,208,350,906,446,918,620,1114,900,544,180,11184,998,13662,27982,378,7782,694,174,3494,2078,312,28316,3382,632,390,4164,292,302,1088,5454,226,17526,16586,3778,88762,120432,141534,63854,3208,8278,7934,806,462,6726,6276,4462,10440,140,2526,4246,50,782,12,1128,7428,1248,1036,1218,996,524,698,724,3744,654,660,1122,462,1964,1584,258,1156,526,11308,1288,2110,1346,90,306,2178,418,632,1320,1046,818,620,704,564,1158,486,474,358,1118,23166,572,13096,330,78796,784,34,19076,6384,2122,1092,5924,1928,1954,490,262,1272,5326,1846,718,16210,1924,1502,154,382,186,882,1412,574,1956,556,270,6696,5084,30962,742,882,218,1338,420,1216,6046,7326,122172,854,1038,576,786,2136,524,1558,3566,1236,140,586,868,44,176,4758,786,774,342,4848,10854,272,4074,362,598,4198,668,4228,726,642,256,380,466,530,12154,1736,446,7582,204,1374,31494,1460,29576,576,264,590,838,380,20,2018,6072,568,7686,3846,6998,334,25840,400,396,588,154,670,156,770,416,5050,9376,3042,604,120,238,864,4506,1106,910,6986,4284,2280,11920,2016,222,84,938,1862,198,694,1166,56198,1600,646,472,752,1320,1662,2358,238,6640,4228,10448,354,502,188,1208,286,190,536,1292,712,614,8,772,8552,20604,8230,42670,18550,49712,868,7808,286,11394,584,560,1282,8438,92,29110,2662,4658,866,638,5016,6470,1788,394,1150,23354,3510,5328,6,6800,900,1710,1346,548,202,758,1352,774,666,570,968,210,1742,764,58134,2828,2166,1018,396,286,6522,40,6182,2446,992,868,274,3236,97624,14062,488,10958,168,364,2552,794,1412,23042,3362,1304,7526,4270,2008,340,5532,670,550,2654,1378,2742,622,904,936,248,406,564,418,262,344,616,692,854,1596,548,3044,2140,1192,1548
GSM2433118,Control,0,46,17756,2556,8852,104,4682,20,0,110,1442,110,22254,44,24,74,294,460,384,674,298,46,14,108,224,4,334,10630,42,42,28,116,24,82,38,12,10,48,26,14,34,414,114,4,8718,146,298,1338,318,10,94,20,904,72,68,466,816,300,390,20,130,136,3120,4394,194,3304,936,2,226,222,96,1262,404,14,0,712,2,90,196,1944,98,474,194,30,2160,9288,2824,4484,28,326,528,706,76,2614,8936,1170,1194,10,0,34,0,0,4,116,312,2,606,128,124,284,94,64,518,94,92,44,52,1002,590,84,2,90,15064,910,578,68,20,30,2098,50,12,628,72,182,58,64,40,22,56,28,330,170,8868,6740,222,266,3456,348,20,1664,886,3350,12,506,70,212,912,44,282,984,172,42,16784,210,1318,768,62,42,18,454,1530,702,16,3428,1950,6982,814,238,92,106,5208,58,182,7282,106,8036,26,728,426,28,182,30,758,6642,436,20,1450,428,818,106,578,356,1118,14,100,8,36,2912,644,176,826,134,1296,92,196,208,26,70,254,622,92,56,3678,44,2590,10,4,1190,92,8,1908,362,18,6,152,178,60,1140,512,818,406,1270,24,62,1008,6,176,38,142,192,1962,1426,256,144,110,14,72,5418,56,62,1208,2508,508,4904,396,44,2,266,6018,44,1872,54,1040,82,146,16,144,590,114,476,160,534,6830,110,136,64,22,580,12,34,110,104,116,15986,636,42,2048,2784,1568,1322,5464,18432,2902,2432,152,198,0,0,360,184,112,150,172,3584,62,100,786,17832,816,1562,22,14748,788,1086,4398,4294,142,1644,1078,32,0,2812,54,52,150,56,60,16,670,578,22,1440,242,558,4,22,340,14,520,954,42,12,34,366,3294,354,10248,2438,60,28,178,488,66,778,1324,248,1854,1158,70,180,410,962,106,6682,100,88,11276,460,38,10,472,16,34,40,32,34,160,132,194,44,670,3178,2,298
