series_id,sender_celltype,receiver_celltype,ligand,receptor,pair,pathway,ipf_interaction_score,control_interaction_score,ipf_minus_control_interaction_score,interaction_log2_ratio
GSE136831,Stromal,Myeloid,CXCL12,CXCR4,CXCL12-CXCR4,chemokine recruitment,1.1005832912106348,0.40321896871453194,0.6973643224961028,1.4263392083812012
GSE135893,Endothelial,Immune,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,1.173018368993639,0.47782527221827753,0.6951930967753616,1.2780360696324262
GSE136831,Stromal,Endothelial,POSTN,ITGAV,POSTN-ITGAV,periostin-integrin stromal signaling,0.9685401893131749,0.27521038297750505,0.6933298063356699,1.7786046010263392
GSE136831,Lymphoid,Lymphoid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.819159432304961,0.12727782733178292,0.6918816049731781,2.5945509075675535
GSE136831,Stromal,Epithelial,COL1A1,ITGB1,COL1A1-ITGB1,collagen-integrin matrix remodeling,1.6194553338963211,0.9295839124553136,0.6898714214410075,0.7942958890609677
GSE135893,Immune,Immune,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,1.0072477512747968,0.3183516933140977,0.6888960579606991,1.6313572908277234
GSE135893,Mesenchymal,Mesenchymal,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.677115228946448,0.02626686249131019,0.6508483664551379,4.243828212919629
GSE135893,Endothelial,Immune,CXCL12,CXCR4,CXCL12-CXCR4,chemokine recruitment,1.5489359647577958,0.8987428831549925,0.6501930816028033,0.7786176030686957
GSE136831,Endothelial,Endothelial,POSTN,ITGAV,POSTN-ITGAV,periostin-integrin stromal signaling,1.6038938703108665,0.9711741515630296,0.632719718747837,0.7179645774994727
GSE135893,Mesenchymal,Endothelial,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.6402468810677904,0.031352104731409564,0.6088947763363808,3.974954907856514
GSE135893,Endothelial,Mesenchymal,POSTN,ITGAV,POSTN-ITGAV,periostin-integrin stromal signaling,0.8611909731607629,0.2606055771485271,0.6005853960122358,1.686797432264765
GSE136831,Epithelial,Lymphoid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.6931193373369839,0.10822864695661139,0.5848906903803726,2.5721899275538123
GSE136831,Myeloid,Stromal,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.804662444506736,0.22277346858987698,0.581888975916859,1.8072757723542305
GSE136831,Lymphoid,Myeloid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.6866036382347145,0.10527747574273098,0.5813261624919835,2.595227357931696
GSE136831,Stromal,Endothelial,COL3A1,ITGB1,COL3A1-ITGB1,collagen-integrin matrix remodeling,2.101906540611173,1.5211610045268844,0.5807455360842888,0.4639199987386602
GSE135893,Immune,Mesenchymal,SPP1,ITGAV,SPP1-ITGAV,macrophage-integrin signaling,0.7394877131195514,0.17362879612284732,0.5658589169967041,2.0291125116026985
GSE136831,Myeloid,Epithelial,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.7754531799942775,0.21655347313762277,0.5588997068566548,1.793673672607747
GSE136831,Endothelial,Lymphoid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.8871545607340382,0.3303294718599648,0.5568250888740733,1.3984244611104528
GSE136831,Myeloid,Endothelial,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.7521770884914624,0.1959564292630361,0.5562206592284262,1.8877870775401933
GSE136831,Stromal,Lymphoid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.6157008399519517,0.061492068371667624,0.554208771580284,3.1296179434630833
GSE135893,Mesenchymal,Epithelial,COL1A1,ITGA2,COL1A1-ITGA2,collagen-integrin matrix remodeling,1.4245989315497003,0.8713903472116342,0.5532085843380661,0.7027944596599875
GSE135893,Mesenchymal,Immune,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.5681653767939304,0.02517060275734651,0.5429947740365839,4.039040250835711
GSE136831,Myeloid,Stromal,SPP1,ITGAV,SPP1-ITGAV,macrophage-integrin signaling,0.6882233483260685,0.14641630186832547,0.541807046457743,2.158297721230252
GSE136831,Stromal,Lymphoid,COL3A1,ITGB1,COL3A1-ITGB1,collagen-integrin matrix remodeling,1.727903217437355,1.1872935567025487,0.5406096607348063,0.5375708209891522
GSE136831,Stromal,Stromal,COL3A1,ITGB1,COL3A1-ITGB1,collagen-integrin matrix remodeling,2.248573216295302,1.7293350084841466,0.5192382078111555,0.3768758495677665
GSE136831,Lymphoid,Stromal,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.5872343686922088,0.07611765440050673,0.511116714291702,2.793916259526422
GSE135893,Immune,Mesenchymal,TNF,TNFRSF1A,TNF-TNFRSF1A,TNF inflammatory signaling,0.9711715479117267,0.46062422448446827,0.5105473234272584,1.0599298166704716
GSE135893,Immune,Epithelial,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.7116576540027807,0.20242748968999852,0.5092301643127821,1.7643441280062255
GSE135893,Endothelial,Mesenchymal,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.5200279743876846,0.013358644154422445,0.5066693302332621,4.504040064844362
GSE136831,Myeloid,Lymphoid,SPP1,ITGA4,SPP1-ITGA4,macrophage-integrin signaling,0.6559916969861428,0.1493837225860302,0.5066079744001126,2.0629998926824045
GSE135893,Immune,Immune,SPP1,ITGA4,SPP1-ITGA4,macrophage-integrin signaling,0.8448794249813316,0.3384695660830285,0.5064098588983031,1.2946882894032254
GSE136831,Epithelial,Myeloid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.5809592613825115,0.08952100293904067,0.4914382584434709,2.5699857499478127
GSE135893,Mesenchymal,Epithelial,POSTN,ITGB1,POSTN-ITGB1,periostin-integrin stromal signaling,0.7395393201127061,0.24811144270705696,0.4914278774056491,1.5380100615300112
GSE135893,Immune,Immune,MIF,CXCR4,MIF-CXCR4,MIF inflammatory signaling,3.4166587778996367,2.9308503499526526,0.4858084279469841,0.22056916520284825
GSE136831,Lymphoid,Endothelial,SPP1,ITGAV,SPP1-ITGAV,macrophage-integrin signaling,0.5597459774387591,0.07692291956115001,0.4828230578776091,2.712510296118756
GSE135893,Endothelial,Endothelial,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.49171289381241795,0.0159448663020809,0.47576802751033703,4.273341008663141
GSE136831,Endothelial,Myeloid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.7435958435619195,0.2732310386646779,0.47036480489724164,1.4118116319747482
GSE135893,Mesenchymal,Epithelial,COL3A1,ITGB1,COL3A1-ITGB1,collagen-integrin matrix remodeling,2.823406182518656,2.3532457482034186,0.47016043431523746,0.26176777439618165
GSE136831,Myeloid,Lymphoid,SPP1,ITGB1,SPP1-ITGB1,macrophage-integrin signaling,0.6183382496679173,0.15294752177190035,0.46539072789601693,1.9471339951912057
GSE136831,Stromal,Myeloid,SPP1,CD44,SPP1-CD44,macrophage-matrix immune remodeling,0.5160685699310839,0.0508629811812636,0.46520558874982026,3.111613951987553
