module,module_size,robust_mrna_count,ml_panel_count,priority_top80_count,contains_tnik,ipf_module_r,ipf_module_p,ipf_module_fdr
M01,21,0,0,0,False,0.09578681420182028,0.21540569413682512,0.33139337559511556
M02,705,211,15,62,False,0.6563355213058848,3.432420302086682e-22,3.922766059527637e-21
M03,30,0,0,0,False,0.24000756191705824,0.001672191513176235,0.004612942105313751
M04,43,0,0,0,False,0.2909012407345784,0.00012456434919882106,0.0004332673015611167
M05,1,0,0,0,False,0.015402829165995943,0.8424485598546171,0.8986117971782583
M06,88,0,0,0,False,0.21795191743006256,0.004418187849380459,0.011401775095175377
M07,2,0,0,0,False,0.15122723695598347,0.04968499206273263,0.09694632597606367
M08,1,0,0,0,False,0.06761772198019536,0.38238694949229707,0.5098492659897295
M09,496,68,10,18,True,0.7363132111248889,3.8953626668448494e-30,7.790725333689699e-29
M10,55,1,0,0,False,0.37552808377829083,4.879329968417952e-07,2.439664984208976e-06
