sample_id,group,label,series_id,macrophage_myeloid_score,macrophage_myeloid_markers_found,t_cell_score,t_cell_markers_found,b_cell_score,b_cell_markers_found,fibroblast_matrix_score,fibroblast_matrix_markers_found,epithelial_ciliary_score,epithelial_ciliary_markers_found,endothelial_score,endothelial_markers_found,wnt_tnik_axis_score,wnt_tnik_axis_markers_found
GSM806204,IPF,1,GSE32537,0.9479849837575878,11,1.7384023153377728,7,-0.4316835210075517,4,0.22222149431382726,10,-0.2525710551858875,10,-0.5831763904657333,6,-0.059062853874905535,9
GSM806205,IPF,1,GSE32537,0.07401125082671857,11,-0.5794446514506395,7,-0.8842628478930779,4,0.8871955466802923,10,-0.5960075766994611,10,0.418710873003481,6,0.3586549165704105,9
GSM806207,IPF,1,GSE32537,-1.0733175703184386,11,-0.07688921996124269,7,0.32047508058012586,4,0.6767958532905942,10,0.11764638065783764,10,-0.42344085581201824,6,-0.6173122770152165,9
GSM806208,IPF,1,GSE32537,-0.39917276695095066,11,-0.496633522083957,7,0.036861858025620746,4,0.39101165256885756,10,1.2031994559339962,10,-0.8267985360206241,6,-0.0550531902356023,9
GSM806209,IPF,1,GSE32537,0.7466617691569325,11,-0.5404127609571804,7,-0.6980132594641981,4,0.029330803606715417,10,0.9276970405609829,10,-0.792340712971679,6,0.3184258029391367,9
GSM806210,IPF,1,GSE32537,-0.4269933237363759,11,-0.30840883826053583,7,0.032268703845478953,4,0.882557073604094,10,-0.6264762009810825,10,0.10553440425077266,6,0.15019963031123515,9
GSM806212,IPF,1,GSE32537,-0.07832332902095242,11,-0.3298442715711406,7,0.1806466214634038,4,0.24378973589886405,10,0.23323424054854858,10,-0.9276270352889858,6,0.16259770201100374,9
GSM806214,IPF,1,GSE32537,-0.2536233880186426,11,0.6412355984944872,7,-0.5874921910513995,4,0.3501632933286876,10,0.41123086286830085,10,0.1469846505239522,6,-0.09380305140065734,9
GSM806216,IPF,1,GSE32537,-0.23308904098090946,11,-0.4263994764029995,7,2.451244066724877,4,0.49552443037906935,10,0.7496156438013489,10,-0.49308176837678674,6,-1.2582246481013641,9
GSM806219,IPF,1,GSE32537,0.6191856460725492,11,1.7102251773753778,7,0.014212232595603794,4,0.5152665270046884,10,0.37359508545644743,10,-0.11280434763716257,6,0.2790918986913012,9
