candidate_mirna,target_gene,match_type,mirtarbase_mirnas,mirtarbase_ids,support_types,experiments,pmids,evidence_count,best_support_rank,mirna_discovery_logFC,mirna_discovery_adj_p,mirna_direction,mirna_validation_fdr_support_count,mirna_robust_score,mirna_validation_details,target_gene_symbol,mrna_discovery_logFC,mrna_discovery_adj_p,mrna_direction,mrna_validation_fdr_support_count,mrna_robust_score,mrna_validation_details,axis,axis_score,match_priority,axis_evidence_grade,recommended_manuscript_role,validation_requirement,axis_evidence_weight,sensitivity_layer,sensitivity_interpretation
hsa-miR-30d,C6,arm_agnostic,hsa-miR-30d-3p,MIRT615750,Functional MTI (Weak),HITS-CLIP,23824327,3,11,-1.3825413490566,5.50378061628144e-13,down,1,9.0,GSE21394:-1.4/FDR=0.00574; GSE27430:-0.81/FDR=0.0381,C6,1.46683573277311,1.88197807814472e-12,up,3,23.0,GSE110147:2.49/FDR=2.64e-08; GSE150910:1.95/FDR=1.46e-12; GSE53845:0.474/FDR=0.507; GSE92592:1.54/FDR=0.00722,hsa-miR-30d -> C6,46.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-30a,FAM81B,arm_agnostic,hsa-miR-30a-5p,MIRT531358,Functional MTI (Weak),PAR-CLIP,22012620,1,11,-1.39235319245283,1.97329730817415e-12,down,1,9.0,GSE21394:-2.04/FDR=0.00014; GSE27430:-0.659/FDR=0.335,FAM81B,1.47641071260504,3.74401570202458e-14,up,3,25.0,GSE110147:1.48/FDR=0.00011; GSE150910:1.93/FDR=3.97e-10; GSE53845:1.3/FDR=0.0843; GSE92592:1.37/FDR=0.012,hsa-miR-30a -> FAM81B,46.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-30d,FAM81B,arm_agnostic,hsa-miR-30d-5p,MIRT531355,Functional MTI (Weak),PAR-CLIP,22012620,1,11,-1.3825413490566,5.50378061628144e-13,down,1,9.0,GSE21394:-1.4/FDR=0.00574; GSE27430:-0.81/FDR=0.0381,FAM81B,1.47641071260504,3.74401570202458e-14,up,3,25.0,GSE110147:1.48/FDR=0.00011; GSE150910:1.93/FDR=3.97e-10; GSE53845:1.3/FDR=0.0843; GSE92592:1.37/FDR=0.012,hsa-miR-30d -> FAM81B,46.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-92a,CCDC113,arm_agnostic,hsa-miR-92a-3p,MIRT242416,Functional MTI (Weak),HITS-CLIP,22473208;23824327,2,11,-1.07152392264151,6.04998625818804e-07,down,1,9.0,GSE21394:-1.16/FDR=0.0362; GSE27430:-0.236/FDR=0.69,CCDC113,1.3936058,1.24546610564172e-13,up,3,23.0,GSE110147:1.41/FDR=0.000768; GSE150910:1.52/FDR=1.3e-09; GSE53845:0.654/FDR=0.276; GSE92592:1.59/FDR=0.00333,hsa-miR-92a -> CCDC113,45.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-30a,SIX4,arm_agnostic,hsa-miR-30a-5p,MIRT554287,Functional MTI (Weak),PAR-CLIP,21572407,1,11,-1.39235319245283,1.97329730817415e-12,down,1,9.0,GSE21394:-2.04/FDR=0.00014; GSE27430:-0.659/FDR=0.335,SIX4,1.11329933781513,5.9952076516592e-19,up,3,23.0,GSE110147:0.538/FDR=0.000316; GSE150910:1.34/FDR=8.09e-05; GSE53845:1.26/FDR=0.000462; GSE92592:1.76/FDR=0.000152,hsa-miR-30a -> SIX4,44.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-30d,SIX4,arm_agnostic,hsa-miR-30d-5p,MIRT554286,Functional MTI (Weak),PAR-CLIP,21572407,1,11,-1.3825413490566,5.50378061628144e-13,down,1,9.0,GSE21394:-1.4/FDR=0.00574; GSE27430:-0.81/FDR=0.0381,SIX4,1.11329933781513,5.9952076516592e-19,up,3,23.0,GSE110147:0.538/FDR=0.000316; GSE150910:1.34/FDR=8.09e-05; GSE53845:1.26/FDR=0.000462; GSE92592:1.76/FDR=0.000152,hsa-miR-30d -> SIX4,44.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-30a,PTGFRN,arm_agnostic,hsa-miR-30a-5p,MIRT005149,Functional MTI (Weak),Proteomics;Other;pSILAC,18668040,2,10,-1.39235319245283,1.97329730817415e-12,down,1,9.0,GSE21394:-2.04/FDR=0.00014; GSE27430:-0.659/FDR=0.335,PTGFRN,1.0884517697479,2.9045336746549e-33,up,3,23.0,GSE110147:1.49/FDR=3.06e-19; GSE150910:1.96/FDR=1.18e-30; GSE53845:0.303/FDR=0.00152; GSE92592:1.89/FDR=1.54e-12,hsa-miR-30a -> PTGFRN,44.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-92a,CHST9,arm_agnostic,hsa-miR-92a-3p,MIRT048939,Functional MTI (Weak),CLASH,23622248,1,10,-1.07152392264151,6.04998625818804e-07,down,1,9.0,GSE21394:-1.16/FDR=0.0362; GSE27430:-0.236/FDR=0.69,CHST9,1.45305389243698,1.52095943912624e-14,up,3,23.0,GSE110147:1.81/FDR=0.00121; GSE150910:2.67/FDR=7.14e-10; GSE53845:0.834/FDR=0.156; GSE92592:2.02/FDR=0.0176,hsa-miR-92a -> CHST9,43.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-92a,PTGFRN,arm_agnostic,hsa-miR-92a-3p,MIRT049140,Functional MTI (Weak),CLASH,23622248,1,10,-1.07152392264151,6.04998625818804e-07,down,1,9.0,GSE21394:-1.16/FDR=0.0362; GSE27430:-0.236/FDR=0.69,PTGFRN,1.0884517697479,2.9045336746549e-33,up,3,23.0,GSE110147:1.49/FDR=3.06e-19; GSE150910:1.96/FDR=1.18e-30; GSE53845:0.303/FDR=0.00152; GSE92592:1.89/FDR=1.54e-12,hsa-miR-92a -> PTGFRN,43.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-141,RSPH4A,arm_agnostic,hsa-miR-141-5p,MIRT654087,Functional MTI (Weak),HITS-CLIP,23824327,1,11,-1.01826355830189,1.11718273596449e-09,down,1,5.5,GSE21394:-2.14/FDR=0.000309; GSE27430:0.0678/FDR=0.942,RSPH4A,1.63461870252101,1.7651779894856499e-12,up,3,23.0,GSE110147:1.83/FDR=8e-05; GSE150910:1.61/FDR=1.78e-08; GSE53845:0.572/FDR=0.26; GSE92592:1.2/FDR=0.0194,hsa-miR-141 -> RSPH4A,40.5,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-30a,SERPINB5,arm_agnostic,hsa-miR-30a-5p,MIRT028408,Functional MTI (Weak),Proteomics,18668040,1,10,-1.39235319245283,1.97329730817415e-12,down,1,9.0,GSE21394:-2.04/FDR=0.00014; GSE27430:-0.659/FDR=0.335,SERPINB5,1.08300585378151,5.28896489014213e-12,up,2,16.0,GSE110147:1.63/FDR=5.44e-06; GSE53845:0.461/FDR=0.0693; GSE92592:4.7/FDR=8.28e-06,hsa-miR-30a -> SERPINB5,36.0,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
hsa-miR-141,SERPINB5,arm_agnostic,hsa-miR-141-5p,MIRT662447,Functional MTI (Weak),HITS-CLIP,23824327,1,11,-1.01826355830189,1.11718273596449e-09,down,1,5.5,GSE21394:-2.14/FDR=0.000309; GSE27430:0.0678/FDR=0.942,SERPINB5,1.08300585378151,5.28896489014213e-12,up,2,16.0,GSE110147:1.63/FDR=5.44e-06; GSE53845:0.461/FDR=0.0693; GSE92592:4.7/FDR=8.28e-06,hsa-miR-141 -> SERPINB5,33.5,1,exploratory_arm_agnostic,supplementary_exploratory_axis,confirm mature arm by small-RNA sequencing or arm-specific qPCR before mechanistic claims,0.25,relaxed_validated_axis_sensitivity,arm-recoverable miRTarBase axes retained as exploratory sensitivity only
