series_id,barcodes,metadata_ipf_control_cells_after_label_filter,donors,ipf_donors,control_donors,mtx_rows,mtx_cols,mtx_nnz_header,mtx_entries_streamed,target_genes_requested,target_genes_found,target_entries_streamed,donor_celltype_gene_rows,qc1_donor_metadata_pass,qc2_matrix_integrity_pass,qc3_target_recovery_pass,triple_qc_pass
GSE135893,220213,89326,22,12,10,33694,220213,338061955,338061955,8,8,74232,696,True,True,True,True
GSE136831,312928,195875,60,32,28,45947,312928,692789348,692789348,8,8,137503,2376,True,True,True,True
