series_id,broad_celltype,gene_symbol,ipf_donors,control_donors,ipf_mean_log1p_norm,control_mean_log1p_norm,ipf_minus_control_log1p_norm,welch_t,p_value,fdr_bh,abs_delta
GSE136831,Myeloid,SPP1,32,28,2.449169729441819,0.7115800668113704,1.7375896626304486,9.411682171559631,2.9218605232050156e-13,2.1037395767076113e-11,1.7375896626304486
GSE135893,Mesenchymal,COL14A1,12,10,1.5384390393565337,0.7989279058678619,0.7395111334886718,3.4280435223570795,0.0028408900601569207,0.007305145868974939,0.7395111334886718
GSE136831,Endothelial,POSTN,32,27,1.9612128640195472,0.5158583846021516,1.4453544794173956,8.506154291648011,1.5959922266153998e-11,5.74557201581544e-10,1.4453544794173956
GSE136831,Stromal,COL1A1,32,26,3.1443925051202366,1.8049633678001447,1.339429137320092,6.491922492568391,2.3843620293308997e-08,3.6971953384215235e-07,1.339429137320092
GSE136831,Stromal,COL3A1,32,26,3.020212007800124,1.9720899521365296,1.0481220556635944,5.396577994916943,1.6614289764088206e-06,9.968573858452924e-06,1.0481220556635944
GSE136831,Stromal,GPX3,32,26,1.3862606467541836,2.5006026694927193,-1.1143420227385357,-7.004430563829864,2.5674967627927248e-08,3.6971953384215235e-07,1.1143420227385357
GSE136831,Epithelial,CD24,32,28,1.5049370935108548,0.8715182364279913,0.6334188570828635,6.318097897181936,2.3262986732150738e-07,1.6749350447148534e-06,0.6334188570828635
GSE136831,Stromal,PTGFRN,32,26,0.3781397360968414,0.1323429641023995,0.24579677199444186,5.999718259297941,1.55591201759603e-07,1.400320815836427e-06,0.24579677199444186
