series_id,donor_id,group,broad_celltype,gene_symbol,cells,library_sum,raw_count_sum,norm_count_per_10k,log1p_norm_count_per_10k
GSE135893,THD0002,Control,Immune,COL3A1,1122,8519402.0,2.0,0.0023475826120190127,0.0023448313450019774
GSE135893,THD0002,Control,Immune,GPX3,1122,8519402.0,413.0,0.4847758093819261,0.39526379074434725
GSE135893,THD0002,Control,Immune,POSTN,1122,8519402.0,1.0,0.0011737913060095063,0.0011731029515981008
GSE135893,THD0002,Control,Immune,PTGFRN,1122,8519402.0,26.0,0.030518573956247165,0.03006214540355247
GSE135893,THD0002,Control,Immune,SPP1,1122,8519402.0,39.0,0.04577786093437075,0.04476097304539762
GSE135893,THD0002,Control,Mesenchymal,CD24,61,415785.0,3.0,0.07215267506042787,0.0696684732730604
GSE135893,THD0002,Control,Mesenchymal,COL14A1,61,415785.0,65.0,1.5633079596426036,0.941298596091453
GSE135893,THD0002,Control,Mesenchymal,COL1A1,61,415785.0,168.0,4.040549803383961,1.617515164106625
GSE135893,THD0002,Control,Mesenchymal,COL3A1,61,415785.0,182.0,4.37726228699929,1.6821793760686408
GSE135893,THD0002,Control,Mesenchymal,GPX3,61,415785.0,1101.0,26.480031747177023,3.313459622636488
GSE135893,THD0002,Control,Mesenchymal,POSTN,61,415785.0,0.0,0.0,0.0
GSE135893,THD0002,Control,Mesenchymal,PTGFRN,61,415785.0,5.0,0.12025445843404645,0.11355585453251929
GSE135893,THD0002,Control,Mesenchymal,SPP1,61,415785.0,0.0,0.0,0.0
GSE135893,THD0005,Control,Endothelial,CD24,694,3531173.0,13.0,0.03681496205368584,0.03615347750488576
GSE135893,THD0005,Control,Endothelial,COL14A1,694,3531173.0,0.0,0.0,0.0
GSE135893,THD0005,Control,Endothelial,COL1A1,694,3531173.0,0.0,0.0,0.0
GSE135893,THD0005,Control,Endothelial,COL3A1,694,3531173.0,18.0,0.05097456284356501,0.04971788878894792
GSE135893,THD0005,Control,Endothelial,GPX3,694,3531173.0,1439.0,4.0751331073272254,1.6243527526286754
GSE135893,THD0005,Control,Endothelial,POSTN,694,3531173.0,535.0,1.5150772845170712,0.9223035325098103
GSE135893,THD0005,Control,Endothelial,PTGFRN,694,3531173.0,3.0,0.008495760473927503,0.00845987460946846
GSE135893,THD0005,Control,Endothelial,SPP1,694,3531173.0,7.0,0.019823441105830838,0.019629515358104945
GSE135893,THD0005,Control,Epithelial,CD24,242,1662588.0,950.0,5.713983259833464,1.9041924052323433
GSE135893,THD0005,Control,Epithelial,COL14A1,242,1662588.0,0.0,0.0,0.0
GSE135893,THD0005,Control,Epithelial,COL1A1,242,1662588.0,14.0,0.08420606909228265,0.08084798558925484
GSE135893,THD0005,Control,Epithelial,COL3A1,242,1662588.0,0.0,0.0,0.0
GSE135893,THD0005,Control,Epithelial,GPX3,242,1662588.0,25.0,0.1503679805219333,0.14008187425404753
GSE135893,THD0005,Control,Epithelial,POSTN,242,1662588.0,0.0,0.0,0.0
GSE135893,THD0005,Control,Epithelial,PTGFRN,242,1662588.0,13.0,0.0781913498714053,0.07528496125367115
GSE135893,THD0005,Control,Epithelial,SPP1,242,1662588.0,38.0,0.2285593303933386,0.20584220680140394
GSE135893,THD0005,Control,Immune,CD24,2505,14740312.0,57.0,0.038669466426490835,0.03794053486932419
GSE135893,THD0005,Control,Immune,COL14A1,2505,14740312.0,0.0,0.0,0.0
GSE135893,THD0005,Control,Immune,COL1A1,2505,14740312.0,5.0,0.0033920584584641086,0.003386318404906871
GSE135893,THD0005,Control,Immune,COL3A1,2505,14740312.0,2.0,0.0013568233833856434,0.0013559037303159948
GSE135893,THD0005,Control,Immune,GPX3,2505,14740312.0,220.0,0.14925057217242077,0.13911005357000703
GSE135893,THD0005,Control,Immune,POSTN,2505,14740312.0,5.0,0.0033920584584641086,0.003386318404906871
GSE135893,THD0005,Control,Immune,PTGFRN,2505,14740312.0,101.0,0.068519580860975,0.06627412116926185
GSE135893,THD0005,Control,Immune,SPP1,2505,14740312.0,3489.0,2.3669783923162546,1.2140157226698554
GSE135893,THD0005,Control,Mesenchymal,CD24,53,431094.0,0.0,0.0,0.0
GSE135893,THD0005,Control,Mesenchymal,COL14A1,53,431094.0,84.0,1.9485309468468595,1.081307062196748
GSE135893,THD0005,Control,Mesenchymal,COL1A1,53,431094.0,602.0,13.964471785735826,2.705678844038609
GSE135893,THD0005,Control,Mesenchymal,COL3A1,53,431094.0,348.0,8.072485351222703,2.205246245468646
GSE135893,THD0005,Control,Mesenchymal,GPX3,53,431094.0,70.0,1.6237757890390494,0.9646144211807415
GSE135893,THD0005,Control,Mesenchymal,POSTN,53,431094.0,52.0,1.206233443286151,0.7912867372117763
GSE135893,THD0005,Control,Mesenchymal,PTGFRN,53,431094.0,11.0,0.2551647668489935,0.2272668522920804
GSE135893,THD0005,Control,Mesenchymal,SPP1,53,431094.0,6.0,0.1391807819176328,0.13030939172782877
GSE135893,TILD001,IPF,Endothelial,CD24,54,389955.0,3.0,0.07693195368696389,0.07411621482907454
GSE135893,TILD001,IPF,Endothelial,COL14A1,54,389955.0,0.0,0.0,0.0
GSE135893,TILD001,IPF,Endothelial,COL1A1,54,389955.0,1.0,0.025643984562321292,0.02532069292839168
GSE135893,TILD001,IPF,Endothelial,COL3A1,54,389955.0,4.0,0.10257593824928517,0.09764920419751173
GSE135893,TILD001,IPF,Endothelial,GPX3,54,389955.0,52.0,1.3334871972407072,0.8473637998877358
GSE135893,TILD001,IPF,Endothelial,POSTN,54,389955.0,415.0,10.642253593363337,2.4546410312410067
GSE135893,TILD001,IPF,Endothelial,PTGFRN,54,389955.0,1.0,0.025643984562321292,0.02532069292839168
GSE135893,TILD001,IPF,Endothelial,SPP1,54,389955.0,24.0,0.6154556294957111,0.47961704041201725
GSE135893,TILD001,IPF,Epithelial,CD24,230,1977130.0,935.0,4.729076995442889,1.7455544349316772
GSE135893,TILD001,IPF,Epithelial,COL14A1,230,1977130.0,4.0,0.020231345435049793,0.02002941082889912
GSE135893,TILD001,IPF,Epithelial,COL1A1,230,1977130.0,26.0,0.13150374532782366,0.12354749614149926
GSE135893,TILD001,IPF,Epithelial,COL3A1,230,1977130.0,21.0,0.10621456353401143,0.10094388386333039
GSE135893,TILD001,IPF,Epithelial,GPX3,230,1977130.0,43.0,0.21748696342678528,0.1967888682596092
GSE135893,TILD001,IPF,Epithelial,POSTN,230,1977130.0,3.0,0.015173509076287344,0.015059542787081832
GSE135893,TILD001,IPF,Epithelial,PTGFRN,230,1977130.0,26.0,0.13150374532782366,0.12354749614149926
GSE135893,TILD001,IPF,Epithelial,SPP1,230,1977130.0,3.0,0.015173509076287344,0.015059542787081832
GSE135893,TILD001,IPF,Immune,CD24,740,4798505.0,9.0,0.01875584166318468,0.018582119704406593
GSE135893,TILD001,IPF,Immune,COL14A1,740,4798505.0,5.0,0.0104199120351026,0.010365998941417785
GSE135893,TILD001,IPF,Immune,COL1A1,740,4798505.0,34.0,0.07085540183869768,0.06845777006183452
GSE135893,TILD001,IPF,Immune,COL3A1,740,4798505.0,33.0,0.06877141943167715,0.06650978264150237
GSE135893,TILD001,IPF,Immune,GPX3,740,4798505.0,132.0,0.2750856777267086,0.2430133745697168
GSE135893,TILD001,IPF,Immune,POSTN,740,4798505.0,2.0,0.00416796481404104,0.004159302908698822
GSE135893,TILD001,IPF,Immune,PTGFRN,740,4798505.0,28.0,0.058351507396574555,0.05671251587232233
GSE135893,TILD001,IPF,Immune,SPP1,740,4798505.0,3382.0,7.048028500543399,2.085427154671118
GSE135893,TILD001,IPF,Mesenchymal,CD24,1104,9628384.0,509.0,0.5286453053804252,0.42438192186736834
GSE135893,TILD001,IPF,Mesenchymal,COL14A1,1104,9628384.0,6059.0,6.292852466208244,1.9868947542908602
GSE135893,TILD001,IPF,Mesenchymal,COL1A1,1104,9628384.0,37287.0,38.72612475779944,3.68200902562295
GSE135893,TILD001,IPF,Mesenchymal,COL3A1,1104,9628384.0,28771.0,29.88144220255445,3.430155427516601
GSE135893,TILD001,IPF,Mesenchymal,GPX3,1104,9628384.0,2067.0,2.1467776939515497,1.1463789749616027
GSE135893,TILD001,IPF,Mesenchymal,POSTN,1104,9628384.0,1496.0,1.5537394437114267,0.9375587334990275
GSE135893,TILD001,IPF,Mesenchymal,PTGFRN,1104,9628384.0,799.0,0.8298381119822392,0.604227499542529
GSE135893,TILD001,IPF,Mesenchymal,SPP1,1104,9628384.0,19.0,0.019733321811842983,0.019541143908302704
GSE135893,TILD006,IPF,Endothelial,CD24,236,988699.0,0.0,0.0,0.0
GSE135893,TILD006,IPF,Endothelial,COL14A1,236,988699.0,3.0,0.03034290517134133,0.02989166447884164
GSE135893,TILD006,IPF,Endothelial,COL1A1,236,988699.0,1.0,0.010114301723780443,0.01006349447346906
GSE135893,TILD006,IPF,Endothelial,COL3A1,236,988699.0,7.0,0.0708001120664631,0.0684061373208191
GSE135893,TILD006,IPF,Endothelial,GPX3,236,988699.0,42.0,0.42480067239877856,0.35403192491823054
GSE135893,TILD006,IPF,Endothelial,POSTN,236,988699.0,658.0,6.655210534247531,2.0353865315724087
GSE135893,TILD006,IPF,Endothelial,PTGFRN,236,988699.0,5.0,0.050571508618902215,0.04933431001798699
GSE135893,TILD006,IPF,Endothelial,SPP1,236,988699.0,93.0,0.9406300603115811,0.6630126937042714
GSE135893,TILD006,IPF,Epithelial,CD24,307,1571023.0,459.0,2.921663145606398,1.3665158356628908
GSE135893,TILD006,IPF,Epithelial,COL14A1,307,1571023.0,1.0,0.006365279184327664,0.00634510635332713
GSE135893,TILD006,IPF,Epithelial,COL1A1,307,1571023.0,86.0,0.5474140098521791,0.43658515689356236
GSE135893,TILD006,IPF,Epithelial,COL3A1,307,1571023.0,5.0,0.03182639592163832,0.03133043190246613
GSE135893,TILD006,IPF,Epithelial,GPX3,307,1571023.0,29.0,0.18459309634550225,0.16939933700776935
GSE135893,TILD006,IPF,Epithelial,POSTN,307,1571023.0,3.0,0.01909583755298299,0.01891580040984808
GSE135893,TILD006,IPF,Epithelial,PTGFRN,307,1571023.0,16.0,0.10184446694924262,0.0969855637002965
GSE135893,TILD006,IPF,Epithelial,SPP1,307,1571023.0,5.0,0.03182639592163832,0.03133043190246613
GSE135893,TILD006,IPF,Immune,CD24,2573,16714453.0,7.0,0.004187992272316659,0.004179247040819045
GSE135893,TILD006,IPF,Immune,COL14A1,2573,16714453.0,6.0,0.003589707661985708,0.0035832800390353426
GSE135893,TILD006,IPF,Immune,COL1A1,2573,16714453.0,15.0,0.008974269154964269,0.008934239713268996
GSE135893,TILD006,IPF,Immune,COL3A1,2573,16714453.0,9.0,0.005384561492978561,0.00537011657158715
GSE135893,TILD006,IPF,Immune,GPX3,2573,16714453.0,213.0,0.12743462200049263,0.11994480579154804
GSE135893,TILD006,IPF,Immune,POSTN,2573,16714453.0,19.0,0.011367407596288074,0.011303284106232318
GSE135893,TILD006,IPF,Immune,PTGFRN,2573,16714453.0,37.0,0.022136530582245198,0.021895074426708443
GSE135893,TILD006,IPF,Immune,SPP1,2573,16714453.0,16301.0,9.752637433004837,2.375151067087198
GSE135893,TILD006,IPF,Mesenchymal,CD24,197,784567.0,5.0,0.06372942017698933,0.061781054233684816
GSE135893,TILD006,IPF,Mesenchymal,COL14A1,197,784567.0,608.0,7.749497493521905,2.1689962694086145
GSE135893,TILD006,IPF,Mesenchymal,COL1A1,197,784567.0,1792.0,22.84062419143298,3.171391024380944
GSE135893,TILD006,IPF,Mesenchymal,COL3A1,197,784567.0,1234.0,15.728420899680971,2.8171091231967442
GSE135893,TILD006,IPF,Mesenchymal,GPX3,197,784567.0,99.0,1.2618425195043892,0.8161797552457575
GSE135893,TILD006,IPF,Mesenchymal,POSTN,197,784567.0,348.0,4.435567644318459,1.6929639574963489
GSE135893,TILD006,IPF,Mesenchymal,PTGFRN,197,784567.0,21.0,0.26766356474335523,0.2371754933200009
GSE135893,TILD006,IPF,Mesenchymal,SPP1,197,784567.0,7.0,0.08922118824778508,0.08546293466515373
GSE135893,TILD010,IPF,Endothelial,CD24,92,442349.0,1.0,0.02260658439377053,0.022354842518223554
GSE135893,TILD010,IPF,Endothelial,COL14A1,92,442349.0,1.0,0.02260658439377053,0.022354842518223554
GSE135893,TILD010,IPF,Endothelial,COL1A1,92,442349.0,1.0,0.02260658439377053,0.022354842518223554
GSE135893,TILD010,IPF,Endothelial,COL3A1,92,442349.0,8.0,0.18085267515016423,0.16623678358297977
