gene_set,input_symbol,SYMBOL,ENTREZID,GENENAME
background_gse32537_all_tested_annotated_mrna,ACAT1,ACAT1,38,acetyl-CoA acetyltransferase 1
background_gse32537_all_tested_annotated_mrna,ACAT2,ACAT2,39,acetyl-CoA acetyltransferase 2
background_gse32537_all_tested_annotated_mrna,ACBD5,ACBD5,91452,acyl-CoA binding domain containing 5
background_gse32537_all_tested_annotated_mrna,ACBD7,ACBD7,414149,acyl-CoA binding domain containing 7
background_gse32537_all_tested_annotated_mrna,ACCS,ACCS,84680,1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
background_gse32537_all_tested_annotated_mrna,ACE,ACE,1636,angiotensin I converting enzyme
background_gse32537_all_tested_annotated_mrna,ACE2,ACE2,59272,angiotensin converting enzyme 2
background_gse32537_all_tested_annotated_mrna,ACER2,ACER2,340485,alkaline ceramidase 2
background_gse32537_all_tested_annotated_mrna,ACER3,ACER3,55331,alkaline ceramidase 3
background_gse32537_all_tested_annotated_mrna,ACKR1,ACKR1,2532,atypical chemokine receptor 1 (Duffy blood group)
background_gse32537_all_tested_annotated_mrna,ACKR4,ACKR4,51554,atypical chemokine receptor 4
background_gse32537_all_tested_annotated_mrna,ACLY,ACLY,47,ATP citrate lyase
background_gse32537_all_tested_annotated_mrna,ACN9,ACN9,,
background_gse32537_all_tested_annotated_mrna,ACO1,ACO1,48,aconitase 1
background_gse32537_all_tested_annotated_mrna,ACOT1,ACOT1,641371,acyl-CoA thioesterase 1
background_gse32537_all_tested_annotated_mrna,ACOT13,ACOT13,55856,acyl-CoA thioesterase 13
background_gse32537_all_tested_annotated_mrna,ACOT2,ACOT2,10965,acyl-CoA thioesterase 2
background_gse32537_all_tested_annotated_mrna,ACOT7,ACOT7,11332,acyl-CoA thioesterase 7
background_gse32537_all_tested_annotated_mrna,ACOX2,ACOX2,8309,acyl-CoA oxidase 2
background_gse32537_all_tested_annotated_mrna,ACOXL,ACOXL,55289,acyl-CoA oxidase like
background_gse32537_all_tested_annotated_mrna,ACP2,ACP2,53,"acid phosphatase 2, lysosomal"
background_gse32537_all_tested_annotated_mrna,ACP5,ACP5,54,"acid phosphatase 5, tartrate resistant"
background_gse32537_all_tested_annotated_mrna,ACP6,ACP6,51205,"acid phosphatase 6, lysophosphatidic"
background_gse32537_all_tested_annotated_mrna,ACPP,ACPP,,
background_gse32537_all_tested_annotated_mrna,ACR,ACR,49,acrosin
background_gse32537_all_tested_annotated_mrna,ACSBG1,ACSBG1,23205,acyl-CoA synthetase bubblegum family member 1
