gene_set,input_symbol,SYMBOL,ENTREZID,GENENAME
background_gse32537_all_tested_annotated_mrna,COX3,COX3,,
background_gse32537_all_tested_annotated_mrna,COX4I2,COX4I2,84701,cytochrome c oxidase subunit 4I2
background_gse32537_all_tested_annotated_mrna,COX5B,COX5B,1329,cytochrome c oxidase subunit 5B
background_gse32537_all_tested_annotated_mrna,COX6A1,COX6A1,1337,cytochrome c oxidase subunit 6A1
background_gse32537_all_tested_annotated_mrna,COX6A2,COX6A2,1339,cytochrome c oxidase subunit 6A2
background_gse32537_all_tested_annotated_mrna,COX6C,COX6C,1345,cytochrome c oxidase subunit 6C
background_gse32537_all_tested_annotated_mrna,COX7A1,COX7A1,1346,cytochrome c oxidase subunit 7A1
background_gse32537_all_tested_annotated_mrna,COX7A2,COX7A2,1347,cytochrome c oxidase subunit 7A2
background_gse32537_all_tested_annotated_mrna,COX7B,COX7B,1349,cytochrome c oxidase subunit 7B
background_gse32537_all_tested_annotated_mrna,COX7C,COX7C,1350,cytochrome c oxidase subunit 7C
background_gse32537_all_tested_annotated_mrna,COX8A,COX8A,1351,cytochrome c oxidase subunit 8A
background_gse32537_all_tested_annotated_mrna,CP,CP,1356,ceruloplasmin
background_gse32537_all_tested_annotated_mrna,CPA3,CPA3,1359,carboxypeptidase A3
background_gse32537_all_tested_annotated_mrna,CPA4,CPA4,51200,carboxypeptidase A4
background_gse32537_all_tested_annotated_mrna,CPA6,CPA6,57094,carboxypeptidase A6
background_gse32537_all_tested_annotated_mrna,CPAMD8,CPAMD8,27151,C3 and PZP like alpha-2-macroglobulin domain containing 8
background_gse32537_all_tested_annotated_mrna,CPB2,CPB2,1361,carboxypeptidase B2
background_gse32537_all_tested_annotated_mrna,CPD,CPD,1362,carboxypeptidase D
background_gse32537_all_tested_annotated_mrna,CPE,CPE,1363,carboxypeptidase E
background_gse32537_all_tested_annotated_mrna,CPED1,CPED1,79974,cadherin like and PC-esterase domain containing 1
background_gse32537_all_tested_annotated_mrna,CPM,CPM,1368,carboxypeptidase M
background_gse32537_all_tested_annotated_mrna,CPN2,CPN2,1370,carboxypeptidase N subunit 2
background_gse32537_all_tested_annotated_mrna,CPNE2,CPNE2,221184,copine 2
background_gse32537_all_tested_annotated_mrna,CPNE4,CPNE4,131034,copine 4
background_gse32537_all_tested_annotated_mrna,CPNE5,CPNE5,57699,copine 5
background_gse32537_all_tested_annotated_mrna,CPS1,CPS1,1373,carbamoyl-phosphate synthase 1
background_gse32537_all_tested_annotated_mrna,CPT1A,CPT1A,1374,carnitine palmitoyltransferase 1A
background_gse32537_all_tested_annotated_mrna,CPT2,CPT2,1376,carnitine palmitoyltransferase 2
background_gse32537_all_tested_annotated_mrna,CPVL,CPVL,54504,carboxypeptidase vitellogenic like
background_gse32537_all_tested_annotated_mrna,CPXM1,CPXM1,56265,"carboxypeptidase X, M14 family member 1"
background_gse32537_all_tested_annotated_mrna,CPXM2,CPXM2,119587,"carboxypeptidase X, M14 family member 2"
background_gse32537_all_tested_annotated_mrna,CR1,CR1,1378,complement C3b/C4b receptor 1 (Knops blood group)
background_gse32537_all_tested_annotated_mrna,CR1L,CR1L,1379,complement C3b/C4b receptor 1 like
background_gse32537_all_tested_annotated_mrna,CR2,CR2,1380,complement C3d receptor 2
background_gse32537_all_tested_annotated_mrna,CRABP2,CRABP2,1382,cellular retinoic acid binding protein 2
background_gse32537_all_tested_annotated_mrna,CRB3,CRB3,92359,crumbs cell polarity complex component 3
background_gse32537_all_tested_annotated_mrna,CRBN,CRBN,51185,cereblon
background_gse32537_all_tested_annotated_mrna,CREB3L1,CREB3L1,90993,cAMP responsive element binding protein 3 like 1
background_gse32537_all_tested_annotated_mrna,CREB3L2,CREB3L2,64764,cAMP responsive element binding protein 3 like 2
background_gse32537_all_tested_annotated_mrna,CREB5,CREB5,9586,cAMP responsive element binding protein 5
background_gse32537_all_tested_annotated_mrna,CREBRF,CREBRF,153222,CREB3 regulatory factor
background_gse32537_all_tested_annotated_mrna,CREG1,CREG1,8804,cellular repressor of E1A stimulated genes 1
background_gse32537_all_tested_annotated_mrna,CRELD2,CRELD2,79174,CRELD disulfide isomerase 2
background_gse32537_all_tested_annotated_mrna,CREM,CREM,1390,cAMP responsive element modulator
background_gse32537_all_tested_annotated_mrna,CRHR1-IT1,CRHR1-IT1,,
background_gse32537_all_tested_annotated_mrna,CRIM1,CRIM1,51232,cysteine rich transmembrane BMP regulator 1
background_gse32537_all_tested_annotated_mrna,CRIP1,CRIP1,1396,cysteine rich protein 1
background_gse32537_all_tested_annotated_mrna,CRIP1P4,CRIP1P4,641457,cysteine rich protein 1 pseudogene 4
background_gse32537_all_tested_annotated_mrna,CRIP2,CRIP2,1397,cysteine rich protein 2
background_gse32537_all_tested_annotated_mrna,CRIPAK,CRIPAK,,
background_gse32537_all_tested_annotated_mrna,CRIPT,CRIPT,9419,CXXC repeat containing interactor of PDZ3 domain
background_gse32537_all_tested_annotated_mrna,CRISP2,CRISP2,7180,cysteine rich secretory protein 2
background_gse32537_all_tested_annotated_mrna,CRISP3,CRISP3,10321,cysteine rich secretory protein 3
background_gse32537_all_tested_annotated_mrna,CRISPLD1,CRISPLD1,83690,cysteine rich secretory protein LCCL domain containing 1
background_gse32537_all_tested_annotated_mrna,CRISPLD2,CRISPLD2,83716,cysteine rich secretory protein LCCL domain containing 2
background_gse32537_all_tested_annotated_mrna,CRLF1,CRLF1,9244,cytokine receptor like factor 1
background_gse32537_all_tested_annotated_mrna,CRLF3,CRLF3,51379,cytokine receptor like factor 3
background_gse32537_all_tested_annotated_mrna,CRMP1,CRMP1,1400,collapsin response mediator protein 1
background_gse32537_all_tested_annotated_mrna,CROT,CROT,54677,carnitine O-octanoyltransferase
background_gse32537_all_tested_annotated_mrna,CRTAC1,CRTAC1,55118,cartilage acidic protein 1
background_gse32537_all_tested_annotated_mrna,CRTAM,CRTAM,56253,cytotoxic and regulatory T cell molecule
background_gse32537_all_tested_annotated_mrna,CRY1,CRY1,1407,cryptochrome circadian regulator 1
background_gse32537_all_tested_annotated_mrna,CRYAB,CRYAB,1410,crystallin alpha B
background_gse32537_all_tested_annotated_mrna,CRYBB2P1,CRYBB2P1,1416,crystallin beta B2 pseudogene 1
background_gse32537_all_tested_annotated_mrna,CRYGD,CRYGD,1421,crystallin gamma D
background_gse32537_all_tested_annotated_mrna,CRYGS,CRYGS,1427,crystallin gamma S
background_gse32537_all_tested_annotated_mrna,CRYM,CRYM,1428,crystallin mu
background_gse32537_all_tested_annotated_mrna,CRYZ,CRYZ,1429,crystallin zeta
background_gse32537_all_tested_annotated_mrna,CRYZL1,CRYZL1,9946,crystallin zeta like 1
background_gse32537_all_tested_annotated_mrna,CSAD,CSAD,51380,cysteine sulfinic acid decarboxylase
background_gse32537_all_tested_annotated_mrna,CSAG1,CSAG1,158511,chondrosarcoma associated gene 1
background_gse32537_all_tested_annotated_mrna,CSDC2,CSDC2,27254,cold shock domain containing C2
background_gse32537_all_tested_annotated_mrna,CSF1,CSF1,1435,colony stimulating factor 1
background_gse32537_all_tested_annotated_mrna,CSF1R,CSF1R,1436,colony stimulating factor 1 receptor
background_gse32537_all_tested_annotated_mrna,CSF2RA,CSF2RA,1438,colony stimulating factor 2 receptor subunit alpha
background_gse32537_all_tested_annotated_mrna,CSF2RB,CSF2RB,1439,colony stimulating factor 2 receptor subunit beta
background_gse32537_all_tested_annotated_mrna,CSF3,CSF3,1440,colony stimulating factor 3
background_gse32537_all_tested_annotated_mrna,CSF3R,CSF3R,1441,colony stimulating factor 3 receptor
background_gse32537_all_tested_annotated_mrna,CSGALNACT1,CSGALNACT1,55790,chondroitin sulfate N-acetylgalactosaminyltransferase 1
background_gse32537_all_tested_annotated_mrna,CSGALNACT2,CSGALNACT2,55454,chondroitin sulfate N-acetylgalactosaminyltransferase 2
background_gse32537_all_tested_annotated_mrna,CSH2,CSH2,1443,chorionic somatomammotropin hormone 2
background_gse32537_all_tested_annotated_mrna,CSNK1G3,CSNK1G3,1456,casein kinase 1 gamma 3
background_gse32537_all_tested_annotated_mrna,CSNK2A3,CSNK2A3,283106,casein kinase 2 alpha 3
background_gse32537_all_tested_annotated_mrna,CSPG4,CSPG4,1464,chondroitin sulfate proteoglycan 4
background_gse32537_all_tested_annotated_mrna,CSPG4P1Y,CSPG4P1Y,114758,CSPG4 pseudogene 1 Y-linked
background_gse32537_all_tested_annotated_mrna,CSPG4P5,CSPG4P5,114817,chondroitin sulfate proteoglycan 4 pseudogene 5
background_gse32537_all_tested_annotated_mrna,CSPG5,CSPG5,10675,chondroitin sulfate proteoglycan 5
background_gse32537_all_tested_annotated_mrna,CSPP1,CSPP1,79848,centrosome and spindle pole associated protein 1
background_gse32537_all_tested_annotated_mrna,CSRNP1,CSRNP1,64651,cysteine and serine rich nuclear protein 1
background_gse32537_all_tested_annotated_mrna,CSRNP3,CSRNP3,80034,cysteine and serine rich nuclear protein 3
background_gse32537_all_tested_annotated_mrna,CSRP1,CSRP1,1465,cysteine and glycine rich protein 1
background_gse32537_all_tested_annotated_mrna,CSRP2,CSRP2,1466,cysteine and glycine rich protein 2
background_gse32537_all_tested_annotated_mrna,CST1,CST1,1469,cystatin SN
background_gse32537_all_tested_annotated_mrna,CST2,CST2,1470,cystatin SA
background_gse32537_all_tested_annotated_mrna,CST5,CST5,1473,cystatin D
background_gse32537_all_tested_annotated_mrna,CST6,CST6,1474,cystatin E/M
background_gse32537_all_tested_annotated_mrna,CST7,CST7,8530,cystatin F
background_gse32537_all_tested_annotated_mrna,CSTA,CSTA,1475,cystatin A
background_gse32537_all_tested_annotated_mrna,CSTB,CSTB,1476,cystatin B
background_gse32537_all_tested_annotated_mrna,CSTF2T,CSTF2T,23283,cleavage stimulation factor subunit 2 tau variant
background_gse32537_all_tested_annotated_mrna,CSTF3,CSTF3,1479,cleavage stimulation factor subunit 3
background_gse32537_all_tested_annotated_mrna,CT45A5,CT45A5,441521,cancer/testis antigen family 45 member A5
background_gse32537_all_tested_annotated_mrna,CT55,CT55,54967,cancer/testis antigen 55
background_gse32537_all_tested_annotated_mrna,CT83,CT83,203413,cancer/testis antigen 83
background_gse32537_all_tested_annotated_mrna,CTAG2,CTAG2,30848,cancer/testis antigen 2
background_gse32537_all_tested_annotated_mrna,CTAGE15,CTAGE15,441294,CTAGE family member 15
background_gse32537_all_tested_annotated_mrna,CTAGE5,CTAGE5,,
background_gse32537_all_tested_annotated_mrna,CTBP1-AS2,CTBP1-AS2,,
background_gse32537_all_tested_annotated_mrna,CTC1,CTC1,80169,CST telomere replication complex component 1
background_gse32537_all_tested_annotated_mrna,CTGF,CTGF,,
background_gse32537_all_tested_annotated_mrna,CTH,CTH,1491,cystathionine gamma-lyase
background_gse32537_all_tested_annotated_mrna,CTHRC1,CTHRC1,115908,collagen triple helix repeat containing 1
background_gse32537_all_tested_annotated_mrna,CTLA4,CTLA4,1493,cytotoxic T-lymphocyte associated protein 4
background_gse32537_all_tested_annotated_mrna,CTNNAL1,CTNNAL1,8727,catenin alpha like 1
background_gse32537_all_tested_annotated_mrna,CTNNBIP1,CTNNBIP1,56998,catenin beta interacting protein 1
background_gse32537_all_tested_annotated_mrna,CTNS,CTNS,1497,"cystinosin, lysosomal cystine transporter"
background_gse32537_all_tested_annotated_mrna,CTPS1,CTPS1,1503,CTP synthase 1
background_gse32537_all_tested_annotated_mrna,CTSB,CTSB,1508,cathepsin B
background_gse32537_all_tested_annotated_mrna,CTSC,CTSC,1075,cathepsin C
background_gse32537_all_tested_annotated_mrna,CTSD,CTSD,1509,cathepsin D
background_gse32537_all_tested_annotated_mrna,CTSE,CTSE,1510,cathepsin E
background_gse32537_all_tested_annotated_mrna,CTSF,CTSF,8722,cathepsin F
background_gse32537_all_tested_annotated_mrna,CTSG,CTSG,1511,cathepsin G
background_gse32537_all_tested_annotated_mrna,CTSH,CTSH,1512,cathepsin H
background_gse32537_all_tested_annotated_mrna,CTSK,CTSK,1513,cathepsin K
background_gse32537_all_tested_annotated_mrna,CTSL,CTSL,1514,cathepsin L
background_gse32537_all_tested_annotated_mrna,CTSO,CTSO,1519,cathepsin O
background_gse32537_all_tested_annotated_mrna,CTSS,CTSS,1520,cathepsin S
background_gse32537_all_tested_annotated_mrna,CTSV,CTSV,1515,cathepsin V
background_gse32537_all_tested_annotated_mrna,CTSW,CTSW,1521,cathepsin W
background_gse32537_all_tested_annotated_mrna,CTSZ,CTSZ,1522,cathepsin Z
background_gse32537_all_tested_annotated_mrna,CTTNBP2,CTTNBP2,83992,cortactin binding protein 2
background_gse32537_all_tested_annotated_mrna,CTU1,CTU1,90353,cytosolic thiouridylase subunit 1
background_gse32537_all_tested_annotated_mrna,CTXN1,CTXN1,404217,cortexin 1
background_gse32537_all_tested_annotated_mrna,CUBN,CUBN,8029,cubilin
background_gse32537_all_tested_annotated_mrna,CUL2,CUL2,8453,cullin 2
background_gse32537_all_tested_annotated_mrna,CUL5,CUL5,8065,cullin 5
background_gse32537_all_tested_annotated_mrna,CWC15,CWC15,51503,CWC15 spliceosome associated protein
background_gse32537_all_tested_annotated_mrna,CWC22,CWC22,57703,CWC22 spliceosome associated protein
background_gse32537_all_tested_annotated_mrna,CWC27,CWC27,10283,CWC27 spliceosome associated cyclophilin
background_gse32537_all_tested_annotated_mrna,CWF19L2,CWF19L2,143884,CWF19 like cell cycle control factor 2
background_gse32537_all_tested_annotated_mrna,CWH43,CWH43,80157,cell wall biogenesis 43 C-terminal homolog
background_gse32537_all_tested_annotated_mrna,CX3CL1,CX3CL1,6376,C-X3-C motif chemokine ligand 1
background_gse32537_all_tested_annotated_mrna,CX3CR1,CX3CR1,1524,C-X3-C motif chemokine receptor 1
background_gse32537_all_tested_annotated_mrna,CXADR,CXADR,1525,CXADR cell adhesion molecule
background_gse32537_all_tested_annotated_mrna,CXCL1,CXCL1,2919,C-X-C motif chemokine ligand 1
background_gse32537_all_tested_annotated_mrna,CXCL10,CXCL10,3627,C-X-C motif chemokine ligand 10
background_gse32537_all_tested_annotated_mrna,CXCL11,CXCL11,6373,C-X-C motif chemokine ligand 11
background_gse32537_all_tested_annotated_mrna,CXCL12,CXCL12,6387,C-X-C motif chemokine ligand 12
background_gse32537_all_tested_annotated_mrna,CXCL13,CXCL13,10563,C-X-C motif chemokine ligand 13
background_gse32537_all_tested_annotated_mrna,CXCL14,CXCL14,9547,C-X-C motif chemokine ligand 14
background_gse32537_all_tested_annotated_mrna,CXCL16,CXCL16,58191,C-X-C motif chemokine ligand 16
background_gse32537_all_tested_annotated_mrna,CXCL17,CXCL17,284340,C-X-C motif chemokine ligand 17
background_gse32537_all_tested_annotated_mrna,CXCL2,CXCL2,2920,C-X-C motif chemokine ligand 2
background_gse32537_all_tested_annotated_mrna,CXCL3,CXCL3,2921,C-X-C motif chemokine ligand 3
background_gse32537_all_tested_annotated_mrna,CXCL5,CXCL5,6374,C-X-C motif chemokine ligand 5
background_gse32537_all_tested_annotated_mrna,CXCL6,CXCL6,6372,C-X-C motif chemokine ligand 6
background_gse32537_all_tested_annotated_mrna,CXCL8,CXCL8,3576,C-X-C motif chemokine ligand 8
background_gse32537_all_tested_annotated_mrna,CXCL9,CXCL9,4283,C-X-C motif chemokine ligand 9
background_gse32537_all_tested_annotated_mrna,CXCR1,CXCR1,3577,C-X-C motif chemokine receptor 1
background_gse32537_all_tested_annotated_mrna,CXCR2,CXCR2,3579,C-X-C motif chemokine receptor 2
background_gse32537_all_tested_annotated_mrna,CXCR3,CXCR3,2833,C-X-C motif chemokine receptor 3
background_gse32537_all_tested_annotated_mrna,CXCR4,CXCR4,7852,C-X-C motif chemokine receptor 4
background_gse32537_all_tested_annotated_mrna,CXCR5,CXCR5,643,C-X-C motif chemokine receptor 5
background_gse32537_all_tested_annotated_mrna,CXCR6,CXCR6,10663,C-X-C motif chemokine receptor 6
background_gse32537_all_tested_annotated_mrna,CXXC4,CXXC4,80319,CXXC finger protein 4
background_gse32537_all_tested_annotated_mrna,CXORF21,CXORF21,,
background_gse32537_all_tested_annotated_mrna,CXORF22,CXORF22,,
background_gse32537_all_tested_annotated_mrna,CXORF23,CXORF23,,
background_gse32537_all_tested_annotated_mrna,CXORF24,CXORF24,,
background_gse32537_all_tested_annotated_mrna,CXORF36,CXORF36,,
background_gse32537_all_tested_annotated_mrna,CXORF56,CXORF56,,
background_gse32537_all_tested_annotated_mrna,CXORF57,CXORF57,,
background_gse32537_all_tested_annotated_mrna,CXORF65,CXORF65,,
background_gse32537_all_tested_annotated_mrna,CYB561A3,CYB561A3,220002,cytochrome b561 family member A3
background_gse32537_all_tested_annotated_mrna,CYB561D2,CYB561D2,11068,cytochrome b561 family member D2
background_gse32537_all_tested_annotated_mrna,CYB5A,CYB5A,1528,cytochrome b5 type A
background_gse32537_all_tested_annotated_mrna,CYB5B,CYB5B,80777,cytochrome b5 type B
background_gse32537_all_tested_annotated_mrna,CYB5D1,CYB5D1,124637,cytochrome b5 domain containing 1
background_gse32537_all_tested_annotated_mrna,CYB5R2,CYB5R2,51700,cytochrome b5 reductase 2
background_gse32537_all_tested_annotated_mrna,CYB5R4,CYB5R4,51167,cytochrome b5 reductase 4
background_gse32537_all_tested_annotated_mrna,CYBA,CYBA,1535,cytochrome b-245 alpha chain
background_gse32537_all_tested_annotated_mrna,CYBB,CYBB,1536,cytochrome b-245 beta chain
background_gse32537_all_tested_annotated_mrna,CYBRD1,CYBRD1,79901,cytochrome b reductase 1
background_gse32537_all_tested_annotated_mrna,CYC1,CYC1,1537,cytochrome c1
background_gse32537_all_tested_annotated_mrna,CYCS,CYCS,54205,"cytochrome c, somatic"
background_gse32537_all_tested_annotated_mrna,CYFIP2,CYFIP2,26999,cytoplasmic FMR1 interacting protein 2
background_gse32537_all_tested_annotated_mrna,CYHR1,CYHR1,,
background_gse32537_all_tested_annotated_mrna,CYP11B1,CYP11B1,1584,cytochrome P450 family 11 subfamily B member 1
background_gse32537_all_tested_annotated_mrna,CYP19A1,CYP19A1,1588,cytochrome P450 family 19 subfamily A member 1
background_gse32537_all_tested_annotated_mrna,CYP1A1,CYP1A1,1543,cytochrome P450 family 1 subfamily A member 1
background_gse32537_all_tested_annotated_mrna,CYP1B1,CYP1B1,1545,cytochrome P450 family 1 subfamily B member 1
background_gse32537_all_tested_annotated_mrna,CYP24A1,CYP24A1,1591,cytochrome P450 family 24 subfamily A member 1
background_gse32537_all_tested_annotated_mrna,CYP26B1,CYP26B1,56603,cytochrome P450 family 26 subfamily B member 1
background_gse32537_all_tested_annotated_mrna,CYP27A1,CYP27A1,1593,cytochrome P450 family 27 subfamily A member 1
background_gse32537_all_tested_annotated_mrna,CYP27C1,CYP27C1,339761,cytochrome P450 family 27 subfamily C member 1
background_gse32537_all_tested_annotated_mrna,CYP2A7P1,CYP2A7P1,1550,cytochrome P450 family 2 subfamily A member 7 pseudogene 1
background_gse32537_all_tested_annotated_mrna,CYP2B6,CYP2B6,1555,cytochrome P450 family 2 subfamily B member 6
background_gse32537_all_tested_annotated_mrna,CYP2B7P,CYP2B7P,1556,"cytochrome P450 family 2 subfamily B member 7, pseudogene"
background_gse32537_all_tested_annotated_mrna,CYP2C18,CYP2C18,1562,cytochrome P450 family 2 subfamily C member 18
background_gse32537_all_tested_annotated_mrna,CYP2D7P,CYP2D7P,,
background_gse32537_all_tested_annotated_mrna,CYP2F1,CYP2F1,1572,cytochrome P450 family 2 subfamily F member 1
background_gse32537_all_tested_annotated_mrna,CYP2J2,CYP2J2,1573,cytochrome P450 family 2 subfamily J member 2
background_gse32537_all_tested_annotated_mrna,CYP2S1,CYP2S1,29785,cytochrome P450 family 2 subfamily S member 1
background_gse32537_all_tested_annotated_mrna,CYP39A1,CYP39A1,51302,cytochrome P450 family 39 subfamily A member 1
background_gse32537_all_tested_annotated_mrna,CYP3A5,CYP3A5,1577,cytochrome P450 family 3 subfamily A member 5
background_gse32537_all_tested_annotated_mrna,CYP3A7,CYP3A7,1551,cytochrome P450 family 3 subfamily A member 7
background_gse32537_all_tested_annotated_mrna,CYP4A11,CYP4A11,1579,cytochrome P450 family 4 subfamily A member 11
background_gse32537_all_tested_annotated_mrna,CYP4B1,CYP4B1,1580,cytochrome P450 family 4 subfamily B member 1
background_gse32537_all_tested_annotated_mrna,CYP4F11,CYP4F11,57834,cytochrome P450 family 4 subfamily F member 11
background_gse32537_all_tested_annotated_mrna,CYP4F3,CYP4F3,4051,cytochrome P450 family 4 subfamily F member 3
background_gse32537_all_tested_annotated_mrna,CYP4F35P,CYP4F35P,284233,"cytochrome P450 family 4 subfamily F member 35, pseudogene"
background_gse32537_all_tested_annotated_mrna,CYP4V2,CYP4V2,285440,cytochrome P450 family 4 subfamily V member 2
background_gse32537_all_tested_annotated_mrna,CYP4X1,CYP4X1,260293,cytochrome P450 family 4 subfamily X member 1
background_gse32537_all_tested_annotated_mrna,CYP4Z1,CYP4Z1,199974,cytochrome P450 family 4 subfamily Z member 1
background_gse32537_all_tested_annotated_mrna,CYP4Z2P,CYP4Z2P,163720,"cytochrome P450 family 4 subfamily Z member 2, pseudogene"
background_gse32537_all_tested_annotated_mrna,CYP51A1,CYP51A1,1595,cytochrome P450 family 51 subfamily A member 1
background_gse32537_all_tested_annotated_mrna,CYP7B1,CYP7B1,9420,cytochrome P450 family 7 subfamily B member 1
background_gse32537_all_tested_annotated_mrna,CYR61,CYR61,,
background_gse32537_all_tested_annotated_mrna,CYSLTR1,CYSLTR1,10800,cysteinyl leukotriene receptor 1
background_gse32537_all_tested_annotated_mrna,CYSLTR2,CYSLTR2,57105,cysteinyl leukotriene receptor 2
background_gse32537_all_tested_annotated_mrna,CYTH2,CYTH2,9266,cytohesin 2
background_gse32537_all_tested_annotated_mrna,CYTH4,CYTH4,27128,cytohesin 4
background_gse32537_all_tested_annotated_mrna,CYTIP,CYTIP,9595,cytohesin 1 interacting protein
background_gse32537_all_tested_annotated_mrna,CYTL1,CYTL1,54360,cytokine like 1
background_gse32537_all_tested_annotated_mrna,CYYR1,CYYR1,116159,cysteine and tyrosine rich 1
background_gse32537_all_tested_annotated_mrna,DAAM1,DAAM1,23002,dishevelled associated activator of morphogenesis 1
background_gse32537_all_tested_annotated_mrna,DAAM2,DAAM2,23500,dishevelled associated activator of morphogenesis 2
background_gse32537_all_tested_annotated_mrna,DAB1,DAB1,1600,DAB adaptor protein 1
background_gse32537_all_tested_annotated_mrna,DAB2,DAB2,1601,DAB adaptor protein 2
background_gse32537_all_tested_annotated_mrna,DACH1,DACH1,1602,dachshund family transcription factor 1
background_gse32537_all_tested_annotated_mrna,DACT1,DACT1,51339,dishevelled binding antagonist of beta catenin 1
background_gse32537_all_tested_annotated_mrna,DACT3,DACT3,147906,dishevelled binding antagonist of beta catenin 3
background_gse32537_all_tested_annotated_mrna,DAGLB,DAGLB,221955,diacylglycerol lipase beta
background_gse32537_all_tested_annotated_mrna,DAND5,DAND5,199699,DAN domain BMP antagonist family member 5
background_gse32537_all_tested_annotated_mrna,DAPK1,DAPK1,1612,death associated protein kinase 1
background_gse32537_all_tested_annotated_mrna,DAPK2,DAPK2,23604,death associated protein kinase 2
background_gse32537_all_tested_annotated_mrna,DAPK3,DAPK3,1613,death associated protein kinase 3
background_gse32537_all_tested_annotated_mrna,DAPP1,DAPP1,27071,dual adaptor of phosphotyrosine and 3-phosphoinositides 1
background_gse32537_all_tested_annotated_mrna,DAW1,DAW1,164781,dynein assembly factor with WD repeats 1
background_gse32537_all_tested_annotated_mrna,DAZAP2P1,DAZAP2P1,645805,DAZ associated protein 2 pseudogene 1
background_gse32537_all_tested_annotated_mrna,DBI,DBI,1622,"diazepam binding inhibitor, acyl-CoA binding protein"
background_gse32537_all_tested_annotated_mrna,DBN1,DBN1,1627,drebrin 1
background_gse32537_all_tested_annotated_mrna,DBNL,DBNL,28988,drebrin like
background_gse32537_all_tested_annotated_mrna,DBP,DBP,1628,D-box binding PAR bZIP transcription factor
background_gse32537_all_tested_annotated_mrna,DBR1,DBR1,51163,debranching RNA lariats 1
background_gse32537_all_tested_annotated_mrna,DBT,DBT,1629,dihydrolipoamide branched chain transacylase E2
background_gse32537_all_tested_annotated_mrna,DCAF13,DCAF13,25879,DDB1 and CUL4 associated factor 13
background_gse32537_all_tested_annotated_mrna,DCAF8L2,DCAF8L2,347442,DDB1 and CUL4 associated factor 8 like 2
background_gse32537_all_tested_annotated_mrna,DCBLD1,DCBLD1,285761,"discoidin, CUB and LCCL domain containing 1"
background_gse32537_all_tested_annotated_mrna,DCBLD2,DCBLD2,131566,"discoidin, CUB and LCCL domain containing 2"
background_gse32537_all_tested_annotated_mrna,DCC,DCC,1630,DCC netrin 1 receptor
background_gse32537_all_tested_annotated_mrna,DCDC1,DCDC1,341019,doublecortin domain containing 1
background_gse32537_all_tested_annotated_mrna,DCDC2,DCDC2,51473,doublecortin domain containing 2
background_gse32537_all_tested_annotated_mrna,DCHS1,DCHS1,8642,dachsous cadherin-related 1
background_gse32537_all_tested_annotated_mrna,DCK,DCK,1633,deoxycytidine kinase
background_gse32537_all_tested_annotated_mrna,DCLK1,DCLK1,9201,doublecortin like kinase 1
background_gse32537_all_tested_annotated_mrna,DCLK2,DCLK2,166614,doublecortin like kinase 2
background_gse32537_all_tested_annotated_mrna,DCLRE1A,DCLRE1A,9937,DNA cross-link repair 1A
background_gse32537_all_tested_annotated_mrna,DCLRE1B,DCLRE1B,64858,DNA cross-link repair 1B
background_gse32537_all_tested_annotated_mrna,DCN,DCN,1634,decorin
background_gse32537_all_tested_annotated_mrna,DCP1B,DCP1B,196513,decapping mRNA 1B
background_gse32537_all_tested_annotated_mrna,DCSTAMP,DCSTAMP,81501,dendrocyte expressed seven transmembrane protein
background_gse32537_all_tested_annotated_mrna,DCTN6,DCTN6,10671,dynactin subunit 6
background_gse32537_all_tested_annotated_mrna,DCUN1D1,DCUN1D1,54165,defective in cullin neddylation 1 domain containing 1
background_gse32537_all_tested_annotated_mrna,DCUN1D3,DCUN1D3,123879,defective in cullin neddylation 1 domain containing 3
background_gse32537_all_tested_annotated_mrna,DCUN1D4,DCUN1D4,23142,defective in cullin neddylation 1 domain containing 4
background_gse32537_all_tested_annotated_mrna,DCUN1D5,DCUN1D5,84259,defective in cullin neddylation 1 domain containing 5
background_gse32537_all_tested_annotated_mrna,DCXR,DCXR,51181,dicarbonyl and L-xylulose reductase
background_gse32537_all_tested_annotated_mrna,DDAH1,DDAH1,23576,dimethylarginine dimethylaminohydrolase 1
background_gse32537_all_tested_annotated_mrna,DDAH2,DDAH2,23564,"DDAH family member 2, ADMA-independent"
background_gse32537_all_tested_annotated_mrna,DDB2,DDB2,1643,damage specific DNA binding protein 2
background_gse32537_all_tested_annotated_mrna,DDHD1,DDHD1,80821,DDHD domain containing 1
background_gse32537_all_tested_annotated_mrna,DDIAS,DDIAS,220042,DNA damage induced apoptosis suppressor
background_gse32537_all_tested_annotated_mrna,DDIT3,DDIT3,1649,DNA damage inducible transcript 3
background_gse32537_all_tested_annotated_mrna,DDIT4,DDIT4,54541,DNA damage inducible transcript 4
background_gse32537_all_tested_annotated_mrna,DDIT4L,DDIT4L,115265,DNA damage inducible transcript 4 like
background_gse32537_all_tested_annotated_mrna,DDN,DDN,23109,dendrin
background_gse32537_all_tested_annotated_mrna,DDO,DDO,8528,D-aspartate oxidase
background_gse32537_all_tested_annotated_mrna,DDR1,DDR1,780,discoidin domain receptor tyrosine kinase 1
background_gse32537_all_tested_annotated_mrna,DDR2,DDR2,4921,discoidin domain receptor tyrosine kinase 2
background_gse32537_all_tested_annotated_mrna,DDT,DDT,1652,D-dopachrome tautomerase
background_gse32537_all_tested_annotated_mrna,DDTL,DDTL,100037417,D-dopachrome tautomerase like
