candidate_mirna,target_gene,match_type,mirtarbase_mirnas,mirtarbase_ids,support_types,experiments,pmids,evidence_count,best_support_rank,mirna_discovery_logFC,mirna_discovery_adj_p,mirna_direction,mirna_validation_fdr_support_count,mirna_robust_score,mirna_validation_details,target_gene_symbol,mrna_discovery_logFC,mrna_discovery_adj_p,mrna_direction,mrna_validation_fdr_support_count,mrna_robust_score,mrna_validation_details,axis,axis_score,match_priority
hsa-miR-375,CLDN1,exact,hsa-miR-375,MIRT019768,Functional MTI (Weak),Microarray,20215506,1,10,-1.5199519354717,2.7550623237396902e-14,down,1,9.0,GSE21394:-0.723/FDR=0.0739; GSE27430:-1.1/FDR=0.0218,CLDN1,1.51826676470589,9.19195196331401e-21,up,4,29.0,GSE110147:1.19/FDR=0.000171; GSE150910:2.31/FDR=3.98e-13; GSE53845:2.34/FDR=7.91e-09; GSE92592:1.42/FDR=3.24e-05,hsa-miR-375 -> CLDN1,49.0,0
hsa-miR-375,MNS1,exact,hsa-miR-375,MIRT019835,Functional MTI (Weak),Microarray,20215506,1,10,-1.5199519354717,2.7550623237396902e-14,down,1,9.0,GSE21394:-0.723/FDR=0.0739; GSE27430:-1.1/FDR=0.0218,MNS1,1.47724088739496,5.3951314288224405e-17,up,2,17.0,GSE110147:1.7/FDR=7.49e-07; GSE150910:1.48/FDR=2.33e-05; GSE53845:0.791/FDR=0.16; GSE92592:0.951/FDR=0.0221,hsa-miR-375 -> MNS1,37.0,0
hsa-miR-375,RPGRIP1L,exact,hsa-miR-375,MIRT019863,Functional MTI (Weak),Microarray,20215506,1,10,-1.5199519354717,2.7550623237396902e-14,down,1,9.0,GSE21394:-0.723/FDR=0.0739; GSE27430:-1.1/FDR=0.0218,RPGRIP1L,1.11256908067227,1.8487546666404002e-16,up,2,17.0,GSE110147:2.18/FDR=2.52e-12; GSE150910:0.575/FDR=2.41e-09; GSE53845:0.648/FDR=0.036; GSE92592:1.06/FDR=0.000734,hsa-miR-375 -> RPGRIP1L,37.0,0
