candidate_mirna,target_count,exact_target_count,mean_axis_score,top_targets
hsa-miR-30a,7,0,44.857142857142854,CDH2;LRRN1;C6;FAM81B;SIX4;PTGFRN;SERPINB5
hsa-miR-92a,6,0,48.0,TP63;GOLM1;LTBP1;CCDC113;CHST9;PTGFRN
hsa-miR-30d,3,0,45.333333333333336,C6;FAM81B;SIX4
hsa-miR-375,3,3,41.0,CLDN1;MNS1;RPGRIP1L
hsa-miR-141,3,0,40.166666666666664,CLDN1;RSPH4A;SERPINB5
