model,mean_internal_roc_auc,sd_internal_roc_auc,mean_internal_pr_auc,mean_internal_balanced_accuracy,mean_selected_features
linear_svm,0.9987355072463768,0.002577486442263314,0.9994947092159049,0.9865217391304348,70.0
elastic_net,0.9975579710144927,0.004564448558049312,0.9990649823211105,0.9834384057971015,54.6
random_forest,0.9959456521739131,0.007027042339124811,0.9985092792245911,0.9645398550724638,75.0
rbf_svm,0.9958659420289855,0.006668556155279272,0.9984649239253999,0.9840217391304349,36.0
lasso_logistic,0.9957173913043478,0.006076741227507751,0.9983210647834155,0.9774673913043479,40.5
gradient_boosting,0.9917826086956523,0.00927299570864406,0.9968271864461887,0.9502717391304348,36.8
mlp_small,0.9865398550724638,0.03838331562710855,0.9946063714454703,0.9003043478260869,43.2
