permutation_id,roc_auc,best_model
1,0.6115942028985507,linear_svm
2,0.566231884057971,linear_svm
3,0.5169202898550724,linear_svm
4,0.5426449275362318,linear_svm
5,0.5096376811594203,linear_svm
6,0.5124275362318841,linear_svm
7,0.45771739130434785,linear_svm
8,0.5871739130434783,linear_svm
9,0.5408695652173913,linear_svm
10,0.6104347826086955,linear_svm
11,0.48557971014492757,linear_svm
12,0.4330797101449275,linear_svm
13,0.5513405797101448,linear_svm
14,0.4122826086956522,linear_svm
15,0.5692028985507246,linear_svm
16,0.4131884057971015,linear_svm
17,0.5463405797101449,linear_svm
18,0.4602173913043478,linear_svm
19,0.3975000000000001,linear_svm
20,0.5539855072463767,linear_svm
