feature,overall_selection_count,overall_selection_frequency,lasso_logistic_selection_frequency,elastic_net_selection_frequency,linear_svm_selection_frequency,rbf_svm_selection_frequency,random_forest_selection_frequency,gradient_boosting_selection_frequency,mlp_small_selection_frequency,models_selecting_feature
CCL13,87,0.24857142857142858,0.2,0.4,0.6,0.02,0.5,0.0,0.02,6
ITLN2,86,0.24571428571428572,0.2,0.38,0.6,0.0,0.52,0.02,0.0,5
FIBIN,84,0.24,0.2,0.34,0.56,0.02,0.52,0.02,0.02,7
CCDC80,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
KRT5,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
LRRC32,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
PTPRB,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
SCN1A,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
SYNPO2,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
TP63,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
WDR49,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
ZNF385B,84,0.24,0.2,0.38,0.6,0.0,0.5,0.0,0.0,4
CLDN1,81,0.23142857142857143,0.18,0.36,0.58,0.0,0.5,0.0,0.0,4
GPX8,80,0.22857142857142856,0.18,0.36,0.58,0.0,0.48,0.0,0.0,4
TMEM100,77,0.22,0.18,0.32,0.54,0.0,0.5,0.0,0.0,4
COL1A2,76,0.21714285714285714,0.16,0.36,0.56,0.0,0.44,0.0,0.0,4
SFRP4,75,0.21428571428571427,0.2,0.36,0.52,0.0,0.42,0.0,0.0,4
INMT,73,0.20857142857142857,0.16,0.32,0.52,0.0,0.46,0.0,0.0,4
GEM,72,0.2057142857142857,0.18,0.3,0.5,0.0,0.46,0.0,0.0,4
HDC,69,0.19714285714285715,0.16,0.3,0.48,0.0,0.44,0.0,0.0,4
MAP1A,68,0.19428571428571428,0.18,0.32,0.48,0.0,0.38,0.0,0.0,4
SMAD6,68,0.19428571428571428,0.16,0.3,0.5,0.0,0.4,0.0,0.0,4
SIX4,65,0.18571428571428572,0.18,0.36,0.42,0.0,0.34,0.0,0.0,4
FAP,61,0.1742857142857143,0.14,0.26,0.42,0.0,0.4,0.0,0.0,4
IL1RL1,61,0.1742857142857143,0.14,0.26,0.48,0.0,0.34,0.0,0.0,4
DTHD1,55,0.15714285714285714,0.14,0.28,0.36,0.0,0.32,0.0,0.0,4
VIPR1,55,0.15714285714285714,0.12,0.22,0.42,0.0,0.34,0.0,0.0,4
ACTG2,54,0.15428571428571428,0.14,0.22,0.38,0.0,0.34,0.0,0.0,4
CCDC146,50,0.14285714285714285,0.14,0.24,0.34,0.0,0.28,0.0,0.0,4
CTSK,49,0.14,0.18,0.26,0.3,0.0,0.24,0.0,0.0,4
MT1M,39,0.11142857142857143,0.08,0.16,0.3,0.0,0.24,0.0,0.0,4
TDO2,35,0.1,0.08,0.18,0.24,0.0,0.2,0.0,0.0,4
HYDIN,33,0.09428571428571429,0.1,0.14,0.22,0.0,0.2,0.0,0.0,4
SLCO2A1,29,0.08285714285714285,0.06,0.14,0.22,0.0,0.16,0.0,0.0,4
PEBP4,28,0.08,0.08,0.1,0.22,0.0,0.16,0.0,0.0,4
POSTN,25,0.07142857142857142,0.06,0.1,0.18,0.0,0.16,0.0,0.0,4
ABCA3,24,0.06857142857142857,0.04,0.1,0.18,0.0,0.16,0.0,0.0,4
CDHR3,23,0.06571428571428571,0.04,0.12,0.18,0.0,0.12,0.0,0.0,4
NELL2,23,0.06571428571428571,0.06,0.12,0.2,0.0,0.08,0.0,0.0,4
RGS22,22,0.06285714285714286,0.06,0.12,0.12,0.0,0.14,0.0,0.0,4
ZBTB16,19,0.054285714285714284,0.02,0.08,0.16,0.0,0.12,0.0,0.0,4
COL6A3,16,0.045714285714285714,0.02,0.04,0.12,0.0,0.14,0.0,0.0,4
SLAMF7,15,0.04285714285714286,0.02,0.08,0.12,0.0,0.08,0.0,0.0,4
SLC39A8,15,0.04285714285714286,0.06,0.08,0.1,0.0,0.06,0.0,0.0,4
TNC,15,0.04285714285714286,0.02,0.04,0.14,0.0,0.1,0.0,0.0,4
CLIC6,14,0.04,0.06,0.08,0.08,0.0,0.06,0.0,0.0,4
SPATA17,12,0.03428571428571429,0.02,0.08,0.08,0.0,0.06,0.0,0.0,4
TSPAN1,11,0.03142857142857143,0.04,0.06,0.08,0.0,0.04,0.0,0.0,4
EFHC2,10,0.02857142857142857,0.04,0.04,0.04,0.0,0.08,0.0,0.0,4
PRUNE2,10,0.02857142857142857,0.02,0.08,0.06,0.0,0.04,0.0,0.0,4
MNS1,10,0.02857142857142857,0.0,0.02,0.08,0.0,0.1,0.0,0.0,3
FAM83D,9,0.025714285714285714,0.04,0.0,0.06,0.0,0.08,0.0,0.0,3
LRRN4,7,0.02,0.02,0.04,0.04,0.0,0.04,0.0,0.0,4
MS4A15,7,0.02,0.0,0.02,0.06,0.0,0.06,0.0,0.0,3
PLA2G1B,7,0.02,0.0,0.02,0.06,0.0,0.06,0.0,0.0,3
RPGRIP1L,6,0.017142857142857144,0.02,0.02,0.02,0.0,0.06,0.0,0.0,4
SLC19A3,5,0.014285714285714285,0.02,0.0,0.04,0.0,0.04,0.0,0.0,3
DES,4,0.011428571428571429,0.0,0.02,0.02,0.0,0.04,0.0,0.0,3
AMPD1,3,0.008571428571428572,0.0,0.02,0.02,0.0,0.02,0.0,0.0,3
PLA2G4F,3,0.008571428571428572,0.0,0.02,0.02,0.0,0.02,0.0,0.0,3
TRIM29,3,0.008571428571428572,0.0,0.0,0.04,0.0,0.02,0.0,0.0,2
ZNF385D,3,0.008571428571428572,0.0,0.02,0.04,0.0,0.0,0.0,0.0,2
C20ORF85,2,0.005714285714285714,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2
MYH11,2,0.005714285714285714,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2
SNTN,2,0.005714285714285714,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2
SPAG6,2,0.005714285714285714,0.0,0.02,0.02,0.0,0.0,0.0,0.0,2
TMEM45A,2,0.005714285714285714,0.0,0.0,0.02,0.0,0.02,0.0,0.0,2
SIX1,1,0.002857142857142857,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1
SLN,1,0.002857142857142857,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1
VCAM1,1,0.002857142857142857,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1
