data_type,standard_feature_id,GSE32538_logFC,GSE32538_adj_p,GSE32538_direction,GSE32538_fdr_sig,GSE21394_logFC,GSE21394_adj_p,GSE21394_direction,GSE21394_fdr_sig,GSE27430_logFC,GSE27430_adj_p,GSE27430_direction,GSE27430_fdr_sig,validation_datasets_present,same_direction_validation_count,same_direction_fdr_sig_count,robust_strict,robust_relaxed
miRNA,hsa-let-7b,-1.03054413207547,5.19533207513064e-16,down,True,2.68961433133333,0.0018146240596065,up,True,-0.252679053076923,0.765265734815141,down,False,2,1,0,False,False
miRNA,hsa-miR-126,-1.08526596603773,1.68974879806936e-11,down,True,3.89544336972222,0.0030382006268725,up,True,-0.79772271301282,0.0896173945689631,down,False,2,1,0,False,False
miRNA,hsa-miR-1308,-1.10965851437736,0.0027149907940639,down,True,,,missing,False,,,missing,False,0,0,0,False,False
miRNA,hsa-miR-130a,-1.6770333045283,5.4799065085598095e-11,down,True,2.18732677477778,0.0318263696091108,up,True,-0.211467192410256,0.812704864847636,down,False,2,1,0,False,False
miRNA,hsa-miR-130b,-1.07707046981132,1.38957091754721e-10,down,True,-0.282663616944445,0.396135991235481,down,False,-0.215241758807692,0.809080295476493,down,False,2,2,0,False,False
miRNA,hsa-miR-138,-1.55785575283019,3.35994722821288e-08,down,True,-0.372843366444444,0.391457416346304,down,False,-0.677434799294872,0.68978001151415,down,False,2,2,0,False,False
miRNA,hsa-miR-141,-1.01826355830189,1.11718273596449e-09,down,True,-2.13752372233333,0.0003087211775774,down,True,0.0678407977564105,0.941501918311242,up,False,2,1,1,True,True
miRNA,hsa-miR-146b-5p,-1.60065959018868,3.38511936568391e-09,down,True,2.49470613588889,0.0058128851140123,up,True,-0.305935831025641,0.812704864847636,down,False,2,1,0,False,False
miRNA,hsa-miR-150,-1.14234048301887,4.62852306614271e-05,down,True,2.13198707888889,0.0004256848460511,up,True,-0.195874847179487,0.812704864847636,down,False,2,1,0,False,False
miRNA,hsa-miR-151-3p,-1.29094482754717,7.59929026840315e-11,down,True,-0.697102959777777,0.0320219728278993,down,False,-0.329527806346154,0.195778168306208,down,False,2,2,0,False,False
miRNA,hsa-miR-15a,-1.27476200471698,9.157342273130579e-11,down,True,2.56887689961111,0.0033255902034526,up,True,0.0254654841025641,0.972590529538778,up,False,2,0,0,False,False
miRNA,hsa-miR-15b,-1.54444449056604,9.97294498414685e-09,down,True,2.93837361983333,0.0028617828488134,up,True,-0.33600850851282,0.726793196152193,down,False,2,1,0,False,False
miRNA,hsa-miR-181b,-1.17435723018868,8.53385205820802e-10,down,True,-0.972637538666668,0.0355544142075164,down,False,-0.531603934166666,0.0896173945689631,down,False,2,2,0,False,False
miRNA,hsa-miR-18a,-1.4527038490566,1.8872215212739e-13,down,True,0.118434784777778,0.882783598453776,up,False,-0.344630722358974,0.812704864847636,down,False,2,1,0,False,False
miRNA,hsa-miR-193a-5p,-1.64025236509434,4.56782981117184e-15,down,True,-0.736105351888888,0.0325985488757749,down,False,-0.0457710913333333,0.91111562769522,down,False,2,2,0,False,False
miRNA,hsa-miR-19b,-1.28560695849057,2.053586786435e-09,down,True,0.93090131877778,0.546815944329174,up,False,-0.0564900125641025,0.936176888666485,down,False,2,1,0,False,False
