data_type,standard_feature_id,gene_symbol,mirna_name,discovery_series_id,discovery_logFC,discovery_adj_p,discovery_p_value,discovery_direction,GSE110147_present,GSE110147_logFC,GSE110147_adj_p,GSE110147_p_value,GSE110147_same_direction,GSE110147_same_direction_fdr_sig,GSE110147_same_direction_nominal_sig,GSE150910_present,GSE150910_logFC,GSE150910_adj_p,GSE150910_p_value,GSE150910_same_direction,GSE150910_same_direction_fdr_sig,GSE150910_same_direction_nominal_sig,GSE53845_present,GSE53845_logFC,GSE53845_adj_p,GSE53845_p_value,GSE53845_same_direction,GSE53845_same_direction_fdr_sig,GSE53845_same_direction_nominal_sig,GSE92592_present,GSE92592_logFC,GSE92592_adj_p,GSE92592_p_value,GSE92592_same_direction,GSE92592_same_direction_fdr_sig,GSE92592_same_direction_nominal_sig,validation_datasets_total,validation_datasets_present,same_direction_validation_count,opposite_direction_validation_count,same_direction_fdr_sig_count,same_direction_nominal_sig_count,direction_consistency_fraction,robust_strict,robust_relaxed,robust_score,validation_details
bulk mRNA,MMP7,MMP7,,GSE32537,2.92959866554622,4.056979595725e-29,2.37647340335356e-31,up,True,2.38289454545455,3.16848853471944e-07,8.8421165464195e-08,True,True,True,True,1.71109763197829,1.4426430776044e-15,6.7032651862652e-17,True,True,True,True,4.083155,3.95574912040607e-10,8.229721887003679e-13,True,True,True,True,3.84738545512504,2.2955618799623e-10,1.28164919879532e-12,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:2.38/FDR=3.17e-07; GSE150910:1.71/FDR=1.44e-15; GSE53845:4.08/FDR=3.96e-10; GSE92592:3.85/FDR=2.3e-10
bulk mRNA,ID1,ID1,,GSE32537,-1.21092786722689,2.42931994852511e-27,1.9312585364844e-29,down,True,-2.35169,5.3213583804518193e-11,7.56883601820579e-12,True,True,True,True,-1.09578535465739,2.10005543195665e-13,1.34256298801379e-14,True,True,True,True,-1.316515,0.0002283566439648,1.16072011225041e-05,True,True,True,True,-1.04892754090998,0.0001235846477061,1.75879217800751e-05,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-2.35/FDR=5.32e-11; GSE150910:-1.1/FDR=2.1e-13; GSE53845:-1.32/FDR=0.000228; GSE92592:-1.05/FDR=0.000124
bulk mRNA,PAPSS2,PAPSS2,,GSE32537,-1.12496486554622,8.15320744317018e-27,7.16390612161397e-29,down,True,-1.08744454545455,3.00990092230927e-07,8.37153270309821e-08,True,True,True,True,-1.23576509119705,5.59763693909899e-26,4.87001989288112e-28,True,True,True,True,-1.598675,9.06995981629805e-10,2.25642902746927e-12,True,True,True,True,-1.08329553600099,4.14704568679372e-07,1.70410676426787e-08,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-1.09/FDR=3.01e-07; GSE150910:-1.24/FDR=5.6e-26; GSE53845:-1.6/FDR=9.07e-10; GSE92592:-1.08/FDR=4.15e-07
bulk mRNA,COL1A1,COL1A1,,GSE32537,1.77332415462185,8.23473412445262e-27,7.30445035307094e-29,up,True,2.56544727272727,8.753597477503898e-17,2.48435282945646e-18,True,True,True,True,2.25099900318674,2.44026685452993e-28,1.21093347811307e-30,True,True,True,True,2.0907325,2.72704393047483e-06,4.92198172817408e-08,True,True,True,True,3.49556287282168,1.33734525755517e-10,4.62930076312996e-13,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:2.57/FDR=8.75e-17; GSE150910:2.25/FDR=2.44e-28; GSE53845:2.09/FDR=2.73e-06; GSE92592:3.5/FDR=1.34e-10
bulk mRNA,BTNL9,BTNL9,,GSE32537,-1.71953186218488,1.6914077557203598e-26,1.57109841744736e-28,down,True,-1.70402227272727,1.94611481160835e-10,3.08133383992528e-11,True,True,True,True,-2.54496230319646,1.16096952378035e-27,6.65890878497461e-30,True,True,True,True,-2.1552825,1.02699501316077e-12,4.75924518294014e-16,True,True,True,True,-3.37823702594257,1.09438889765905e-11,1.53462893472518e-14,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-1.7/FDR=1.95e-10; GSE150910:-2.54/FDR=1.16e-27; GSE53845:-2.16/FDR=1.03e-12; GSE92592:-3.38/FDR=1.09e-11
bulk mRNA,LRRN1,LRRN1,,GSE32537,1.37045431596639,4.0012819453557297e-26,3.9845401798939997e-28,up,True,1.054995,4.89178300544978e-07,1.41330908227248e-07,True,True,True,True,1.4920928327938,2.52367192435071e-25,2.52090705854456e-27,True,True,True,True,1.7275025,1.61759290903114e-07,1.5702487263277902e-09,True,True,True,True,1.8831024382082,1.88578693864332e-09,2.01097261616254e-11,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.05/FDR=4.89e-07; GSE150910:1.49/FDR=2.52e-25; GSE53845:1.73/FDR=1.62e-07; GSE92592:1.88/FDR=1.89e-09
bulk mRNA,HIF3A,HIF3A,,GSE32537,-1.01198763361345,4.0532762056405e-26,4.104154149644359e-28,down,True,-1.71542409090909,4.71063758122088e-16,1.71872129266047e-17,True,True,True,True,-1.90785412825614,1.34384583672517e-21,2.48555619733275e-23,True,True,True,True,-1.082675,6.832030673335251e-15,4.99904683414775e-19,True,True,True,True,-2.36020735441913,7.62593834901167e-10,5.83302749045056e-12,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-1.72/FDR=4.71e-16; GSE150910:-1.91/FDR=1.34e-21; GSE53845:-1.08/FDR=6.83e-15; GSE92592:-2.36/FDR=7.63e-10
bulk mRNA,FCN3,FCN3,,GSE32537,-2.26333217478992,1.48160460687326e-25,1.74816945246134e-27,down,True,-4.21015090909091,2.28755793476218e-14,1.4269327057996401e-15,True,True,True,True,-2.78395250883512,8.00137171086081e-21,1.7016515206445e-22,True,True,True,True,-2.4574125,0.000489769581093,2.97087060531348e-05,True,True,True,True,-1.68010986288995,0.0011860772192043,0.0002702462805858,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:-4.21/FDR=2.29e-14; GSE150910:-2.78/FDR=8e-21; GSE53845:-2.46/FDR=0.00049; GSE92592:-1.68/FDR=0.00119
bulk mRNA,GOLM1,GOLM1,,GSE32537,1.1600600605042,2.18997308189993e-25,2.65728951360243e-27,up,True,1.80317772727273,3.06109151612568e-13,2.6587009834626105e-14,True,True,True,True,1.3049869653006,1.20312454549815e-33,1.2598211718166798e-36,True,True,True,True,1.295735,1.14097908437802e-07,1.02409830012466e-09,True,True,True,True,1.27868615433839,7.699419863891321e-09,1.23372983135325e-10,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.8/FDR=3.06e-13; GSE150910:1.3/FDR=1.2e-33; GSE53845:1.3/FDR=1.14e-07; GSE92592:1.28/FDR=7.7e-09
bulk mRNA,CDH2,CDH2,,GSE32537,1.27819726386555,2.7680820186093e-25,3.47457993967695e-27,up,True,1.54820772727273,1.47460366520552e-11,1.86357095930109e-12,True,True,True,True,2.19664994335194,4.56228671725667e-19,1.26428000800436e-20,True,True,True,True,1.351365,3.50878540317062e-05,1.18870803048878e-06,True,True,True,True,2.52852625979859,6.01663745687861e-07,2.68063016614881e-08,True,True,True,4,4,4,0,4,4,1.0,True,True,29.0,GSE110147:1.55/FDR=1.47e-11; GSE150910:2.2/FDR=4.56e-19; GSE53845:1.35/FDR=3.51e-05; GSE92592:2.53/FDR=6.02e-07
