data_type,standard_feature_id,GSE32537_logFC,GSE32537_adj_p,GSE32537_direction,GSE32537_fdr_sig,GSE110147_logFC,GSE110147_adj_p,GSE110147_direction,GSE110147_fdr_sig,GSE150910_logFC,GSE150910_adj_p,GSE150910_direction,GSE150910_fdr_sig,GSE53845_logFC,GSE53845_adj_p,GSE53845_direction,GSE53845_fdr_sig,GSE92592_logFC,GSE92592_adj_p,GSE92592_direction,GSE92592_fdr_sig,validation_datasets_present,same_direction_validation_count,same_direction_fdr_sig_count,robust_strict,robust_relaxed,GSE32538_logFC,GSE32538_adj_p,GSE32538_direction,GSE32538_fdr_sig,GSE21394_logFC,GSE21394_adj_p,GSE21394_direction,GSE21394_fdr_sig,GSE27430_logFC,GSE27430_adj_p,GSE27430_direction,GSE27430_fdr_sig
bulk mRNA,ABCA13,1.35016116806723,1.39556884612677e-10,up,True,1.77593136363636,1.33428072552823e-05,up,True,1.90797208997193,8.52898566113487e-10,up,True,1.0517575,0.0433564294899139,up,True,2.04275191013599,0.0013497977051672,up,True,4,4,4,True,True,,,,,,,,,,,,
bulk mRNA,ABCA3,-1.59254245882353,1.13263273878572e-17,down,True,-2.03578863636364,7.27508013087417e-09,down,True,-1.28480060048195,2.15120700638931e-09,down,True,-1.39448,0.0058278377430385,down,True,-0.680894879308647,0.0443886670302524,down,False,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,ACADL,-1.16754789243698,7.739025728400661e-15,down,True,-0.161508181818182,0.58685536393596,down,False,-1.73116829052272,3.95300319215009e-15,down,True,-1.502585,1.29381265673627e-09,down,True,-2.10442573252399,1.49390945133576e-10,down,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,ACSL1,-1.17478055630252,1.83184525973695e-27,down,True,1.28506090909091,1.99571963668225e-07,up,True,-0.519175352528079,7.18206382908379e-06,down,False,-0.9169825,6.8564101773745e-05,down,False,0.120016330119641,0.654098542343457,up,False,4,2,0,False,False,,,,,,,,,,,,
bulk mRNA,ACTG2,1.3546889092437,2.12146836471116e-18,up,True,0.681303181818182,0.0053609540493736,up,False,1.87097259876662,3.4139949638016003e-20,up,True,0.698085,0.0681208172705747,up,False,2.38462342983872,2.74676960587121e-07,up,True,4,4,2,True,True,,,,,,,,,,,,
bulk mRNA,ACVRL1,-1.08757685882353,4.8685657409722e-26,down,True,-1.92520818181818,4.17681707839e-15,down,True,-1.38850212479865,2.43332751690007e-26,down,True,-1.43211,1.16227016930489e-06,down,True,-0.998818205887445,8.83581711839482e-05,down,False,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,ADGB,1.37479186722689,7.16750501882369e-13,up,True,1.75251681818182,0.0001945578279087,up,True,1.31501486451877,1.18671216234265e-06,up,True,,,missing,False,1.23176709128468,0.0645349636613554,up,False,3,3,2,True,True,,,,,,,,,,,,
bulk mRNA,ADH7,1.05962522184874,2.92309917021615e-10,up,True,1.76390909090909,6.6400633615629e-06,up,True,3.09771062446514,1.07761785333342e-10,up,True,0.43118,0.215152472770786,up,False,3.65457292266202,0.0015974358833434,up,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,ADM,-1.24333644705883,7.8238319139794e-19,down,True,-0.701402727272728,0.000318697857479,down,False,-0.414981259197917,0.0609848878849253,down,False,-0.291017500000001,0.602546824579001,down,False,0.346498333483265,0.399857141149052,up,False,4,3,0,False,False,,,,,,,,,,,,
bulk mRNA,AFF3,-1.29649956470588,1.7710539424801102e-24,down,True,-1.53978181818182,3.4254000301425803e-10,down,True,-1.84820130070138,4.55871444839358e-34,down,True,-0.8212225,6.71911883326684e-08,down,False,-1.91484333940468,2.8465352470528e-12,down,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,AGBL2,1.16914727731093,2.228977038851e-12,up,True,0.739801363636365,0.0392905797486497,up,False,1.35528884639927,5.34492990696329e-08,up,True,1.0139225,0.202752029164497,up,False,1.14163415231181,0.0343771710809913,up,True,4,4,2,True,True,,,,,,,,,,,,
bulk mRNA,AGER,-1.47576729411765,4.69344622809362e-14,down,True,-3.11282,2.69399861703704e-10,down,True,-2.75086760191768,1.69305927728712e-33,down,True,-0.8169175,0.0266050607310242,down,False,-3.51303142018636,2.1978762106235e-10,down,True,4,4,3,True,True,,,,,,,,,,,,
bulk mRNA,AK7,1.08331903865546,9.83917758478519e-09,up,True,2.02103,4.24422868552313e-06,up,True,0.582293136648034,0.0009165397208268,up,False,0.4181225,0.523918649982672,up,False,1.25793726266816,0.0141623909989055,up,True,4,4,2,True,True,,,,,,,,,,,,
bulk mRNA,ALOX15,1.3755833697479,2.55521938985041e-10,up,True,0.379153636363637,0.296020738128539,up,False,2.19900554257816,1.67542056870812e-09,up,True,0.14873,0.508350700639048,up,False,1.66663656334942,0.0381751214848651,up,True,4,4,2,True,True,,,,,,,,,,,,
